index	rate	dest1	dest2	dest3	dest4	dest5	dest6	items	allGoods	picture
奖励索引	概率	羽翼培养石	数量	符文盒	数量	宠物、符文封印	数量	奖励物品	所有的奖励物品（客户端显示用）	卡牌图片资源
1	2000	25837	9	26119	3	26144	2	[(25837,9), (26119, 3), (26144, 2)]	[(25837, 9), (25837, 12), (25837, 15),(26119, 0), (26144, 0), (25970, 0)]	Yunxiao_sole1
2	2400	25837	9	26119	3	26144	1	[(25837,9), (26119, 3), (26144, 1)]		Yunxiao_sole2
3	2000	25837	9	26119	3	25970	2	[(25837,9), (26119, 3), (25970, 2)]		Yunxiao_sole3
4	2400	25837	9	26119	3	25970	1	[(25837,9), (26119, 3), (25970, 1)]		Yunxiao_sole4
5	2800	25837	9	26119	2	26144	2	[(25837,9), (26119, 2), (26144, 2)]		Yunxiao_sole5
6	3000	25837	9	26119	2	26144	1	[(25837,9), (26119, 2), (26144, 1)]		Yunxiao_sole1
7	2800	25837	9	26119	2	25970	2	[(25837,9), (26119, 2), (25970, 2)]		Yunxiao_sole2
8	3000	25837	9	26119	2	25970	1	[(25837,9), (26119, 2), (25970, 1)]		Yunxiao_sole3
9	3000	25837	9	26119	1	26144	2	[(25837,9), (26119, 1), (26144, 2)]		Yunxiao_sole4
10	3000	25837	9	26119	1	26144	1	[(25837,9), (26119, 1), (26144, 1)]		Yunxiao_sole5
11	3000	25837	9	26119	1	25970	2	[(25837,9), (26119, 1), (25970, 2)]		Yunxiao_sole1
12	3000	25837	9	26119	1	25970	1	[(25837,9), (26119, 1), (25970, 1)]		Yunxiao_sole2
13	900	25837	12	26119	3	26144	2	[(25837,12), (26119, 3), (26144, 2)]		Yunxiao_sole3
14	1200	25837	12	26119	3	26144	1	[(25837,12), (26119, 3), (26144, 1)]		Yunxiao_sole4
15	900	25837	12	26119	3	25970	2	[(25837,12), (26119, 3), (25970, 2)]		Yunxiao_sole5
16	1200	25837	12	26119	3	25970	1	[(25837,12), (26119, 3), (25970, 1)]		Yunxiao_sole1
17	1600	25837	12	26119	2	26144	2	[(25837,12), (26119, 2), (26144, 2)]		Yunxiao_sole2
18	2000	25837	12	26119	2	26144	1	[(25837,12), (26119, 2), (26144, 1)]		Yunxiao_sole3
19	1600	25837	12	26119	2	25970	2	[(25837,12), (26119, 2), (25970, 2)]		Yunxiao_sole4
20	2200	25837	12	26119	2	25970	1	[(25837,12), (26119, 2), (25970, 1)]		Yunxiao_sole5
21	2600	25837	12	26119	1	26144	2	[(25837,12), (26119, 1), (26144, 2)]		Yunxiao_sole1
22	3000	25837	12	26119	1	26144	1	[(25837,12), (26119, 1), (26144, 1)]		Yunxiao_sole2
23	2600	25837	12	26119	1	25970	2	[(25837,12), (26119, 1), (25970, 2)]		Yunxiao_sole3
24	3000	25837	12	26119	1	25970	1	[(25837,12), (26119, 1), (25970, 1)]		Yunxiao_sole4
25	500	25837	15	26119	3	26144	2	[(25837,15), (26119, 3), (26144, 2)]		Yunxiao_sole5
26	600	25837	15	26119	3	26144	1	[(25837,15), (26119, 3), (26144, 1)]		Yunxiao_sole1
27	500	25837	15	26119	3	25970	2	[(25837,15), (26119, 3), (25970, 2)]		Yunxiao_sole2
28	600	25837	15	26119	3	25970	1	[(25837,15), (26119, 3), (25970, 1)]		Yunxiao_sole3
29	800	25837	15	26119	2	26144	2	[(25837,15), (26119, 2), (26144, 2)]		Yunxiao_sole4
30	1000	25837	15	26119	2	26144	1	[(25837,15), (26119, 2), (26144, 1)]		Yunxiao_sole5
31	800	25837	15	26119	2	25970	2	[(25837,15), (26119, 2), (25970, 2)]		Yunxiao_sole1
32	1000	25837	15	26119	2	25970	1	[(25837,15), (26119, 2), (25970, 1)]		Yunxiao_sole2
33	1500	25837	15	26119	1	26144	2	[(25837,15), (26119, 1), (26144, 2)]		Yunxiao_sole3
34	1800	25837	15	26119	1	26144	1	[(25837,15), (26119, 1), (26144, 1)]		Yunxiao_sole4
35	1500	25837	15	26119	1	25970	2	[(25837,15), (26119, 1), (25970, 2)]		Yunxiao_sole5
36	1800	25837	15	26119	1	25970	1	[(25837,15), (26119, 1), (25970, 1)]		Yunxiao_sole5
