world_level	silver_rate	gold_rate	silver_reward_preview	gold_reward_preview
世界等级	银子锄头概率表(索引：概率)	金锄头概率表(索引：概率)	银子锄头概率表预览索引	金锄头概率表预览索引
1	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
2	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
3	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
4	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
5	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
6	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
7	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
8	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
9	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
10	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
11	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
12	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
