Level	Money	Items	PreView
角色等级	金币	奖励物品ID	奖励物品图标预览
30	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
31	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
32	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
33	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
34	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
35	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
36	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
37	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
38	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
39	1880000	[(25681,40),(25671,20),(26450,1),(27488,1)]	[(25681,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
40	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
41	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
42	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
43	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
44	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
45	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
46	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
47	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
48	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
49	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
50	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
51	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
52	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
53	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
54	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
55	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
56	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
57	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
58	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
59	1880000	[(25682,40),(25671,20),(26450,1),(27488,1)]	[(25682,40),(25671,20),(26450,1),(27488,1),(25828,1880000)]
60	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
61	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
62	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
63	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
64	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
65	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
66	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
67	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
68	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
69	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
70	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
71	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
72	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
73	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
74	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
75	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
76	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
77	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
78	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
79	1880000	[(25683,40),(25672,20),(26450,1),(27488,1)]	[(25683,40),(25672,20),(26450,1),(27488,1),(25828,1880000)]
