maleFirst	femaleFirst	maleSecond	femaleSecond
聖徒	聖徒	貝克	愛麗絲
逐風者	逐風者	亨特	愛瑪
刺客	刺客	卡特	阿爾娃
聖者	聖者	斯密斯	艾曼達
獵魔師	獵魔師	庫克	艾咪
遊俠	遊俠	米勒	安琪拉
輕語者	輕語者	霍爾	安妮
風之子	風之女	肯特	安娜
鐵盾	鐵盾	米爾	艾譜莉
屠魔	屠魔	布魯克	愛琳娜
獅心	獅心	希爾	雅典娜
聖靈	聖靈	雷克	奧德莉
聖子	聖子	菲爾德	奧蘿拉
征服者	征服者	格林	芭芭拉
月之子	月之女	伍德	碧翠絲
破城者	破城者	維爾	貝琳達
弑神者	弑神者	布朗	貝拉
玫瑰心	玫瑰心	懷特	貝拉
薔薇心	薔薇心	朗曼	柏妮絲
鐵盟衛	鐵盟衛	肖特	柏莎
擁王者	擁王者	夏普	百麗兒
弑君者	弑君者	哈代	貝絲
風暴	風暴	楊	貝琪
荊棘	荊棘	李	貝蒂
陽炎	陽炎	斯特林	貝芙麗
海之子	海之女	巴克	布蘭琪
失憶者	失憶者	漢德	布萊茲
智慧者	智慧者	芬格	邦妮
盜火者	盜火者	布雷恩	卡蜜拉
戰神	戰神	伯德	坎蒂絲
神使	神使	布林	卡拉
光之子	光之女	福克斯	卡蘿
復仇者	復仇者	霍克	卡洛琳
懲罰者	懲罰者	斯托克	凱薩琳
血歌	血歌	克頓	凱絲
星之子	星之女	裡德	夏洛特
血盟衛	血盟衛	馬丁	綺莉
聖護衛	聖護衛	伯納德	綺麗兒
忠王者	忠王者	理查	克洛怡
裁決者	裁決者	羅伯托	克萊兒
挽歌	挽歌	理查	克萊拉
逐風	逐風	佩蒂特	柯拉
月光	月光	杜蘭德	卡洛兒
星光	星光	樂華	辛西亞
聖佑	聖佑	莫羅	黛西
黃金	黃金	西蒙	黛兒
鑽石	鑽石	洛朗	黛娜
星辰	星辰	蜜雪兒	黛芙妮
閃耀	閃耀	加西亞	達蓮娜
影殺手	殺手	大衛	潼恩
影歌	影歌	波特蘭	黛碧
影護衛	影護衛	魯	黛博拉
影之拳	影之拳	文森特	迪得莉
輕風	輕風	富尼耶	迪麗雅
聖裁	聖裁	米勒	丹尼絲
地之子	地之女	斯密特	戴安娜
聖裁	聖裁	斯奈德	黛娜
星辰	星辰	菲舍爾	唐娜
閃耀	閃耀	邁耶	朵拉
光盟衛	光盟衛	韋伯	多琳
水之子	水之女	舒爾茨	多莉絲
好戰者	好戰者	瓦格納	桃樂斯
風歌	風歌	貝克爾	爾莎
風之翼	風之翼	霍夫曼	依甸
冠軍	冠軍	納吉	依蒂絲
光榮	光榮	科瓦奇	愛琳
榮耀	榮耀	托特	依蓮恩
勇者	勇者	薩博	愛琳諾
隱士	隱士	霍瓦特	艾拉
仁慈	仁慈	瓦加爾	艾爾瑪
王冠	王冠	基斯	愛爾莎
天選者	天選者	內梅特	艾西
和平	和平	法卡斯	艾娃
驍勇	驍勇	巴羅格	艾薇拉
鷹王	鷹王	帕普	艾蜜莉
狼王	狼王	尤哈什	艾瑪
獅王	獅王	奧拉	艾麗卡
幻靈	幻靈	西蒙	愛琳
風靈	風靈	拉克斯	艾絲特
狼靈	狼靈	菲克特	艾瑟兒
流浪者	流浪者	羅西	尤朵拉
聖星	聖星	盧梭	尤妮絲
聖光使	聖光使	法拉利	費滋
聖使	聖使	比安奇	梵妮
滅魂	滅魂	羅馬諾	費怡
聖武	聖武	可倫坡	弗羅拉
如風者	如風者	裡奇	弗莉達
隱者	隱者	馬里諾	蓋爾
死觸	死觸	格裡科	姬瑪
星之力	星之力	布魯諾	珍妮芙
光之力	光之力	蓋洛	喬治亞
風之力	風之力	孔蒂	嬌拉汀
水之力	水之力	德盧卡	姬兒
夜風	夜風	科斯塔	葛瑞絲
夜星	夜星	左丹奴	關德琳
暗影	暗影	曼奇尼	漢娜
暗星	暗星	裡佐	哈莉特
月吟者	月吟者	隆巴迪	海柔爾
夜吟者	夜吟者	莫里蒂	赫達
暗殺者	暗殺者	漢森	赫蒂
殺神	殺神	約翰森	海倫
滅神	滅神	奧爾森	何蒙莎
毀滅者	毀滅者	拉森	希爾達
死星	死星	安徒生	漢妮
星歌	星歌	佩德森	胡達
風歌	風歌	尼爾森	艾達
血靈	血靈	詹森	艾娜
死泣	死泣	卡爾森	英格麗
無畏	無畏	佩特森	愛琳
怒意	怒意	伯格	愛莉絲
狂怒	狂怒	豪根	艾爾瑪
焚心者	焚心者	哈根	艾薇
幽火	幽火	諾瓦克	賈桂琳
星語者	星語者	科瓦爾	婕咪
暗語者	暗語者	卡明	珍
血怒	血怒	沃茲	珍妮特
聖佑	聖佑	楊科	珍尼絲
光佑	光佑	瑪祖爾	琴
血佑	血佑	卡茲	珍尼佛
屠王者	屠王者	格拉博	珍妮
血之子	血之女	加西亞	婕西
殘暴	花語	洛佩斯	傑西嘉
殘忍		桑切斯	姬兒
		佩雷斯	喬
		馬丁	瓊
		戈麥斯	瓊安娜
		魯易斯	希伯來
		迪亞斯	賈思琳
		莫雷諾	喬蒂
		阿隆索	約瑟芬
		羅梅羅	喬依絲
		鐘斯	朱蒂斯
		泰勒	朱蒂
		布朗	朱麗亞
		威爾遜	朱莉
		湯普森	茱麗葉
		易萬斯	朱恩
		沃克	卡瑪
		懷特	凱倫
		羅伯茨	凱薩琳
		格林	凱莉蓋
		克拉克	金百莉
		坎貝爾	吉蒂
		凱利	蘿拉
		摩爾	蘿瑞爾
		奎因	蘿倫
		休斯	李
		美利	莉拉
		墨菲	莉娜
		歐文	李奧娜
		圖瓦	雷思麗
		詹姆	莉莉斯
		麥克戴	麗蓮
		諾頓	琳達
		諾斯	琳賽
		派克	麗莎
		傑克	莉斯
		斯溫	洛倫
		拉納德	璐易絲
		羅賓德	露西
		維克多	莉蒂亞
		布瓦洛	琳
		拉馬丁	瑪佩爾
		保爾	瑪德琳
		尤撒	瑪琪
		勒內	瑪姬
		費雷德	梅蜜
		菲爾	曼蒂
		尼克	瑪西亞
		休斯	瑪麗亞
		尼祿	瑪麗安
		詹姆斯	馬麗娜
		弗勒	瑪喬麗
		比爾	瑪莎
		布洛斯	瑪蒂娜
		斯頓	瑪麗
		羅賓遜	穆得
		萊特	穆琳
		賴特	梅薇思
		馬里齊	瑪可欣
		威廉	麥格
		羅伯特	梅
		羅伯斯	梅根
		羅傑斯	瑪希
		弗裡奧	梅莉
		傑帕斯	蜜雪兒
		鐵禮列	蜜妮安
		安傑羅	穆得莉
		曼努	米蘭達
		埃爾	蜜莉恩
		易安	茉莉
		查理	夢娜
		約翰	莫妮卡
		洛雪弗	穆麗兒
		費南德	瑪拉
		阿爾	蜜爾娜
		賽維	南茜
		庫魯	娜特莉
		柯魯洛	內麗
		尤裡安	妮可拉
		尤利	妮可
		丹尼	妮娜
		斯諾	諾拉
		眷恩	諾瑪
		萊姆	諾維雅
		賴穆	妮蒂亞
		穆恩	歐爾佳
		斯戴	奧麗芙
		勞諾德	佩格
		諾	蓓姬
		維斯特	賽拉
		威斯汀	佩兒
		斯諾	潘妮
		布萊克	菲碧
		懷特	菲麗絲
		慕斯	珀莉
		菲斯	波比
		科斯	普莉瑪
		科爾	昆蒂娜
		德曼	瑞琪兒
		馬弗奧	麗蓓卡
		阿格斯	蕾佳娜
		提諾	蕾娜塔
		阿爾貝	蕾妮
		阿爾托	莉達
		阿爾塔	莉娃
		阿勒泰	蘿勃塔
		阿爾特	羅絲
		阿爾奇	露比
		阿吉奧	露絲
		安德列	莎碧娜
		奧古斯	莎莉
		貝尼托	莎洛姆
		柯西莫	莎曼撤
		切薩洛	珊朵拉
		社喬	仙蒂
		恩尼奧	莎拉
		尼古拉	賽拉
		羅伯托	薩琳娜
		魯傑羅	雪倫
		盧基諾	希拉
		盧卡	雪麗
		紮卡	雪麗
		紮卡裡	希貝兒
		紮卡洛	席夢娜
		維爾	蘇菲亞
		威爾	絲柏淩
		蒂諾	史黛絲
		皮耶	絲特勒
		皮特	蘇珊
		皮耶羅	蘇珊娜
		彼得	蘇西
		保羅	蘇珊
		阿克曼	西維亞
		亞當斯	泰貝莎
		阿道夫	泰蜜
		亞伯特	泰瑞莎
		亞瑟	泰絲
		阿諾德	席拉
		奧古斯	泰麗莎
		鮑爾	蒂芙妮
		博爾德	蒂娜
		本森	托比
		伯納爾	翠西
		博蒂	翠絲特
		查德曼	杜達
		克拉	優拉
		丘奇	優娜
		蒂西	耳舒拉
		弗蒂	瓦勒莉
		迪龍	瓦妮莎
		岡特	維納斯
		岡瑟	維拉
		蓋斯	維娜
		蓋易	維隆卡
		格斯	維琪
		哈爾	維爾拉
		豪斯	維達
		豪斯特	維文
		霍爾	華莉絲
		霍雷肖	旺妲
		賀拉斯	溫蒂
		賀瑞斯	溫妮
		凱爾森	桑席
		基茨	芝妮雅
		拉金	耶達
		羅科	依耶塔
		魯克斯	莎拉
		林奇	若依
		米爾恩	若娜
		密爾頓	若拉
		米爾斯	
		摩尼	
		蒙德	
		戴斯蒙	
		莫里斯	
		莫里森	
		南茜	
		內爾	
		特拉斯	
		攀西	
		佩恩	
		佩奇斯	
		費利蒙	
		奎勒	
		麗蓓嘉	
		桑德	
		西蒙斯	
		史密森	
		斯通	
		斯特魯	
		斯特羅	
		坦尼斯	
		希歐多爾	
		陶特	
		伏恩	
		伍德	
		伍爾夫	
		烏利	
		戈麥斯	
		保萊塔	
		希曼	
		維米爾	
		奧耶爾	
		韋布	
		韋布斯	
		沃德	
		維拉德	
		霍金斯	
		安德里	
		漢斯	
		卡爾	
		榮格	
		拉爾夫	
		托馬森	
		湯瑪斯	
		若迪	
		斯蒂芬	
