messageId	desc	EnglishTranslate1
消息id	描述	英文翻译1
7DaysLogin1	您当前不是月卡用户，是否开通月卡领取更多奖励（奖励仅可领取一次）	You haven't activated the One Month Covenant. Are you sure you want to activate it to claim more rewards? (You can claim only once.)
7DaysLogin2	前往开通	Activate
7DaysLogin3	继续领取	More rewards
7DaysTarget1	等级	Level
7DaysTarget10	{0}阶{1}星	Stage {0} {1} Star
7DaysTarget11	{0}战斗力	Battle Rating: {0}
7DaysTarget13	无	None
7DaysTarget14	我的排名:{0}	My Ranking: {0}
7DaysTarget15	我的排名（未上榜）	My Ranking (Off List)
7DaysTarget16	等级不足30级，尚未达到开启条件	You need level 30 to unlock this.
7DaysTarget17	2014/12/4 20:00:00	2015/1/15 20:00
7DaysTarget2	主角战斗力	Character Battle Rating
7DaysTarget3	英雄战斗力	Hero Battle Rating
7DaysTarget4	总战斗力	General Battle Rating
7DaysTarget5	#C(#ffffff)1、每个目标持续时间为24小时，同一目标玩家等级或阶数相同时，排名会综合考虑当前经验值情况进行排序。#H2、开服那一刻开始计时，24小时为1天。#H3、每个目标结束后，下一个目标才会开始，请关注界面右下角时间。不要错过时间哟！	#C(#ffffff)1. Each goal will last for 24 hours. If there are several players on the same level, the system will rank them according to highest EXP. The countdown will begin when the server opens and lasts 24 hours. #H2. The next goal will begin when the previous one ends. Please pay close attention to the countdown on the bottom right. Don't miss the event!
7DaysTarget6	未开启	Unlocked
7DaysTarget7	已领取	Claimed
7DaysTarget8	已过期	Expired
7DaysTarget9	{0}级	Level {0}
aiwanbuff	主角享受腾讯爱玩平台特权：#H生命+150  物攻+50  法攻+50	no need to translate
anger	怒气	Rage
antibroken	破防	Defense Break
antibroken_t	破防百分比:	Break-defense rate:
arena001	英雄竞技	Arena
arena002	英雄竞技信息	Arena Details
arena003	神石不足，请前往购买神石	Not enough Balens. You have to buy more.
attack	攻击	Attack
attack_m	法攻	MATK
attack_mt	法攻百分比:	MATK rate:
attack_p	物攻	PATK
attack_pt	物攻百分比:	PATK rate:
attackspeed	攻击速度	Attack Speed
autoFind001	关闭	Off
autoFind002	开启	On
award001	领奖成功获得：#H{0}	Rewards successfully claimed: #H{0}
award01	金币+{0}	Gold +{0}
award02	声望+{0}	Prestige +{0}
award03	魔晶+{0}	Bound Balens +{0}
award04	经验+{0}	EXP +{0}
awpingtai	[(25829,30),(25600,1),(25637,1)]	[(25829,30),(25600,1),(25637,1)]
backgift001	领取	Claim
backgift002	已领取	Claimed
backgift003	已过期	Expired
backgift004	{0}月{1}日	{0}/{1}
backplay001	今日充值神石数:{0}	Today you've recharged: {0} Balens
backplay002	今日已累计消费神石:{0}	Today you've consumed: {0} Balens
backplay003	累计充值达到{0}神石	Recharge {0} Balens in total.
backplay004	累计消费{0}神石	Consume {0} Balens in total.
baifenbishuxing	[14,15]	[14,15]
bangpai	帮派:	Guild:
baoshiTips	宝石（S）	Gem(s)
baoshitouzi	#C(#FFFFFF)投资#C(#00FF00){0}充值神石#n累计收益#C(#00FF00)价值3000神石#n的宝石#n	#C(#FFFFFF) Deposit #C(#00FF00) Recharge Balens x {0}#n to receive #C(#00FF00) a 3000 Balens worth Gem Pack.#n
baoshitouzi1	累计收益价值3000神石	Win a prize worth 2500 Balens
bbgs001	宝箱原价：{0}	Gem Chest original price: {0}
bbgs002	当前折扣价：{0}	Current discount price: {0}
bbgs003	该宝箱已购买，本次活动期间不可重复购买。	You've already bought this Gem Chest. You can't buy it again during this event.
bbgs004	宝箱尚未激活，请先开启上一阶的宝箱。	The Gem Chest is locked. Enter the last level to unlock it.
bbgs005	本次消耗{0}神石，开启{1}，是否确认开启。	Consume {0} Balen(s) to open {1}. Are you sure you want to open it?
bbgs006	充值神石不足	Insufficient Balens recharged.
beibao	背包	Bag
