messageId	desc	FTdesc
消息id	描述	繁體描述
fanchenmi	#C(#ff0000)抵制不良游戏， 拒绝盗版游戏。#H注意自我保护， 预防受骗上当。#H适度游戏益脑， 沉迷游戏伤身。#H合理安排时间， 享受健康生活。	#C(#ff0000)抵制不良遊戲， 拒絕盜版遊戲。#H注意自我保護， 預防受騙上當。#H適度遊戲益腦， 沉迷遊戲傷身。#H合理安排時間， 享受健康生活。
cffy2	#C(#ff0000)无法发送空白内容	#C(#ff0000)無法發送空白內容
cffy	#C(#ff0000)不能连续发送相同的内容	#C(#ff0000)不能連續發送相同的內容
worldChatWarn	#C(#ff0000)你未满{0}级或者贵族等级未达到1级，无法在世界频道发送信息，请努力升级或者提升贵族等级。	#C(#ff0000)你未滿{0}級或者貴族等級未達到1級，無法在世界頻道發送資訊，請努力升級或者提升貴族等級。
unionWarn	#C(#ff0000)您还没加入公会，无法使用公会频道	#C(#ff0000)您還沒加入公會，無法使用公會頻道
groupChatWarn	#C(#ff0000)您还没有队伍，无法使用队伍频道	#C(#ff0000)您還沒有隊伍，無法使用隊伍頻道
vip0	#C(#FFFFFF)	#C(#FFFFFF)
vip1	#C(#F9AF34)	#C(#F9AF34)
vip2	#C(#F9AF34)	#C(#F9AF34)
vip3	#C(#F9AF34)	#C(#F9AF34)
vip4	#C(#F9AF34)	#C(#F9AF34)
vip5	#C(#F9AF34)	#C(#F9AF34)
vip6	#C(#F9AF34)	#C(#F9AF34)
vip7	#C(#F9AF34)	#C(#F9AF34)
vip8	#C(#F9AF34)	#C(#F9AF34)
vip9	#C(#F9AF34)	#C(#F9AF34)
vip10	#C(#F9AF34)	#C(#F9AF34)
ltxingbie1	#B#C(#389aff)♂#n#n	#B#C(#389aff)♂#n#n
ltxingbie2	#B#C(#ff2c2c)♀#n#n	#B#C(#ff2c2c)♀#n#n
chat1	喇叭不足	喇叭不足
chat2	#C(#f7f7f)--------------------------历史记录----------------------------------	#C(#f7f7f)--------------------------歷史記錄----------------------------------
chat3	私聊	私聊
chat4	加为好友	加為好友
chat5	查看信息	查看信息
chat6	加入队伍	加入隊伍
chat7	复制名字	複製名字
chat8	加入黑名单	加入黑名單
chat9	点击清除	點擊清除
chat10	邀请入队	邀請入隊
chat11	删除好友	刪除好友
chat12	世界	世界
chat13	公会	公會
chat14	道具喇叭不足，是否购买喇叭?	道具喇叭不足，是否購買喇叭?
chat16	喇叭	喇叭
chat17	点击锁定消息滚动	點擊鎖定消息滾動
chat18	点击解锁消息滚动	點擊解鎖消息滾動
chat19	[贵族{0}]特权	[貴族{0}]特權
chat20	[半年皇室契约]特权	[半年皇室契約]特權
chat21	[1个月皇室契约]特权	[1個月皇室契約]特權
chat22	[7天皇室契约]特权	[7天皇室契約]特權
chat23	公会邀请	公會邀請
chat24	#C(#fbfe00){0}#n等级不足#C(#fbfe00){1}#n，无法加入公会	#C(#fbfe00){0}#n等級不足#C(#fbfe00){1}#n，無法加入公會
chat25	点击扩大	點擊擴大
chat26	点击缩小	點擊縮小
chat27	点击常态	點擊常態
chat28	点击收起聊天窗口	點擊收起聊天窗口
chat29	点击展开聊天窗口	點擊展開聊天窗口
enNone	占位	占位
attack	攻击	攻擊
maxhp	生命	生命
attackspeed	攻击速度	攻擊速度
anger	怒气	怒氣
attack_p	物攻	物攻
defense_p	物防	物防
attack_m	法攻	法攻
defense_m	法防	法防
crit	暴击	暴擊
critpress	免暴	免暴
antibroken	破防	破防
notbroken	免破	免破
parry	格挡	格擋
puncture	破挡	破擋
damageupgrade	增伤	增傷
damagereduce	免伤	免傷
zdl	战斗力	戰鬥力
PropertyEnum0	占位	占位
PropertyEnum1	生命	生命
PropertyEnum2	速度	速度
PropertyEnum3	主角初始怒气	主角初始怒氣
PropertyEnum4	物攻	物攻
PropertyEnum5	物防	物防
PropertyEnum6	法攻	法攻
PropertyEnum7	法防	法防
PropertyEnum8	暴击	暴擊
PropertyEnum9	免暴	免暴
PropertyEnum10	破防	破防
PropertyEnum11	免破	免破
PropertyEnum12	格挡	格擋
PropertyEnum13	破挡	破擋
PropertyEnum14	增伤	增傷
PropertyEnum15	免伤	免傷
PropertyEnum16	战斗力	戰鬥力
PropertyEnum-16	攻击加成	攻擊加成
recruit1	需要等级：	需要等級：
recruit2	需要声望：	需要聲望：
recruit3	冷却后可再次招募	冷卻後可再次招募
recruit4	当前：{0}/{1}页	當前：{0}/{1}頁
recruit5	{0}*{1}	{0}*{1}
recruit6	英雄列表已满，请先解雇多余英雄	英雄列表已滿，請先解雇多餘英雄
recruit7	道具不足	道具不足
recruit8	进化后开启	進化後開啟
recruit9	进化后升级	進化後升級
recruit10	主动技能	主動技能
recruit11	被动技能	被動技能
pack1	装备	裝備
pack2	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}金币	#C(#ffffff)出售{0}個#C({1}){2}#n,將得到{3}金幣
pack3	#C(#FFFFFF)背包空间不足#n	#C(#FFFFFF)背包空間不足#n
pack4	背包容量：	背包容量：
pack5	剩余可扩展次数{0}	剩餘可擴展次數{0}
pack6	是否消耗{0}神石或魔晶，扩展5个背包格子?	是否消耗{0}神石或魔晶，擴展5個背包格子?
pack7	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}个魂石	#C(#ffffff)出售{0}個#C({1}){2}#n,將得到{3}個魂石
qhdj	强化等级：{0}	強化等級：{0}
money	金币	金幣
fb_tip1	达到{0}级才能开启该章节	達到{0}級才能開啟該章節
fb_tip2	是否使用{0}魔晶（魔晶不足时，消耗神石），购买1次挑战次数	是否使用{0}魔晶（魔晶不足時，消耗神石），購買1次挑戰次數
fb_tip3	您的神石不足	您的神石不足
propsType1	消耗品	消耗品
propsType2	武器	武器
propsType3	防具	防具
propsType4	饰品	飾品
propsType5	宝石	寶石
propsType6	长弓	長弓
propsType7	匕首	匕首
propsType8	战斧	戰斧
propsType9	圣枪	聖槍
propsType10	战锤	戰錘
propsType11	弯刀	彎刀
propsType12	符文	符文
ji	级	級
ygq	已过期	已過期
