messageId	desc	Turkishdesc
消息id	描述	土耳其描述
fanchenmi	#C(#ff0000)抵制不良游戏， 拒绝盗版游戏。#H注意自我保护， 预防受骗上当。#H适度游戏益脑， 沉迷游戏伤身。#H合理安排时间， 享受健康生活。	#C(#FF0000)#Efsane şovalye#Şeytanlar, tanrılar ve insanlar arasındaki savaş size yeni tecrübeler kazandıracak.
cffy2	#C(#ff0000)无法发送空白内容	#C(#ff0000)Metin kutusu boş bırakılamaz
cffy	#C(#ff0000)不能连续发送相同的内容	#C(#ff0000)Aynı mesaj iki kez gönderilemez
worldChatWarn	#C(#ff0000)你未满{0}级或者贵族等级未达到1级，无法在世界频道发送信息，请努力升级或者提升贵族等级。	#C(#ff0000)Dünya kanalında sohbet için ya {0} seviye ya da VIP 1 olmak gereklidir. Seviyenizi yükseltin ya da VIP 1 olun. 
unionWarn	#C(#ff0000)您还没加入公会，无法使用公会频道	#C(#ff0000)Birlik üyesi değilsiniz. Birlik sohbetine girilemez.
groupChatWarn	#C(#ff0000)您还没有队伍，无法使用队伍频道	#C(#ff0000)Ekip üyesi değilsiniz. Ekip sohbetine girilemez.
vip0	#C(#FFFFFF)	#C(#FFFFFF)
vip1	#C(#F9AF34)	#C(#F9AF34)
vip2	#C(#F9AF34)	#C(#F9AF34)
vip3	#C(#F9AF34)	#C(#F9AF34)
vip4	#C(#F9AF34)	#C(#F9AF34)
vip5	#C(#F9AF34)	#C(#F9AF34)
vip6	#C(#F9AF34)	#C(#F9AF34)
vip7	#C(#F9AF34)	#C(#F9AF34)
vip8	#C(#F9AF34)	#C(#F9AF34)
vip9	#C(#F9AF34)	#C(#F9AF34)
vip10	#C(#F9AF34)	#C(#F9AF34)
ltxingbie1	#B#C(#389aff)♂#n#n	#B#C(#389aff)♂#n#n
ltxingbie2	#B#C(#ff2c2c)♀#n#n	#B#C(#ff2c2c)♀#n#n
chat1	喇叭不足	Boynuz yetersiz!
chat2	#C(#f7f7f)--------------------------历史记录----------------------------------	#C(#f7f7f)--------------------------Chat Log----------------------------------
chat3	私聊	Özel mesaj
chat4	加为好友	Arkadaş ol
chat5	查看信息	Bilgiyi gör
chat6	加入队伍	Takıma gir
chat7	复制名字	İsmi kopyala
chat8	加入黑名单	Kara liste
chat9	点击清除	Tıkla tamamla
chat10	邀请入队	Ekibe davet et
chat11	删除好友	Arkadaşı sil
chat12	世界	Dünya
chat13	公会	Birlik
chat14	道具喇叭不足，是否购买喇叭?	Boynuz yetersiz! Boynuz satın alın.
chat16	喇叭	Boynuz
chat17	点击锁定消息滚动	Tıkla mesajı kilitle
chat18	点击解锁消息滚动	Tıkla mesajı aç
chat19	[贵族{0}]特权	[VIP{0}]Getiriler
chat20	[半年皇室契约]特权	*****
chat21	[1个月皇室契约]特权	*****
chat22	[7天皇室契约]特权	*****
chat23	公会邀请	Birliğe davet
chat24	#C(#fbfe00){0}#n等级不足#C(#fbfe00){1}#n，无法加入公会	#C(#fbfe00){0}#n #C(#fbfe00){1}#n birliğe katılacak seviyeye ulaşılmadı
chat25	点击扩大	Tıkla büyüt
chat26	点击缩小	Tıkla küçült
chat27	点击常态	Tıkla norerkek dön
chat28	点击收起聊天窗口	Tıkla gizle
chat29	点击展开聊天窗口	Tıkla göster
enNone	占位	******
attack	攻击	Saldırı
maxhp	生命	Can
attackspeed	攻击速度	Saldırı Hızı
anger	怒气	Öfke
attack_p	物攻	F.Sal.
defense_p	物防	F.Sav.
attack_m	法攻	S.Sal.
defense_m	法防	S.Sav.
crit	暴击	Kritik
critpress	免暴	Antikrit
antibroken	破防	Savunma kır
notbroken	免破	Kırma engelle
parry	格挡	Blok
puncture	破挡	Blok kır
damageupgrade	增伤	Hasar artış
damagereduce	免伤	Hasar düşüş
zdl	战斗力	Savaş değerle
PropertyEnum0	占位	*****
PropertyEnum1	生命	Can
PropertyEnum2	速度	Hız
PropertyEnum3	主角初始怒气	Başlangıç öfke
