messageId	desc	FrDesc
消息id	描述	法语翻译
fanchenmi	#C(#ff0000)抵制不良游戏， 拒绝盗版游戏。#H注意自我保护， 预防受骗上当。#H适度游戏益脑， 沉迷游戏伤身。#H合理安排时间， 享受健康生活。	#C(#ff0000)Ne confiez jamais votre compte et mot de passe aux autres.
cffy2	#C(#ff0000)无法发送空白内容	#C(#ff0000)on ne peut pas envoyer un message vide
cffy	#C(#ff0000)不能连续发送相同的内容	#C(#ff0000)on ne peut pas envoyer le même message sans cesse 
worldChatWarn	#C(#ff0000)你未满{0}级或者贵族等级未达到1级，无法在世界频道发送信息，请努力升级或者提升贵族等级。	#C(#ff0000)vous n'avez pas atteint le niveau {0}ou le niveau du noble n'a pas atteint 1，alors ,vous ne pouvez pas envoyer un message à la chaîne Monde ,veillez améliorer ou augmenter le niveau du noble.
unionWarn	#C(#ff0000)您还没加入公会，无法使用公会频道	#C(#ff0000)vous n'avez pas rejoint la guilde ,et vous ne pouvez pas profiter de la chaîne de la guilde.
groupChatWarn	#C(#ff0000)您还没有队伍，无法使用队伍频道	#C(#ff0000)vous n'avez pas rejoint l'équipe ,et vous ne pouvez pas profiter de la chaîne de l'équipe .
vip0	#C(#FFFFFF)	#C(#FFFFFF)
vip1	#C(#F9AF34)	#C(#F9AF34)
vip2	#C(#F9AF34)	#C(#F9AF34)
vip3	#C(#F9AF34)	#C(#F9AF34)
vip4	#C(#F9AF34)	#C(#F9AF34)
vip5	#C(#F9AF34)	#C(#F9AF34)
vip6	#C(#F9AF34)	#C(#F9AF34)
vip7	#C(#F9AF34)	#C(#F9AF34)
vip8	#C(#F9AF34)	#C(#F9AF34)
vip9	#C(#F9AF34)	#C(#F9AF34)
vip10	#C(#F9AF34)	#C(#F9AF34)
ltxingbie1	#B#C(#389aff)♂#n#n	#B#C(#389aff)♂#n#n
ltxingbie2	#B#C(#ff2c2c)♀#n#n	#B#C(#ff2c2c)♀#n#n
chat1	喇叭不足	haut-parleur est insuffisant 
chat2	#C(#f7f7f)--------------------------历史记录----------------------------------	#C(#f7f7f)--------------------------relevé historique ----------------------------------
chat3	私聊	conversation privée
chat4	加为好友	ajouter un ami 
chat5	查看信息	afficher l'information 
chat6	加入队伍	rejoindre l'équipe 
chat7	复制名字	copier le nom 
chat8	加入黑名单	ajouter dans la liste noire
chat9	点击清除	cliquer pour effacer 
chat10	邀请入队	invitation à l'équipe 
chat11	删除好友	effacer l'ami
chat12	世界	monde 
chat13	公会	guilde 
chat14	道具喇叭不足，是否购买喇叭?	le haut-parleur est insuffisant,vouliez vous en acheter un 
chat16	喇叭	haut-parleur est insuffisant 
chat17	点击锁定消息滚动	cliquer pour arrêter le verrouillage
