名称	别名	版本
GameLoader.swf	0.0390841404	109
Logo.swf	lucky/0.700399816	4
Main.swf	lucky/0.569566965	119
Resources/Headpic/Lv2_ZD_JianM1.jpg	lucky/0.0280465111	0
Resources/Headpic/Lv2_ZD_JianM2.jpg	lucky/0.679769278	0
Resources/Headpic/Lv2_ZD_JianM3.jpg	lucky/0.118839078	0
Resources/Headpic/Lv2_ZD_JianW1.jpg	lucky/0.0604571663	0
Resources/Headpic/Lv2_ZD_JianW2.jpg	lucky/0.865810096	0
Resources/Headpic/Lv2_ZD_JianW3.jpg	lucky/0.0860927179	0
Resources/Headpic/Lv2_ZD_QiM1.jpg	lucky/0.173131511	0
Resources/Headpic/Lv2_ZD_QiM2.jpg	lucky/0.529740274	0
Resources/Headpic/Lv2_ZD_QiM3.jpg	lucky/0.277596354	0
Resources/Headpic/Lv2_ZD_QiW1.jpg	lucky/0.0370494723	0
Resources/Headpic/Lv2_ZD_QiW2.jpg	lucky/0.417767882	0
Resources/Headpic/Lv2_ZD_QiW3.jpg	lucky/0.330179751	0
Resources/bufferIcon/buffer.swf	lucky/0.991119087	12
Resources/color/color.swf	lucky/0.742667913	1
Resources/config/FaceIcons.swf	lucky/0.730796218	0
Resources/config/config.swf	lucky/0.92144537	81
Resources/config/init.swf	lucky/0.0290841404	122
Resources/fightMap/1.jpg	lucky/0.817316175	1
Resources/fightMap/10.jpg	lucky/0.513840139	1
Resources/fightMap/11.jpg	lucky/0.64793849	1
Resources/fightMap/12.jpg	lucky/0.113864556	2
Resources/fightMap/13.jpg	lucky/0.061281167	1
Resources/fightMap/14.jpg	lucky/0.172460094	1
Resources/fightMap/15.jpg	lucky/0.709433258	1
Resources/fightMap/16.jpg	lucky/0.374675751	1
Resources/fightMap/17.jpg	lucky/0.480361342	1
Resources/fightMap/18.jpg	lucky/0.713858426	1
Resources/fightMap/19.jpg	lucky/0.258644372	1
Resources/fightMap/2.jpg	lucky/0.742759466	1
