maleFirst	femaleFirst	maleSecond	femaleSecond
圣徒	圣徒	贝克	爱丽丝
逐风者	逐风者	亨特	爱玛
刺客	刺客	卡特	阿尔娃
圣者	圣者	斯密斯	阿曼达
猎魔师	猎魔师	库克	艾咪
游侠	游侠	米勒	安琪拉
轻语者	轻语者	霍尔	安妮
风之子	风之女	肯特	安娜
铁盾	铁盾	米尔	艾谱莉
屠魔	屠魔	布鲁克	艾琳娜
狮心	狮心	希尔	雅典娜
圣灵	圣灵	雷克	奥德莉
圣子	圣子	菲尔德	奥萝拉
征服者	征服者	格林	芭芭拉
月之子	月之女	伍德	碧翠丝
破城者	破城者	维尔	贝琳达
弑神者	弑神者	布朗	贝拉
玫瑰心	玫瑰心	怀特	贝拉
蔷薇心	蔷薇心	朗曼	柏妮丝
铁盟卫	铁盟卫	肖特	柏莎
拥王者	拥王者	夏普	百丽儿
弑君者	弑君者	哈代	贝丝
风暴	风暴	杨	贝琪
荆棘	荆棘	李	贝蒂
阳炎	阳炎	斯特林	贝芙丽
海之子	海之女	巴克	布兰琪
失忆者	失忆者	汉德	布莱兹
智慧者	智慧者	芬格	邦妮
盗火者	盗火者	布雷恩	卡蜜拉
战神	战神	伯德	坎蒂丝
神使	神使	布尔	卡拉
光之子	光之女	福克斯	卡萝
复仇者	复仇者	霍克	卡洛琳
惩罚者	惩罚者	斯托克	凯瑟琳
血歌	血歌	克顿	凯丝
星之子	星之女	里德	夏洛特
血盟卫	血盟卫	马丁	绮莉
圣护卫	圣护卫	伯纳德	绮丽儿
忠王者	忠王者	理查德	克洛怡
裁决者	裁决者	罗伯托	克莱儿
挽歌	挽歌	理查德	克莱拉
逐风	逐风	佩蒂特	柯拉
月光	月光	杜兰德	卡洛儿
星光	星光	乐华	辛西亚
圣佑	圣佑	莫罗	黛西
黄金	黄金	西蒙	黛儿
钻石	钻石	洛朗	黛娜
星辰	星辰	米歇尔	黛芙妮
闪耀	闪耀	加西亚	达莲娜
影勇士	勇士	大卫	潼恩
影歌	影歌	波特兰	黛碧
影护卫	影护卫	鲁	黛博拉
影之拳	影之拳	文森特	迪得莉
轻风	轻风	富尼耶	迪丽雅
圣裁	圣裁	米勒	丹尼丝
地之子	地之女	斯密特	黛安娜
圣裁	圣裁	斯奈德	黛娜
星辰	星辰	菲舍尔	唐娜
闪耀	闪耀	迈耶	多拉
光盟卫	光盟卫	韦伯	多琳
水之子	水之女	舒尔茨	多莉丝
好战者	好战者	瓦格纳	桃乐斯
风歌	风歌	贝克尔	尔莎
风之翼	风之翼	霍夫曼	依甸
冠军	冠军	纳吉	依蒂丝
光荣	光荣	科瓦奇	爱琳
荣耀	荣耀	托特	依莲恩
勇者	勇者	萨博	艾琳诺
隐士	隐士	霍瓦特	艾拉
仁慈	仁慈	瓦加尔	艾尔玛
王冠	王冠	基斯	爱尔莎
天选者	天选者	内梅特	艾西
和平	和平	法卡斯	艾娃
骁勇	骁勇	巴洛格	艾薇拉
鹰王	鹰王	帕普	艾蜜莉
狼王	狼王	尤哈什	艾玛
狮王	狮王	奥拉	艾丽卡
幻灵	幻灵	西蒙	艾琳
风灵	风灵	拉克斯	艾丝特
狼灵	狼灵	菲克特	艾瑟儿
流浪者	流浪者	罗西	尤朵拉
圣星	圣星	鲁索	尤妮丝
圣光使	圣光使	法拉利	费滋
圣使	圣使	比安奇	梵妮
灭魂	灭魂	罗马诺	费怡
圣武	圣武	科伦坡	弗罗拉
如风者	如风者	里奇	弗莉达
隐者	隐者	马里诺	盖尔
死触	死触	格里科	姬玛
星之力	星之力	布鲁诺	珍妮芙
光之力	光之力	盖洛	乔治亚
风之力	风之力	孔蒂	娇拉汀
水之力	水之力	德卢卡	姬儿
夜风	夜风	科斯塔	葛瑞丝
夜星	夜星	左丹奴	关德琳
暗影	暗影	曼奇尼	汉娜
暗星	暗星	里佐	哈莉特
月吟者	月吟者	隆巴迪	海柔尔
夜吟者	夜吟者	莫里蒂	赫达
暗杀者	暗杀者	汉森	赫蒂
杀神	杀神	约翰森	海伦
灭神	灭神	奥尔森	何蒙莎
毁灭者	毁灭者	拉森	希尔达
死星	死星	安徒生	汉妮
星歌	星歌	佩德森	胡达
风歌	风歌	尼尔森	艾达
血灵	血灵	詹森	艾娜
死泣	死泣	卡尔森	英格丽
无畏	无畏	佩特森	艾琳
怒意	怒意	伯格	爱莉丝
狂怒	狂怒	豪根	艾尔玛
焚心者	焚心者	哈根	艾薇
幽火	幽火	诺瓦克	贾桂琳
星语者	星语者	科瓦尔	婕咪
暗语者	暗语者	卡明	珍
血怒	血怒	沃兹	珍妮特
圣佑	圣佑	杨科	珍尼丝
光佑	光佑	玛祖尔	琴
血佑	血佑	卡兹	珍尼佛
屠王者	屠王者	格拉博	珍妮
血之子	血之女	加西亚	婕西
残暴	花语	洛佩斯	杰西嘉
残忍		桑切斯	姬儿
		佩雷斯	乔
		马丁	琼
		戈麦斯	乔安娜
		鲁易斯	希伯来
		迪亚斯	贾思琳
		莫雷诺	乔蒂
		阿隆索	约瑟芬
		罗梅罗	乔依丝
		琼斯	朱蒂斯
		泰勒	朱蒂
		布朗	朱丽亚
		威尔逊	朱莉
		汤普森	朱丽叶
		易万斯	朱恩
		沃克	卡玛
		怀特	凯伦
		罗伯茨	凯瑟琳
		格林	凯莉盖
		克拉克	金百莉
		坎贝尔	吉蒂
		凯利	萝拉
		摩尔	萝瑞尔
		奎因	萝伦
		休斯	李
		美利	莉拉
		墨菲	莉娜
		欧文	李奥娜
		图瓦	雷思丽
		詹姆	莉莉斯
		麦克戴	丽莲
		诺顿	琳达
		诺斯	琳赛
		帕克	丽莎
		杰克	莉斯
		斯温	洛伦
		拉纳德	璐易丝
		罗宾德	露西
		维克多	莉蒂亚
		布瓦洛	琳
		拉马丁	玛佩尔
		保尔	玛德琳
		尤撒	玛琪
		勒内	玛姬
		费雷德	梅蜜
		菲尔	曼蒂
		尼克	玛西亚
		休斯	玛丽亚
		尼禄	玛丽安
		詹姆斯	马丽娜
		弗勒	玛乔丽
		比尔	玛莎
		布洛斯	玛蒂娜
		斯顿	玛丽
		罗宾逊	穆得
		莱特	穆琳
		赖特	梅薇思
		马里齐	玛可欣
		威廉	麦格
		罗伯特	梅
		罗伯斯	梅根
		罗杰斯	玛希
		弗里奥	梅莉
		杰帕斯	蜜雪儿
		铁礼列	蜜妮安
		安杰罗	穆得莉
		曼努	米兰达
		埃尔	蜜莉恩
		易安	茉莉
		查理	梦娜
		约翰	莫妮卡
		洛雪弗	穆丽儿
		费南德	玛拉
		阿尔	蜜尔娜
		赛维	南茜
		库鲁	娜特莉
		柯鲁洛	内丽
		尤里安	妮可拉
		尤利	妮可
		丹尼	妮娜
		斯诺	诺拉
		眷恩	诺玛
		莱姆	诺维雅
		赖穆	妮蒂亚
		穆恩	欧尔佳
		斯戴	奥丽芙
		劳诺德	佩格
		诺	蓓姬
		维斯特	赛拉
		威斯汀	佩儿
		斯诺	潘妮
		布莱克	菲碧
		怀特	菲丽丝
		慕斯	珀莉
		菲斯	波比
		科斯	普莉玛
		科尔	昆蒂娜
		德曼	瑞琪儿
		马弗奥	丽蓓卡
