femaleFirst	maleFirst	femaleSecond	maleSecond
Nafisa	Harold	Gimik	Gimik
Alysa	Orion	Burlu	Burlu
Yvonne	Jacob	Zijat	Zijat
Zada	Reuben	Gary	Gary
Dabria	Jake	Flugil	Flugil
Emily	Whitby	Amik	Amik
Helena	Max	David	David
Abigail	Mike	James	James
Vala	Fuller	Percy	Percy
Shams	Lloyd	Horbek	Horbek
Zahara	Vail	Kirk	Kirk
Crystal	Ted	Ivens	Ivens
Gwen	Vincent	Ehhum	Ehhum
Nicole	Joshua	Rafnil	Rafnil
Harriet	Koen	Pulver	Pulver
Belle	Isa	Stelum	Stelum
Fiona	Emil	Kuvan	Kuvan
Lewa	Sanders	Marum	Marum
Kiran	Chale	Chener	Chener
Wilma	Oringo	Marban	Marban
Dora	Curtis	Klub	Klub
Isoke	Jamison	Quick	Quick
Valora	Dennis	Kamino	Kamino
Floria	Cavan	Haska	Haska
Laila	Enrico	Kuirej	Kuirej
Nadia	Fidel	Paner	Paner
Ora	Erik	Hill	Hill
Idonia	Jeffrey	Korjas	Korjas
Zinia	Hilton	Ostum	Ostum
Claire	Frasier	Domet	Domet
Vanna	Tymon	Keith	Keith
Oralie	Kontar	Hakil	Hakil
Diana	Oakley	Chipen	Chipen
Carly	Kevin	Montum	Montum
Brenda	Norman	Clark	Clark
Kohana	Hank	Sabler	Sabler
Stella	Khalil	Bird	Bird
Trixie	Tilden	Clive	Clive
Dara	Palma	Gust	Gust
Julia	Justin	Plumuj	Plumuj
Vida	Lian	Butik	Butik
Lara	Nate	Hark	Hark
Nina	Lang	Pomuj	Pomuj
Eleanor	Lucas	Hall	Hall
Noya	Edison	Bondno	Bondno
Rayna	Oscar	Lewis	Lewis
Fern	Eugene	Piruj	Piruj
Bianca	Walker	Heldan	Heldan
Fleur	Dave	Ameblo	Ameblo
Anna	Hollis	Bravul	Bravul
Laura	Orsen	Cook	Cook
Ella	Samuel	Traman	Traman
Pamela	Oren	Nomum	Nomum
Uma	Colin	Saist	Saist
Bree	Trevor	Famili	Famili
Roxana	Ovid	Verum	Verum
Halona	Elmo	Karlan	Karlan
Maren	Angelo	Inkuj	Inkuj
Elita	Fisk	Vishon	Vishon
Cybill	Enos	Rose	Rose
Bonnie	Magnus	Land	Land
Irisa	Platon	Pilk	Pilk
Eranthe	Kester	Pepian	Pepian
Daisy	Adley	Tipum	Tipum
Harmony	Harlan	Skatol	Skatol
Aggie	Ranen	Fiskan	Fiskan
Haile	Xerxes	Scott	Scott
Debbie	York	Aerum	Aerum
Gloria	Milo	Urbum	Urbum
Zoe	Dustin	Smith	Smith
Gitana	Slade	Owen	Owen
Ivy	Nika	Homar	Homar
Linda	Ibrahim	Regum	Regum
