maleFirst	femaleFirst	maleSecond	femaleSecond
ADAM	ADA	SWAT	SWAT
AGENOR	IDA	CIEŚLA	CIEŚLA
ARON	AGATA	ŁOWCZY	ŁOWCZY
ARTUR	HANNA	GAJOWY	GAJOWY
ANZELM	ANNA	MAG	MAG
BALBIN	LENA	KRUPA	KRUPA
BENON	AGA	SKIBA	SKIBA
BAZYLI	OLA	MAJ	MAJ
BŁAŻEJ	ALICJA	LIPIEC	LIPIEC
BOHDAN	AMELIA	DUCH	DUCH
BRUNO	MELA	KRÓL	KRÓL
BRUNON	ANETA	SOCHA	SOCHA
BORYS	ANITA	DUDEK	DUDEK
BOLEK	BEATA	LEŚNY	LEŚNY
BARTEK	BLANKA	CIEMNY	CIEMNY
CECYL	BOŻENA	CZARNY	CZARNY
CEZAR	CELINA	ŚMIAŁY	ŚMIAŁY
CYRYL	DANUTA	HARDY	HARDY
DACJAN	DARIA	KRASNY	KRASNY
DAWID	DIANA	PYSZNY	PYSZNY
DANIEL	DOROTA	CHYŻY	CHYŻY
DORIAN	EDYTA	CHWACKI	CHWACKI
ERYK	ELIZA	GROŹNY	GROŹNY
EMIL	EMILIA 	CHORĄŻY	CHORĄŻY
EDWARD	EWA	CNOTNY	CNOTNY
FABIAN	HALINA	RĄCZY	RĄCZY
FILIP	HELENA	MROK	MROK
FAUST	ILONA	STARY	STARY
GABIN	IRENA	GÓRSKI	GÓRSKI
GABOR	IRMINA	LENNY	LENNY
GAJUSZ	IWONA	OSTRY	OSTRY
GAWEŁ	JOANNA	WILK	WILK
GERARD	JOLA	ORZEŁ	ORZEŁ
GERALT	JULIA	GAJDA	GAJDA
GOSŁAW	KAMILA	RYBAK	RYBAK
GWIDON	KINGA	BEDNAR	BEDNAR
GUSTAW	LAURA	GÓRA	GÓRA
HUBERT	LILA	DĄB	DĄB
HUGO	LUIZA	KŁOS	KŁOS
HUGON	ŁUCJA	WRZOS	WRZOS
HORACY	MAGDA	TOKARZ	TOKARZ
