messageId	desc
消息id	描述
fanchenmi	#C(#ff0000)抵制不良游戏， 拒绝盗版游戏。#H注意自我保护， 预防受骗上当。#H适度游戏益脑， 沉迷游戏伤身。#H合理安排时间， 享受健康生活。
cffy2	#C(#ff0000)无法发送空白内容
cffy	#C(#ff0000)不能连续发送相同的内容
worldChatWarn	#C(#ff0000)你未满{0}级或者贵族等级未达到1级，无法在世界频道发送信息，请努力升级或者提升贵族等级。
unionWarn	#C(#ff0000)您还没加入公会，无法使用公会频道
groupChatWarn	#C(#ff0000)您还没有队伍，无法使用队伍频道
vip0	#C(#FFFFFF)
vip1	#C(#F9AF34)
vip2	#C(#F9AF34)
vip3	#C(#F9AF34)
vip4	#C(#F9AF34)
vip5	#C(#F9AF34)
vip6	#C(#F9AF34)
vip7	#C(#F9AF34)
vip8	#C(#F9AF34)
vip9	#C(#F9AF34)
vip10	#C(#F9AF34)
ltxingbie1	#B#C(#389aff)♂#n#n
ltxingbie2	#B#C(#ff2c2c)♀#n#n
chat1	喇叭不足
chat2	#C(#f7f7f)--------------------------历史记录----------------------------------
chat3	私聊
chat4	加为好友
chat5	查看信息
chat6	加入队伍
chat7	复制名字
chat8	加入黑名单
chat9	点击清除
chat10	邀请入队
chat11	删除好友
chat12	世界
chat13	公会
chat14	道具喇叭不足，是否购买喇叭?
chat16	喇叭
chat17	点击锁定消息滚动
chat18	点击解锁消息滚动
chat19	[贵族{0}]特权
chat20	[半年皇室契约]特权
chat21	[1个月皇室契约]特权
chat22	[7天皇室契约]特权
chat23	公会邀请
chat24	#C(#fbfe00){0}#n等级不足#C(#fbfe00){1}#n，无法加入公会
chat25	点击扩大
chat26	点击缩小
chat27	点击常态
chat28	点击收起聊天窗口
chat29	点击展开聊天窗口
chat30	队伍
chat31	#C(#ff0000)#S(16)温馨提示：#n#n#H#C(#fbfe00)切勿相信任何出售神石、送首充、送贵族、进YY等信息！#n
chat32	#C(#ff0000)此场景无法使用区域聊天
chat33	区域
chat34	战场
enNone	占位
attack	攻击
maxhp	生命
attackspeed	攻击速度
anger	怒气
attack_p	物攻
defense_p	物防
attack_m	法攻
defense_m	法防
crit	暴击
critpress	免暴
antibroken	破防
notbroken	免破
parry	格挡
puncture	破挡
damageupgrade	增伤
damagereduce	免伤
zdl	战斗力
PropertyEnum0	占位
PropertyEnum1	生命
PropertyEnum2	速度
PropertyEnum3	主角初始怒气
PropertyEnum4	物攻
PropertyEnum5	物防
PropertyEnum6	法攻
PropertyEnum7	法防
PropertyEnum8	暴击
PropertyEnum9	免暴
PropertyEnum10	破防
PropertyEnum11	免破
PropertyEnum12	格挡
PropertyEnum13	破挡
PropertyEnum14	增伤
PropertyEnum15	免伤
PropertyEnum16	战斗力
PropertyEnum-16	攻击加成
recruit1	需要等级：
recruit2	需要声望：
recruit3	冷却后可再次招募
recruit4	当前：{0}/{1}页
recruit6	英雄列表已满，请先解雇多余英雄
recruit7	道具不足
recruit8	进化后开启
recruit9	进化后升级
recruit10	主动技能
recruit11	被动技能
pack1	装备
pack2	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}金币
pack3	#C(#FFFFFF)背包空间不足#n
pack4	背包容量：
pack5	剩余可扩展次数{0}
pack6	是否消耗{0}神石或魔晶，扩展5个背包格子?
pack7	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}个魂石
pack8	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}{4}
qhdj	强化等级：{0}
money	金币
fb_tip1	达到{0}级才能开启该章节
fb_tip2	是否使用{0}魔晶（魔晶不足时，消耗神石），购买1次挑战次数
fb_tip3	您的神石不足
propsType1	消耗品
propsType2	武器
propsType3	防具
propsType4	饰品
propsType5	宝石
propsType6	长弓
propsType7	匕首
propsType8	战斧
propsType9	圣枪
propsType10	战锤
propsType11	弯刀
propsType12	符文
ji	级
ygq	已过期
xiaoshi	小时
fenzhong	分钟
formation1	{0}已经在出阵位上，不能再出阵同样的英雄
formation2	已助阵的英雄将无法出阵
formation3	开启声望：
formation4	该英雄已参与助阵
formation5	助阵位已满
formation6	当前位置不能放置高于{0}星的英雄
formation7	{0}已助阵，该类型的英雄不能再助阵
formation8	当前助阵位未开启
formation9	{0}已经在助阵位上，不能再出阵同类型的英雄
formation10	防御
formation11	辅助
formation13	等级不足{0}级，尚未达到开启条件
formation14	31级开启助阵位
formation15	{0}已出阵，该类型的英雄不能再助阵
formation16	（主动技能）
formation17	（被动技能）
formation21	烈火重生，龙骑归来
