femaleFirst	maleFirst	femaleSecond	maleSecond
Adèle	Aaron		
Adélie	Abadie		
Adeline	Abel		
Adriana	Abélard		
Adrienne	Achille		
Agathe	Adam		
Agnès	Adolphe		
Aimée	Adrian		
Aina	Adrien		
Albane	Agathon		
Alberta	Agobart		
Alberte	Aitor		
Alessia	Alain		
Alexa	Alan		
Alexandra	Alaric		
Alexandrine	Alban		
Alexane	Albéric		
Alexiane	Albert		
Alice	Alcide		
Alicia	Aldéric		
Aline	Alex		
Alissa	Alexandre		
Alizée	Alexis		
Almérinda	Alfred		
Amance	Alix		
Amanda	Amaury		
Amandine	Amédée		
Ambre	Amour		
Amel	Anatole		
Amélie	André		
Anaé	Ange		
Anastasia	Anthony		
Andréa	Antoine		
Andréanne	Antonin		
Andrée	Antony		
Ange	Armand		
Angela	Arnaud		
Angèle	Arnold		
Angélique	Arsène		
Anik	Arthur		
Anna	Balthasar		
Annabelle	Baptiste		
Anne	Barnabé		
Anne-Claire	Basile		
Anne-France	Bastian		
Anne-Laure	Bastien		
Anne-Lise	Ben		
Anne-Marie	Benjamin		
Anne-Sophie	Beno?t		
Annette	Bernard		
Annick	Bernie		
Annie	Bertrand		
Anouchka	Boris		
Anouck	Breizhlander		
Anouk	Brice		
Antoinette	Bruno		
Apolline	Carlos		
Appoline	asper		
Ariana	Cécilien		
Ariane	Cédric		
Arianna	Célestin		
Arianne	César		
Arielle	Charles		
Arlette	Charlie		
Armelle	Christ		
Astrid	Christian		
Athéna	Christophe		
Aude	Cid		
Audréanne	Claude		
Audrey	Claudy		
Augustine	Clément		
Aurane	Colin		
Aurélie	C?me		
Auriane	Constantin		
Aurore	Corentin		
Auxanne	Cyprien		
Axelle	Cyrille		
Aymerick	Damien		
Babette	Daniel		
Barbara	Danny		
Béatrice	David		
Bécassine	Denis		
Bénédicte	Didier		
Bérangère	Dimitri		
Bérengère	Ditry		
Bérénice	Domi		
Bernadette	Dominique		
Bettina	Donatien		
