JinJie	nanqishiResId	nanqishizhanliID	nanqishiX	nanfashiResId	nanfashizhanliID	nanfashiX	nvqishiResId	nvqishizhanliID	nvqishiX	nvfashiResId	nvfashizhanliID	nvfashiX	AttackType	Speed	AttackDis
品阶	男骑士坐骑姿势	男骑士站立姿势	男骑士左上角头像	男法师坐骑姿势	男法师站立姿势	男法师左上角头像	女骑士坐骑姿势	女骑士站立姿势	女骑士左上角头像	女法师坐骑姿势	女法师站立姿势	女法师左上角头像	攻击类型(0近战，1远程）	移动速度	攻击距离
1	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
2	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
3	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
4	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
7	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
8	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
9	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
10	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
13	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
14	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
15	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
16	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
19	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
20	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
21	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
22	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
23	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
25	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
26	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
27	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
28	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
29	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
31	10005	10002	nqs3	10017	10014	nfs3	10011	10008	mqs3	10023	10020	mfs3	0	1000	90
32	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
33	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
34	10006	10003	nqs2	10018	10015	nfs2	10012	10009	mqs2	10024	10021	mfs2	0	1000	90
35	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
37	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
38	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
39	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
40	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
41	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
43	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
44	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
45	10005	10002	nqs2	10017	10014	nfs2	10011	10008	mqs2	10023	10020	mfs2	0	1000	90
46	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
47	10006	10003	nqs3	10018	10015	nfs3	10012	10009	mqs3	10024	10021	mfs3	0	1000	90
