heroNumber	needLevel	needItem	icon
英雄编号	需要等级	需要物品	小图标
4	30	25984,3	small25985
9	30	25984,3	small25985
14	30	25984,3	small25985
19	40	25985,3	small25984
24	40	25985,3	small25984
29	40	25985,3	small25984
34	60	25986,3	small25986
39	60	25986,3	small25986
44	60	25986,3	small25986
49	80	25987,3	small25987
54	80	25987,3	small25987
69	100	25988,3	small25988
74	100	25988,3	small25988
101	120	26511,3	small26511
113	120	26511,3	small26511
125	140	27065,3	small27065
131	140	27065,3	small27065
158	160	28036,3	small25989
164	160	28036,3	small25989
