grade	star	color	xianshi
品阶	星级	颜色	客户端读表用
1	1	1	1星白色
2	1	2	1星绿色
3	1	3	1星蓝色
4	1	4	1星紫色
5	1	5	1星橙色
6	1	6	1星红色
7	2	1	2星白色
8	2	2	2星绿色
9	2	3	2星蓝色
10	2	4	2星紫色
11	2	5	2星橙色
12	2	6	2星红色
13	3	1	3星白色
14	3	2	3星绿色
15	3	3	3星蓝色
16	3	4	3星紫色
17	3	5	3星橙色
18	3	6	3星红色
19	4	1	4星白色
20	4	2	4星绿色
21	4	3	4星蓝色
22	4	4	4星紫色
23	4	5	4星橙色
24	4	6	4星红色
25	5	1	5星白色
26	5	2	5星绿色
27	5	3	5星蓝色
28	5	4	5星紫色
29	5	5	5星橙色
30	5	6	5星红色
31	6	1	6星白色
32	6	2	6星绿色
33	6	3	6星蓝色
34	6	4	6星紫色
35	6	5	6星橙色
36	6	6	6星红色
37	7	1	7星白色
38	7	2	7星绿色
39	7	3	7星蓝色
40	7	4	7星紫色
41	7	5	7星橙色
42	7	6	7星红色
43	8	1	8星白色
44	8	2	8星绿色
45	8	3	8星蓝色
46	8	4	8星紫色
47	8	5	8星橙色
48	8	6	8星红色
