level	exp1	returnItems1	exp2	returnItems2	exp3	returnItems3	exp4	returnItems4	exp5	returnItems5	exp6	returnItems6	exp7	returnItems7	exp8	returnItems8
等级	一星英雄经验	一星英雄返还物品	二星英雄经验	二星英雄返还物品	三星英雄经验	三星英雄返还物品	四星英雄经验	四星英雄返还物品	五星英雄经验	五星英雄返还物品	六星英雄经验	六星英雄返还物品	七星英雄经验	七星英雄返还物品	八星英雄经验	八星英雄返还物品
1	100	25636,1	100	25638,1	700	25642,1	320	25642,1	320	25642,1	320	25642,1	320	25642,1	320	25642,1
2	300	25636,1	300	25638,1	2100	25642,1	960	25642,1	960	25642,1	960	25642,1	960	25642,1	960	25642,1
3	500	25636,1	500	25638,1	3500	25642,1	1600	25642,1	1600	25642,1	1600	25642,1	1600	25642,1	1600	25642,1
4	700	25636,1	700	25638,1	4900	25642,1	2240	25642,1	2240	25642,1	2240	25642,1	2240	25642,1	2240	25642,1
5	900	25636,1	900	25638,1	6300	25642,1	2880	25642,1	2880	25642,1	2880	25642,1	2880	25642,1	2880	25642,1
6	1100	25636,1	1100	25638,1	7700	25642,1	3520	25642,1	3520	25642,1	3520	25642,1	3520	25642,1	3520	25642,1
7	1300	25636,1	1300	25638,1	9100	25642,1	4160	25642,1	4160	25642,1	4160	25642,1	4160	25642,1	4160	25642,1
8	1500	25636,1	1500	25638,1	10500	25642,1	4800	25642,1	4800	25642,1	4800	25642,1	4800	25642,1	4800	25642,1
9	1700	25636,1	1700	25638,1	11900	25642,1	5440	25642,1	5440	25642,1	5440	25642,1	5440	25642,1	5440	25642,1
10	1900	25636,2	1900	25638,1	13300	25642,1	6080	25642,1	6080	25642,1	6080	25642,1	6080	25642,1	6080	25642,1
11	2100	25636,2	2100	25638,1	14700	25642,1	6720	25642,1	6720	25642,1	6720	25642,1	6720	25642,1	6720	25642,1
12	2300	25636,2	2300	25638,1	16100	25642,1	7360	25642,1	7360	25642,1	7360	25642,1	7360	25642,1	7360	25642,1
13	2500	25636,3	2500	25638,1	17500	25642,1	8000	25642,1	8000	25642,1	8000	25642,1	8000	25642,1	8000	25642,1
14	2700	25636,3	2700	25638,1	18900	25642,1	8640	25642,1	8640	25642,1	8640	25642,1	8640	25642,1	8640	25642,1
15	2900	25636,4	2900	25638,1	20300	25642,1	9280	25642,1	9280	25642,1	9280	25642,1	9280	25642,1	9280	25642,1
16	3100	25636,4	3100	25638,1	21700	25642,1	9920	25642,1	9920	25642,1	9920	25642,1	9920	25642,1	9920	25642,1
17	3300	25636,5	3300	25638,1	23100	25642,1	10560	25642,1	10560	25642,1	10560	25642,1	10560	25642,1	10560	25642,1
18	3500	25636,5	3500	25638,2	24500	25642,1	11200	25642,1	11200	25642,1	11200	25642,1	11200	25642,1	11200	25642,1
19	3700	25636,6	3700	25638,2	25900	25642,1	11840	25642,1	11840	25642,1	11840	25642,1	11840	25642,1	11840	25642,1
20	4000	25636,7	4000	25638,2	28000	25642,1	12800	25642,1	12800	25642,1	12800	25642,1	12800	25642,1	12800	25642,1
21	4500	25636,7	4500	25638,2	31500	25642,2	14400	25642,1	14400	25642,1	14400	25642,1	14400	25642,1	14400	25642,1
22	5000	25636,8	5000	25638,2	35000	25642,2	16000	25642,1	16000	25642,1	16000	25642,1	16000	25642,1	16000	25642,1
23	5500	25636,9	5500	25638,3	38500	25642,2	17600	25642,1	17600	25642,1	17600	25642,1	17600	25642,1	17600	25642,1
24	6000	25636,10	6000	25638,3	42000	25642,2	19200	25642,1	19200	25642,1	19200	25642,1	19200	25642,1	19200	25642,1
25	6500	25636,11	6500	25638,3	45500	25642,2	20800	25642,1	20800	25642,1	20800	25642,1	20800	25642,1	20800	25642,1
26	7000	25636,12	7000	25638,4	49000	25642,3	22400	25642,1	22400	25642,1	22400	25642,1	22400	25642,1	22400	25642,1
27	7500	25636,14	7500	25638,4	52500	25642,3	24000	25642,1	24000	25642,1	24000	25642,1	24000	25642,1	24000	25642,1
28	8000	25636,15	8000	25638,5	56000	25642,3	25600	25642,1	25600	25642,1	25600	25642,1	25600	25642,1	25600	25642,1
29	8500	25636,16	8500	25638,5	59500	25642,3	27200	25642,2	27200	25642,2	27200	25642,2	27200	25642,2	27200	25642,2
30	10000	25636,18	10000	25638,5	70000	25642,4	32000	25642,2	32000	25642,2	32000	25642,2	32000	25642,2	32000	25642,2
31	20000	25636,21	15000	25638,6	105000	25642,4	48000	25642,2	48000	25642,2	48000	25642,2	48000	25642,2	48000	25642,2
32	30000	25636,26	20000	25638,7	140000	25642,5	64000	25642,2	64000	25642,2	64000	25642,2	64000	25642,2	64000	25642,2
33	40000	25636,33	25000	25638,8	175000	25642,6	80000	25642,3	80000	25642,3	80000	25642,3	80000	25642,3	80000	25642,3
34	50000	25636,41	30000	25638,10	210000	25642,7	96000	25642,3	96000	25642,3	96000	25642,3	96000	25642,3	96000	25642,3
35	60000	25636,51	35000	25638,12	245000	25642,8	112000	25642,4	112000	25642,4	112000	25642,4	112000	25642,4	112000	25642,4
36	70000	25636,63	40000	25638,14	280000	25642,10	128000	25642,4	128000	25642,4	128000	25642,4	128000	25642,4	128000	25642,4
37	80000	25636,76	45000	25638,16	315000	25642,11	144000	25642,5	144000	25642,5	144000	25642,5	144000	25642,5	144000	25642,5
38	90000	25636,91	50000	25638,18	350000	25642,13	160000	25642,6	160000	25642,6	160000	25642,6	160000	25642,6	160000	25642,6
39	100000	25636,108	55000	25638,21	385000	25642,15	176000	25642,7	176000	25642,7	176000	25642,7	176000	25642,7	176000	25642,7
40	105000	25636,126	60000	25638,24	420000	25642,17	192000	25642,8	192000	25642,8	192000	25642,8	192000	25642,8	192000	25642,8
41	110000	25636,144	70000	25638,28	455000	25642,19	208000	25642,9	208000	25642,9	208000	25642,9	208000	25642,9	208000	25642,9
42	115000	25636,163	80000	25638,32	490000	25642,22	224000	25642,10	224000	25642,10	224000	25642,10	224000	25642,10	224000	25642,10
43	120000	25636,183	90000	25638,36	525000	25642,24	240000	25642,11	240000	25642,11	240000	25642,11	240000	25642,11	240000	25642,11
44	125000	25636,204	100000	25638,41	560000	25642,27	256000	25642,12	256000	25642,12	256000	25642,12	256000	25642,12	256000	25642,12
45	130000	25636,226	110000	25638,47	595000	25642,30	272000	25642,14	272000	25642,14	272000	25642,14	272000	25642,14	272000	25642,14
46	135000	25636,248	120000	25638,53	630000	25642,33	288000	25642,15	288000	25642,15	288000	25642,15	288000	25642,15	288000	25642,15
47	140000	25636,271	130000	25638,59	665000	25642,37	304000	25642,17	304000	25642,17	304000	25642,17	304000	25642,17	304000	25642,17
48	145000	25636,296	140000	25638,66	700000	25642,40	320000	25642,18	320000	25642,18	320000	25642,18	320000	25642,18	320000	25642,18
49	150000	25636,321	150000	25638,74	735000	25642,44	336000	25642,20	336000	25642,20	336000	25642,20	336000	25642,20	336000	25642,20
50	1	25636,321	160000	25638,82	770000	25642,48	352000	25642,22	352000	25642,22	352000	25642,22	352000	25642,22	352000	25642,22
51	-1		170000	25638,90	805000	25642,52	368000	25642,24	368000	25642,24	368000	25642,24	368000	25642,24	368000	25642,24
52	-1		180000	25638,99	840000	25642,56	384000	25642,25	384000	25642,25	384000	25642,25	384000	25642,25	384000	25642,25
53	-1		190000	25638,109	875000	25642,60	400000	25642,27	400000	25642,27	400000	25642,27	400000	25642,27	400000	25642,27
54	-1		200000	25638,119	910000	25642,65	416000	25642,30	416000	25642,30	416000	25642,30	416000	25642,30	416000	25642,30
55	-1		210000	25638,129	945000	25642,69	432000	25642,32	432000	25642,32	432000	25642,32	432000	25642,32	432000	25642,32
56	-1		220000	25638,140	980000	25642,74	448000	25642,34	448000	25642,34	448000	25642,34	448000	25642,34	448000	25642,34
57	-1		230000	25638,152	1015000	25642,79	464000	25642,36	464000	25642,36	464000	25642,36	464000	25642,36	464000	25642,36
58	-1		240000	25638,164	1050000	25642,85	480000	25642,39	480000	25642,39	480000	25642,39	480000	25642,39	480000	25642,39
59	-1		250000	25638,176	1085000	25642,90	496000	25642,41	496000	25642,41	496000	25642,41	496000	25642,41	496000	25642,41
60	-1		270000	25638,190	1120000	25642,96	512000	25642,44	512000	25642,44	512000	25642,44	512000	25642,44	512000	25642,44
61	-1		290000	25638,204	1330000	25642,102	608000	25642,47	608000	25642,47	608000	25642,47	608000	25642,47	608000	25642,47
62	-1		310000	25638,220	1540000	25642,110	704000	25642,50	704000	25642,50	704000	25642,50	704000	25642,50	704000	25642,50
63	-1		330000	25638,236	1750000	25642,119	800000	25642,54	800000	25642,54	800000	25642,54	800000	25642,54	800000	25642,54
64	-1		350000	25638,254	1960000	25642,129	896000	25642,59	896000	25642,59	896000	25642,59	896000	25642,59	896000	25642,59
65	-1		370000	25638,272	2170000	25642,139	992000	25642,64	992000	25642,64	992000	25642,64	992000	25642,64	992000	25642,64
66	-1		390000	25638,292	2380000	25642,151	1088000	25642,69	1088000	25642,69	1088000	25642,69	1088000	25642,69	1088000	25642,69
67	-1		410000	25638,312	2590000	25642,164	1184000	25642,75	1184000	25642,75	1184000	25642,75	1184000	25642,75	1184000	25642,75
68	-1		430000	25638,334	2800000	25642,178	1280000	25642,81	1280000	25642,81	1280000	25642,81	1280000	25642,81	1280000	25642,81
69	-1		450000	25638,356	3010000	25642,193	1376000	25642,88	1376000	25642,88	1376000	25642,88	1376000	25642,88	1376000	25642,88
70	-1		1	25638,356	3290000	25642,210	1504000	25642,96	1484000	25642,96	1484000	25642,96	1484000	25642,96	1484000	25642,96
71	-1		-1		3570000	25642,228	1632000	25642,104	1592000	25642,104	1592000	25642,104	1592000	25642,104	1592000	25642,104
72	-1		-1		3850000	25642,247	1760000	25642,113	1700000	25642,112	1700000	25642,112	1700000	25642,112	1700000	25642,112
73	-1		-1		4130000	25642,268	1888000	25642,122	1808000	25642,121	1808000	25642,121	1808000	25642,121	1808000	25642,121
74	-1		-1		4410000	25642,290	2016000	25642,132	1916000	25642,131	1916000	25642,131	1916000	25642,131	1916000	25642,131
75	-1		-1		4690000	25642,313	2144000	25642,143	2024000	25642,141	2024000	25642,141	2024000	25642,141	2024000	25642,141
76	-1		-1		4970000	25642,338	2272000	25642,154	2132000	25642,152	2132000	25642,152	2132000	25642,152	2132000	25642,152
77	-1		-1		5250000	25642,364	2400000	25642,166	2240000	25642,163	2240000	25642,163	2240000	25642,163	2240000	25642,163
78	-1		-1		5530000	25642,392	2528000	25642,179	2348000	25642,175	2348000	25642,175	2348000	25642,175	2348000	25642,175
79	-1		-1		5810000	25642,421	2656000	25642,192	2456000	25642,187	2456000	25642,187	2456000	25642,187	2456000	25642,187
80	-1		-1		6090000	25642,451	2784000	25642,206	2564000	25642,200	2564000	25642,200	2564000	25642,200	2564000	25642,200
81	-1		-1		6300000	25642,483	2880000	25642,221	2672000	25642,213	2672000	25642,213	2672000	25642,213	2672000	25642,213
82	-1		-1		6370000	25642,515	2912000	25642,235	2780000	25642,227	2780000	25642,227	2780000	25642,227	2780000	25642,227
83	-1		-1		6440000	25642,547	2944000	25642,250	2888000	25642,241	2888000	25642,241	2888000	25642,241	2888000	25642,241
84	-1		-1		6510000	25642,579	2976000	25642,265	2996000	25642,256	2996000	25642,256	2996000	25642,256	2996000	25642,256
85	-1		-1		6580000	25642,612	3008000	25642,280	3104000	25642,272	3104000	25642,272	3104000	25642,272	3104000	25642,272
86	-1		-1		6650000	25642,646	3040000	25642,295	3212000	25642,288	3212000	25642,288	3212000	25642,288	3212000	25642,288
87	-1		-1		6720000	25642,679	3072000	25642,310	3320000	25642,305	3320000	25642,305	3320000	25642,305	3320000	25642,305
88	-1		-1		6790000	25642,713	3104000	25642,326	3428000	25642,322	3428000	25642,322	3428000	25642,322	3428000	25642,322
89	-1		-1		7000000	25642,748	3200000	25642,342	3536000	25642,339	3536000	25642,339	3536000	25642,339	3536000	25642,339
90	-1		-1		1	25642,748	3600000	25642,360	3644000	25642,358	3644000	25642,358	3644000	25642,358	3644000	25642,358
91	-1		-1		-1		4000000	25642,380	3752000	25642,376	3752000	25642,376	3752000	25642,376	3752000	25642,376
92	-1		-1		-1		4400000	25642,402	3860000	25642,396	3860000	25642,396	3860000	25642,396	3860000	25642,396
93	-1		-1		-1		4800000	25642,426	3968000	25642,415	3968000	25642,415	3968000	25642,415	3968000	25642,415
94	-1		-1		-1		5200000	25642,452	4076000	25642,436	4076000	25642,436	4076000	25642,436	4076000	25642,436
95	-1		-1		-1		5600000	25642,480	4184000	25642,457	4184000	25642,457	4184000	25642,457	4184000	25642,457
96	-1		-1		-1		6000000	25642,510	4292000	25642,478	4292000	25642,478	4292000	25642,478	4292000	25642,478
97	-1		-1		-1		6400000	25642,542	4400000	25642,500	4400000	25642,500	4400000	25642,500	4400000	25642,500
98	-1		-1		-1		6800000	25642,576	4508000	25642,523	4508000	25642,523	4508000	25642,523	4508000	25642,523
99	-1		-1		-1		7200000	25642,612	4616000	25642,546	4616000	25642,546	4616000	25642,546	4616000	25642,546
100	-1		-1		-1		7600000	25642,650	4724000	25642,569	4724000	25642,569	4724000	25642,569	4724000	25642,569
101	-1		-1		-1		8000000	25642,690	4832000	25642,594	4832000	25642,594	4832000	25642,594	4832000	25642,594
102	-1		-1		-1		8400000	25642,732	4940000	25642,618	4940000	25642,618	4940000	25642,618	4940000	25642,618
103	-1		-1		-1		8800000	25642,776	5048000	25642,644	5048000	25642,644	5048000	25642,644	5048000	25642,644
104	-1		-1		-1		9200000	25642,822	5156000	25642,669	5156000	25642,669	5156000	25642,669	5156000	25642,669
105	-1		-1		-1		9600000	25642,870	5264000	25642,696	5264000	25642,696	5264000	25642,696	5264000	25642,696
106	-1		-1		-1		10000000	25642,920	5372000	25642,723	5372000	25642,723	5372000	25642,723	5372000	25642,723
107	-1		-1		-1		10400000	25642,972	5480000	25642,750	5480000	25642,750	5480000	25642,750	5480000	25642,750
108	-1		-1		-1		10800000	25642,1026	5588000	25642,778	5588000	25642,778	5588000	25642,778	5588000	25642,778
109	-1		-1		-1		11200000	25642,1082	5696000	25642,806	5696000	25642,806	5696000	25642,806	5696000	25642,806
110	-1		-1		-1		1	25642,1082	5804000	25642,835	5804000	25642,835	5804000	25642,835	5804000	25642,835
111	-1		-1		-1		-1		5912000	25642,865	5912000	25642,865	5912000	25642,865	5912000	25642,865
112	-1		-1		-1		-1		6020000	25642,895	6020000	25642,895	6020000	25642,895	6020000	25642,895
113	-1		-1		-1		-1		6128000	25642,926	6128000	25642,926	6128000	25642,926	6128000	25642,926
114	-1		-1		-1		-1		6236000	25642,957	6236000	25642,957	6236000	25642,957	6236000	25642,957
115	-1		-1		-1		-1		6344000	25642,989	6344000	25642,989	6344000	25642,989	6344000	25642,989
116	-1		-1		-1		-1		6452000	25642,1021	6452000	25642,1021	6452000	25642,1021	6452000	25642,1021
117	-1		-1		-1		-1		6560000	25642,1054	6560000	25642,1054	6560000	25642,1054	6560000	25642,1054
118	-1		-1		-1		-1		6668000	25642,1087	6668000	25642,1087	6668000	25642,1087	6668000	25642,1087
119	-1		-1		-1		-1		6776000	25642,1121	6776000	25642,1121	6776000	25642,1121	6776000	25642,1121
120	-1		-1		-1		-1		6884000	25642,1155	6884000	25642,1155	6884000	25642,1155	6884000	25642,1155
121	-1		-1		-1		-1		6992000	25642,1190	6992000	25642,1190	6992000	25642,1190	6992000	25642,1190
122	-1		-1		-1		-1		7100000	25642,1226	7100000	25642,1226	7100000	25642,1226	7100000	25642,1226
123	-1		-1		-1		-1		7208000	25642,1262	7208000	25642,1262	7208000	25642,1262	7208000	25642,1262
124	-1		-1		-1		-1		7316000	25642,1298	7316000	25642,1298	7316000	25642,1298	7316000	25642,1298
125	-1		-1		-1		-1		7424000	25642,1335	7424000	25642,1335	7424000	25642,1335	7424000	25642,1335
126	-1		-1		-1		-1		7532000	25642,1373	7532000	25642,1373	7532000	25642,1373	7532000	25642,1373
127	-1		-1		-1		-1		7640000	25642,1411	7640000	25642,1411	7640000	25642,1411	7640000	25642,1411
128	-1		-1		-1		-1		7748000	25642,1450	7748000	25642,1450	7748000	25642,1450	7748000	25642,1450
129	-1		-1		-1		-1		7856000	25642,1489	7856000	25642,1489	7856000	25642,1489	7856000	25642,1489
130	-1		-1		-1		-1		1	25642,1489	7964000	25642,1529	7964000	25642,1529	7964000	25642,1529
131	-1		-1		-1		-1		-1		8072000	25642,1570	8072000	25642,1570	8072000	25642,1570
132	-1		-1		-1		-1		-1		8180000	25642,1610	8180000	25642,1610	8180000	25642,1610
133	-1		-1		-1		-1		-1		8288000	25642,1652	8288000	25642,1652	8288000	25642,1652
134	-1		-1		-1		-1		-1		8396000	25642,1694	8396000	25642,1694	8396000	25642,1694
135	-1		-1		-1		-1		-1		8504000	25642,1736	8504000	25642,1736	8504000	25642,1736
136	-1		-1		-1		-1		-1		8612000	25642,1779	8612000	25642,1779	8612000	25642,1779
137	-1		-1		-1		-1		-1		8720000	25642,1823	8720000	25642,1823	8720000	25642,1823
138	-1		-1		-1		-1		-1		8828000	25642,1867	8828000	25642,1867	8828000	25642,1867
139	-1		-1		-1		-1		-1		8936000	25642,1912	8936000	25642,1912	8936000	25642,1912
140	-1		-1		-1		-1		-1		9044000	25642,1957	9044000	25642,1957	9044000	25642,1957
141	-1		-1		-1		-1		-1		9152000	25642,2003	9152000	25642,2003	9152000	25642,2003
142	-1		-1		-1		-1		-1		9260000	25642,2049	9260000	25642,2049	9260000	25642,2049
143	-1		-1		-1		-1		-1		9368000	25642,2096	9368000	25642,2096	9368000	25642,2096
144	-1		-1		-1		-1		-1		9476000	25642,2143	9476000	25642,2143	9476000	25642,2143
145	-1		-1		-1		-1		-1		9584000	25642,2191	9584000	25642,2191	9584000	25642,2191
146	-1		-1		-1		-1		-1		9692000	25642,2240	9692000	25642,2240	9692000	25642,2240
147	-1		-1		-1		-1		-1		9800000	25642,2289	9800000	25642,2289	9800000	25642,2289
148	-1		-1		-1		-1		-1		9908000	25642,2338	9908000	25642,2338	9908000	25642,2338
149	-1		-1		-1		-1		-1		10016000	25642,2388	10016000	25642,2388	10016000	25642,2388
150	-1		-1		-1		-1		-1		1	25642,2388	10016000	25642,2438	10124000	25642,2439
151	-1		-1		-1		-1		-1		-1		10016000	25642,2489	10232000	25642,2490
152	-1		-1		-1		-1		-1		-1		10016000	25642,2539	10340000	25642,2542
153	-1		-1		-1		-1		-1		-1		10016000	25642,2589	10448000	25642,2594
154	-1		-1		-1		-1		-1		-1		10016000	25642,2639	10556000	25642,2647
155	-1		-1		-1		-1		-1		-1		10016000	25642,2689	10664000	25642,2700
156	-1		-1		-1		-1		-1		-1		10016000	25642,2739	10772000	25642,2754
157	-1		-1		-1		-1		-1		-1		10016000	25642,2789	10880000	25642,2808
158	-1		-1		-1		-1		-1		-1		10016000	25642,2839	10988000	25642,2863
159	-1		-1		-1		-1		-1		-1		10016000	25642,2889	11096000	25642,2919
160	-1		-1		-1		-1		-1		-1		10016000	25642,2939	11204000	25642,2975
161	-1		-1		-1		-1		-1		-1		10016000	25642,2989	11312000	25642,3031
162	-1		-1		-1		-1		-1		-1		10016000	25642,3039	11420000	25642,3089
163	-1		-1		-1		-1		-1		-1		10016000	25642,3089	11528000	25642,3146
164	-1		-1		-1		-1		-1		-1		10016000	25642,3140	11636000	25642,3204
165	-1		-1		-1		-1		-1		-1		10016000	25642,3190	11744000	25642,3263
166	-1		-1		-1		-1		-1		-1		10016000	25642,3240	11852000	25642,3322
167	-1		-1		-1		-1		-1		-1		10016000	25642,3290	11960000	25642,3382
168	-1		-1		-1		-1		-1		-1		10016000	25642,3340	12068000	25642,3442
169	-1		-1		-1		-1		-1		-1		10016000	25642,3390	12176000	25642,3503
170	-1		-1		-1		-1		-1		-1		1	25642,3390	12284000	25642,3565
171	-1		-1		-1		-1		-1		-1		-1		12392000	25642,3627
172	-1		-1		-1		-1		-1		-1		-1		12500000	25642,3689
173	-1		-1		-1		-1		-1		-1		-1		12608000	25642,3752
174	-1		-1		-1		-1		-1		-1		-1		12716000	25642,3816
175	-1		-1		-1		-1		-1		-1		-1		12824000	25642,3880
176	-1		-1		-1		-1		-1		-1		-1		12932000	25642,3945
177	-1		-1		-1		-1		-1		-1		-1		13040000	25642,4010
178	-1		-1		-1		-1		-1		-1		-1		13148000	25642,4076
179	-1		-1		-1		-1		-1		-1		-1		13256000	25642,4142
180	-1		-1		-1		-1		-1		-1		-1		13364000	25642,4209
181	-1		-1		-1		-1		-1		-1		-1		13472000	25642,4276
182	-1		-1		-1		-1		-1		-1		-1		13580000	25642,4344
183	-1		-1		-1		-1		-1		-1		-1		13688000	25642,4412
184	-1		-1		-1		-1		-1		-1		-1		13796000	25642,4481
185	-1		-1		-1		-1		-1		-1		-1		13904000	25642,4551
186	-1		-1		-1		-1		-1		-1		-1		14012000	25642,4621
187	-1		-1		-1		-1		-1		-1		-1		14120000	25642,4692
188	-1		-1		-1		-1		-1		-1		-1		14228000	25642,4763
189	-1		-1		-1		-1		-1		-1		-1		14336000	25642,4834
190	-1		-1		-1		-1		-1		-1		-1		1	25642,4834
