heroNumber	name	career	grade	star	heroType	colorCode	returnItems	needLevel	needReputation	needMoney	needItems	recuritRes	coolCD	color	floorShadow	gradeOrder	nextGradeHeroNumber	maxLevel	upgradeNeedLv	upgradeNeedItem	upgradeNeedHeroNumber	NpcType	canFollow	temple_level	CompareHero	bigIcon	smallIcon	normal_skill	learn_activeSkill	learn_passiveSkill	learned_skill	nolearned_skill	lightskill	attack_Plus	attack_Coe	maxhp_Plus	maxhp_Coe	speedGrow	attackPassive	hpPassive	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	heroDesc	heroTalk	upgradeNeedRoleLv	canAwaken	needHeroActID	awakenRoleLevel	awakenHeroLevel	awakenHeroStar	awakenNeedItem	awakenHeroSkill	awakenHeroNumber	orAwaken	CuiLianShiCnt	zhuanshengLevel	canZhuanSheng	zhuanshengNeedLevel	zhuanshengHeroNumber	zhuanshengNeedRoleZSLv	zhuanshengNeedItem	zhuanshengNeedRes	zhuanshengNeedMoney	maxhp_z	attackspeed_z	anger_z	attack_p_z	defense_p_z	attack_m_z	defense_m_z	crit_z	critpress_z	antibroken_z	notbroken_z	parry_z	puncture_z	damageupgrade_z	damagereduce_z
英雄编号	英雄名字	职业（1-防御， 2-法攻， 3-辅助）	品阶	星阶	英雄类型	颜色编码(服务器用)	返还道具（紫、橙、红）	招募需要等级	招募需要声望	招募需要银币	招募需要物品	招募道具小图标	招募冷却CD--单位s	英雄名颜色	底图背景色	品阶排序	进化后英雄编号	最大等级	升级需要等级	升阶需要物品	升阶需要英雄编号	Npc类型	是否能够跟随（1-可以， 0-不可以）	招募显示顺序，越小越优先,0不显示(不为0的地方不可重复)	比较英雄	英雄大头像	英雄小头像	默认普通技能	学习的主动技能	已学习的被动技能	已学习技能	未学习技能	需要闪烁的技能	攻击成长	攻击系数	生命成长	生命系数	速度成长	攻击被动系数	生命被动系数	基础生命值	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	英雄描述	英雄说话	英雄进阶需要的主角等级	英雄是否可以觉醒	觉醒需要通关的英雄圣殿id	觉醒需要主角等级	觉醒需要英雄等级	觉醒需要英雄达到星级	觉醒需要的道具	觉醒可以获得的技能	英雄觉醒后的ID	英雄是否已经觉醒的	使用淬炼石的最大个数	转生等级	英雄是否可以转生	转生需要英雄等级	英雄转生后的onumber	转生需要主角转生等级	转生需要的道具	转生道具小图标	转生需要的金币	基础生命值(转生)	攻击速度(转生)	怒气(转生)	物攻(转生)	物防(转生)	法攻(转生)	法防(转生)	暴击(转生)	免暴(转生)	破防(转生)	免破(转生)	格挡(转生)	破挡(转生)	增伤(转生)	免伤(转生)
1	圣辉护卫	1	1	1	1	1		0	0	10000			43200	白色	0	1	2	20	20	[(25676,1)]	0	9001	0	1	2	20002	20002	("HeroNormalSkill",(253,1))	(9999,1)	[]	(253,1)	(203,1):(501,2):(506,1)	(203,1)	4200	10	7000	30	慢	0	0	1500000	30000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	高防战士，英勇无畏	升绿可得#C(#f3fc09)吸血#n技能	0	0	0	0	0	0					3	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	圣辉护卫	1	2	1	1	2		0	0	0			0	绿色	icoBg1	2	3	30	30	[(25676,5)]	0	9002	0	0	3	20002	20002	("HeroNormalSkill",(253,1))	(203,1)	[]	(253,1):(203,1)	(501,2):(506,1)	(501,2)	8400	10	14000	30	慢	0	0	1500000	30000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	高防战士，英勇无畏	升蓝可得#C(#f3fc09)提升50%生命与20%格挡几率#n的被动技能	0	0	0	0	0	0					6	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	圣辉护卫	1	3	1	1	3		0	0	0			0	蓝色	icoBg2	3	4	40	40	[(25676,25)]	0	9003	0	0	4	20002	20002	("HeroNormalSkill",(253,1))	(203,1)	[(501,1)]	(253,1):(203,1):(501,2)	(506,1)	(253,2):(203,2)	13200	10	22000	30	慢	0	5000	1500000	30000	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	高防战士，英勇无畏	升紫后可#C(#f3fc09)第一回合使用吸血#n技能	0	0	0	0	0	0					9	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	圣辉护卫	1	4	1	1	4	25984,1	0	0	0			0	紫色	icoBg3	4	5	50	50	[(25676,50)]	4	9004	0	0	5	20002	20002	("HeroNormalSkill",(253,2))	(203,2)	[(501,1)]	(253,2):(203,2):(501,2)	(506,1)	(506,1)	18000	10	30000	30	慢	0	5000	1500000	30000	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	高防战士，英勇无畏	升橙可得#C(#f3fc09)生命低于30%时免伤60%两回合#n被动技能	0	0	0	0	0	0					12	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	圣辉护卫	1	5	1	1	5	25984,3	0	0	0			0	橙色	icoBg5	5	0	50	50	[(25676,0)]	0	9005	0	0	0	20002	20002	("HeroNormalSkill",(253,2))	(203,2)	[(501,1), (506, 1)]	(253,2):(203,2):(501,2):(506,1)			27000	10	45000	30	慢	0	5000	1500000	30000	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	高防战士，英勇无畏		0	0	0	0	0	0					15	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	绝美艳后	3	1	1	2	1		19	0	10000			43200	白色	0	1	7	20	20	[(25676,1)]	0	9006	0	2	7	5006	5006	("HeroNormalSkill",(252,1))	(9999,1)	[]	(252,1)	(202,1):(503,2):(505,1)	(202,1)	5950	10	5250	30	快	0	0	1500000	70000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	女王亲临，振奋人心	升绿可得#C(#f3fc09)全体提升攻击#n技能	0	0	0	0	0	0					3	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	绝美艳后	3	2	1	2	2		19	0	0			0	绿色	icoBg1	2	8	30	30	[(25676,5)]	0	9007	0	0	8	5006	5006	("HeroNormalSkill",(252,1))	(202,1)	[]	(252,1):(202,1)	(503,2):(505,1)	(503,2)	11900	10	10500	30	快	0	0	1500000	70000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	女王亲临，振奋人心	升蓝可得#C(#f3fc09)提升20%法术攻击力#n技能	0	0	0	0	0	0					6	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	绝美艳后	3	3	1	2	3		19	0	0			0	蓝色	icoBg2	3	9	40	40	[(25676,25)]	0	9008	0	0	9	5006	5006	("HeroNormalSkill",(252,1))	(202,1)	[(503,1)]	(252,1):(202,1):(503,2)	(505,1)	(252,2):(202,2)	18700	10	16500	30	快	2000	0	1500000	70000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	女王亲临，振奋人心	升紫后可#C(#f3fc09)第一回合使用提升攻击#n技能	0	0	0	0	0	0					9	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	绝美艳后	3	4	1	2	4	25984,1	19	0	0			0	紫色	icoBg3	4	10	50	50	[(25676,50)]	9	9009	0	0	10	5006	5006	("HeroNormalSkill",(252,2))	(202,2)	[(503,1)]	(252,2):(202,2):(503,2)	(505,1)	(505,1)	25500	10	22500	30	快	2000	0	1500000	70000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	女王亲临，振奋人心	升橙可得#C(#f3fc09)提升己方全体5%伤害率和免伤率#n技能	0	0	0	0	0	0					12	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
