InvestIndex	needLevel	sortId	needRMB	rewardItems1	rewardTili1	rewardBindRMB1	showCoding1	needDay1	rewardItems2	rewardTili2	rewardBindRMB2	showCoding2	needDay2	rewardItems3	rewardTili3	rewardBindRMB3	showCoding3	needDay3	rewardItems4	rewardTili4	rewardBindRMB4	showCoding4	needDay4	rewardItems5	rewardTili5	rewardBindRMB5	showCoding5	needDay5	rewardItems6	rewardTili6	rewardBindRMB6	showCoding6	needDay6	rewardItems7	rewardTili7	rewardBindRMB7	showCoding7	needDay7	rewardItems8	rewardTili8	rewardBindRMB8	showCoding8	needDay8
投资索引（循环活动活动类型， 这里不要修改）	需要等级	排序ID	需要充值神石	第一个奖励道具[(道具coding， 道具数量),]， 没有的话填空[]	第一天奖励体力, 没有填0	第一天奖励魔晶， 没有填0	第1个前端奖励展示	需要登录天数	第二个奖励道具	第二个奖励体力	第二个奖励魔晶	第2个前端奖励展示	需要登录天数	第三个奖励道具	第三个奖励体力	第三个奖励魔晶	第3个前端奖励展示	需要登录天数	第四个奖励道具	第四个奖励体力	第四个奖励魔晶	第4个前端奖励展示	需要登录天数	第五个奖励道具	第五个奖励体力	第五个奖励魔晶	第5个前端奖励展示	需要登录天数	第六个奖励道具	第六个奖励体力	第六个奖励魔晶	第6个前端奖励展示	需要登录天数	第七个奖励道具	第七个奖励体力	第七个奖励魔晶	第7个前端奖励展示	需要登录天数	第八个奖励道具	第八个奖励体力	第八个奖励魔晶	第8个前端奖励展示	需要登录天数
320	30	1	2995	[]	300	0	[(26046,300)]	1	[]	200	0	[(26046,200)]	2	[]	200	0	[(26046,200)]	3	[]	200	0	[(26046,200)]	4	[]	150	0	[(26046,150)]	5	[]	150	0	[(26046,150)]	6	[]	150	0	[(26046,150)]	7	[]	150	0	[(26046,150)]	8
321	45	2	2995	[(28281,1)]	0	0	[(28281,1)]	1	[(28282,1)]	0	0	[(28282,1)]	2	[(28282,1)]	0	0	[(28282,1)]	3	[(28282,1)]	0	0	[(28282,1)]	4	[(28283,1)]	0	0	[(28283,1)]	5	[(28283,1)]	0	0	[(28283,1)]	6	[(28283,1)]	0	0	[(28283,1)]	7	[(28283,1)]	0	0	[(28283,1)]	8
322	30	3	2995	[]	0	2000	[(25829,2000)]	1	[]	0	1800	[(25829,1800)]	2	[]	0	1500	[(25829,1500)]	3	[]	0	1000	[(25829,1000)]	4	[]	0	800	[(25829,800)]	5	[]	0	800	[(25829,800)]	6	[]	0	500	[(25829,500)]	7	[]	0	500	[(25829,500)]	8
323	65	4	2995	[(27521,1)]	0	0	[(27521,1)]	1	[(27520,1)]	0	0	[(27520,1)]	2	[(27520,1)]	0	0	[(27520,1)]	3	[(27519,1)]	0	0	[(27519,1)]	4	[(27519,1)]	0	0	[(27519,1)]	5	[(27519,1)]	0	0	[(27519,1)]	6	[(27519,1)]	0	0	[(27519,1)]	7	[(27519,1)]	0	0	[(27519,1)]	8
324	75	5	2995	[(27624,1)]	0	0	[(27624,1)]	1	[(27623,1)]	0	0	[(27623,1)]	2	[(27623,1)]	0	0	[(27623,1)]	3	[(27622,1)]	0	0	[(27622,1)]	4	[(27622,1)]	0	0	[(27622,1)]	5	[(27622,1)]	0	0	[(27622,1)]	6	[(27622,1)]	0	0	[(27622,1)]	7	[(27622,1)]	0	0	[(27622,1)]	8
325	80	6	2995	[(28032,1)]	0	0	[(28032,1)]	1	[(28031,1)]	0	0	[(28031,1)]	2	[(28031,1)]	0	0	[(28031,1)]	3	[(28030,1)]	0	0	[(28030,1)]	4	[(28030,1)]	0	0	[(28030,1)]	5	[(28030,1)]	0	0	[(28030,1)]	6	[(28030,1)]	0	0	[(28030,1)]	7	[(28030,1)]	0	0	[(28030,1)]	8
326	85	7	2995	[(28284,1)]	0	0	[(28284,1)]	1	[(28285,1)]	0	0	[(28285,1)]	2	[(28286,1)]	0	0	[(28286,1)]	3	[(26677,15)]	0	0	[(26677,15)]	4	[(26677,10)]	0	0	[(26677,10)]	5	[(26677,5)]	0	0	[(26677,5)]	6	[(26677,5)]	0	0	[(26677,5)]	7	[(26677,5)]	0	0	[(26677,5)]	8
327	60	8	2995	[(28287,1)]	0	0	[(28287,1)]	1	[(28288,1)]	0	0	[(28288,1)]	2	[(28289,1)]	0	0	[(28289,1)]	3	[(28290,1)]	0	0	[(28290,1)]	4	[(28291,1)]	0	0	[(28291,1)]	5	[(28291,1)]	0	0	[(28291,1)]	6	[(28291,1)]	0	0	[(28291,1)]	7	[(28291,1)]	0	0	[(28291,1)]	8
329	100	9	2160	[(28563,50)]	0	0	[(28563,50)]	1	[(28563,40)]	0	0	[(28563,40)]	2	[(28563,30)]	0	0	[(28563,30)]	3	[(28563,20)]	0	0	[(28563,20)]	4	[(28563,10)]	0	0	[(28563,10)]	5	[(28563,10)]	0	0	[(28563,10)]	6	[(28563,10)]	0	0	[(28563,10)]	7	[(28563,10)]	0	0	[(28563,10)]	8
