lv	index1	index2	index3	index4	index5	index6	index7	index8	index9	index10	index11	index12	index13
玩家等级	英雄评分	坐骑评分	装备评分	宝石评分	占卜评分	神器评分	符文评分	翅膀评分	宠物评分	婚戒评分	圣器评分	神龙评分	时装评分
1	330	0	0	0	0	0	0	0	0	0	0	0	0
2	340	0	0	0	0	0	0	0	0	0	0	0	0
3	340	0	0	0	0	0	0	0	0	0	0	0	0
4	350	0	0	0	0	0	0	0	0	0	0	0	0
5	360	0	0	0	0	0	0	0	0	0	0	0	0
6	370	0	0	0	0	0	0	0	0	0	0	0	0
7	370	0	0	0	0	0	0	0	0	0	0	0	0
8	380	0	0	0	0	0	0	0	0	0	0	0	0
9	390	0	0	0	0	0	0	0	0	0	0	0	0
10	400	0	0	0	0	0	0	0	0	0	0	0	0
11	410	0	0	0	0	0	0	0	0	0	0	0	0
12	410	0	0	0	0	0	0	0	0	0	0	0	0
13	420	0	0	0	0	0	0	0	0	0	0	0	0
14	430	0	0	0	0	0	0	0	0	0	0	0	0
15	440	0	0	0	0	0	0	0	0	0	0	0	0
16	450	0	0	0	0	0	0	0	0	0	0	0	0
17	450	0	0	0	0	0	0	0	0	0	0	0	0
18	460	0	0	0	0	0	0	0	0	0	0	0	0
19	470	0	0	0	0	0	0	0	0	0	0	0	0
20	480	0	8000	0	0	0	0	0	0	0	0	0	0
21	490	0	8000	0	0	0	0	0	0	0	0	0	0
22	490	0	8000	0	0	0	0	0	0	0	0	0	0
23	500	0	8000	0	0	0	0	0	0	0	0	0	0
24	510	0	8000	0	0	0	0	0	0	0	0	0	0
25	520	0	8000	0	0	0	0	0	0	0	0	0	0
26	1200	0	8000	0	0	0	0	0	0	0	0	0	0
27	1230	0	8000	0	0	0	0	0	0	0	0	0	0
28	1270	0	8000	0	0	0	0	0	0	0	0	0	0
29	1300	0	8000	0	0	0	0	0	0	0	0	0	0
30	1330	0	8000	0	0	0	0	0	0	0	0	0	0
31	1370	0	8000	0	0	0	0	0	0	0	0	0	0
32	1400	0	8000	0	0	0	0	0	0	0	0	0	0
33	1430	0	8000	0	0	0	0	0	0	0	0	0	0
34	1470	0	8000	0	0	0	0	0	0	0	0	0	0
35	12330	2440	25500	6000	0	0	0	0	0	0	0	0	0
36	12360	2440	26000	6000	0	0	0	0	0	4910	0	0	0
37	12390	2730	26500	6000	0	0	0	0	0	5210	0	0	0
38	12430	2730	27000	6000	0	0	0	0	0	5410	0	0	0
39	12460	3020	27500	6000	0	0	0	0	0	5610	0	0	0
40	26900	3020	46000	6000	0	0	0	0	0	10850	0	0	0
41	26960	3310	46800	6000	0	0	0	0	0	11050	0	0	0
42	27010	3310	47600	6000	0	0	0	0	0	11250	0	0	0
43	27070	3600	48400	12000	0	0	0	0	0	11450	0	0	0
44	27130	3600	49200	12000	0	0	0	0	0	11650	0	0	0
45	27180	3880	50000	12000	0	0	0	0	0	11850	0	17488	1350
46	27240	3880	50800	24000	0	0	0	0	0	11850	0	17488	1350
47	27300	4170	51600	24000	0	0	0	0	0	12050	0	17488	1350
48	27350	4170	52400	24000	0	0	0	0	0	12250	0	17488	1350
49	27410	4460	53200	24000	0	0	0	0	0	12450	0	17488	1350
