lv	zuoqiPY	zuoqiJH	baoshiXQ	baoshiFY	fuwenXQ	fuwenFY	zhanbu	zhanbuFY	chongwuPY	hunjieDZ	yuyiPY	yuyiJJ	xinglingSJ	xinglingSX	shizhuangSX	shizhuangJJ	shenlongJH	diaowenXQ	yingxiongJH
玩家等级	坐骑培养	坐骑进化	宝石镶嵌	宝石封印	符文镶嵌	符文封印	占卜	占卜封印	宠物培养	婚戒锻造	羽翼培养	羽翼进阶	星灵升级	星灵升星	时装升星	时装进阶	神龙进化	雕纹镶嵌	英雄进化
1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
2	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
3	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
4	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
5	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
6	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
7	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
8	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
9	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
10	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
11	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
12	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
13	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
14	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
15	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
16	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
17	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
18	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
19	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
20	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
21	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
22	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
23	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
24	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
25	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
26	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
27	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
28	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
29	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
30	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
31	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
32	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
33	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
34	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
35	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
36	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
37	1	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
38	1	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
39	1	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
40	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
41	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
42	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
43	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
44	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
45	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
46	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
47	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
48	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
49	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
50	5	1	0	1	0	1	1	1	1	5	1	1	1	1	1	1	1	0	0
51	10	5	0	1	0	1	1	1	1	10	1	1	1	1	1	1	1	0	0
52	10	5	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
53	10	5	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
54	10	5	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
55	10	5	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
