index	type	answer	question	questionType	option1	option2	option3	option4
题库索引	题目类型	正确答案（yes:1orno:0）(A:1,B:0,C:3,D:4)	问题	问题（1：判断，2:单选，3：多选）	选项(前端展示)	选项(前端展示)	选项(前端展示)	选项(前端展示)
1	1	[1]	浙江的简称“浙”。	1	这肯定错的！	恩，说得对极了！		
2	1	[1]	世界上面积最小的国家是梵蒂冈。	1	这肯定错的！	恩，说得对极了！		
3	1	[1]	亚洲的全称是亚细亚洲。	1	这肯定错的！	恩，说得对极了！		
4	1	[0]	“人有悲欢离合，月有阴晴圆缺”出自南宋作家的作品。	1	这肯定错的！	恩，说得对极了！		
5	1	[0]	“但愿人长久，千里共婵娟”是苏洵的作品。	1	这肯定错的！	恩，说得对极了！		
6	1	[1]	“天生我材必有用，千金散尽还复来”出自《将进酒》。	1	这肯定错的！	恩，说得对极了！		
7	1	[0]	“文章本无成，妙手偶得之”出自陶渊明之口。	1	这肯定错的！	恩，说得对极了！		
8	1	[1]	<<西游记>>中的火焰山是今天吐鲁番盆地	1	这肯定错的！	恩，说得对极了！		
9	1	[0]	菜汤上浮着一层油会使菜汤凉得更快。	1	这肯定错的！	恩，说得对极了！		
10	1	[0]	海洋中最多的生物是鱼类	1	这肯定错的！	恩，说得对极了！		
11	1	[1]	电子计算机发明于1946年	1	这肯定错的！	恩，说得对极了！		
12	1	[0]	电影《刘三姐》是反映苗族的生活故事。	1	这肯定错的！	恩，说得对极了！		
13	1	[0]	欧洲最大的半岛在西欧。	1	这肯定错的！	恩，说得对极了！		
14	1	[1]	蒲公英靠风力传播种子。	1	这肯定错的！	恩，说得对极了！		
15	1	[1]	杜鹃鸟不做窝，她把蛋下到其他鸟的鸟巢里。	1	这肯定错的！	恩，说得对极了！		
16	1	[1]	现在的世界杯足球赛的冠军奖杯定名为国际足联世界杯。	1	这肯定错的！	恩，说得对极了！		
17	1	[0]	一公斤铁比一公斤棉花重。	1	这肯定错的！	恩，说得对极了！		
18	1	[0]	汇入大西洋最长的河流是尼罗河。	1	这肯定错的！	恩，说得对极了！		
19	1	[0]	发生“日食”是由于地球挡在月亮和太阳中间。	1	这肯定错的！	恩，说得对极了！		
20	1	[0]	普利策奖是科技研究方面的大奖。	1	这肯定错的！	恩，说得对极了！		
21	1	[1]	维纳斯是罗马神话中的爱神与美神。	1	这肯定错的！	恩，说得对极了！		
22	1	[1]	电脑的中央处理器英文简写是CPU。	1	这肯定错的！	恩，说得对极了！		
23	1	[1]	冰糖是用白砂糖做的，对不对？	1	这肯定错的！	恩，说得对极了！		
24	1	[0]	世界最重要的IT高科技产业基地硅谷位于美国的阿拉斯加州。	1	这肯定错的！	恩，说得对极了！		
25	1	[0]	快攻型乒乓球运动员一般都选用反贴胶皮结合海绵的球拍。	1	这肯定错的！	恩，说得对极了！		
26	1	[1]	钢是由铁和碳组成的。	1	这肯定错的！	恩，说得对极了！		
27	1	[1]	迫击炮的弹道是弯曲的。	1	这肯定错的！	恩，说得对极了！		
28	1	[0]	四大名茶之一的龙井茶产地是福建安溪。	1	这肯定错的！	恩，说得对极了！		
29	1	[0]	近视是较远物体的平行光线成像于视网膜的后面。	1	这肯定错的！	恩，说得对极了！		
30	1	[1]	为了便于让望远镜观测天体，天文台的房子屋顶被设计成圆顶。	1	这肯定错的！	恩，说得对极了！		
31	1	[1]	传说中的斑竹是舜的妃子的眼泪染成。	1	这肯定错的！	恩，说得对极了！		
32	1	[0]	花茶的种类是根据加入的茶叶命名的。	1	这肯定错的！	恩，说得对极了！		
33	1	[1]	国际马拉松跑的赛程是42195米。	1	这肯定错的！	恩，说得对极了！		
34	1	[0]	血液温度低的动物就是冷血动物。	1	这肯定错的！	恩，说得对极了！		
35	1	[1]	胰岛素是一种蛋白质。	1	这肯定错的！	恩，说得对极了！		
36	1	[0]	“七月流火”指天气很热。	1	这肯定错的！	恩，说得对极了！		
37	1	[0]	美国历史上第一所高等学府是剑桥大学。	1	这肯定错的！	恩，说得对极了！		
38	1	[0]	篮球起源于韩国。	1	这肯定错的！	恩，说得对极了！		
39	1	[1]	海南岛是我国的第二大岛。	1	这肯定错的！	恩，说得对极了！		
40	1	[1]	“问君能有几多愁”诗句的下句是“恰似一江春水向东流”。	1	这肯定错的！	恩，说得对极了！		
41	1	[1]	苹果和玫瑰花是同一科的。	1	这肯定错的！	恩，说得对极了！		
42	1	[1]	一公斤铁和一公斤棉花一样重。	1	这肯定错的！	恩，说得对极了！		
43	1	[0]	“红娘”是《西游记》里面的人物。	1	这肯定错的！	恩，说得对极了！		
44	1	[1]	澳门特区的区旗是绿色的。	1	这肯定错的！	恩，说得对极了！		
45	1	[0]	净雪比脏雪融化得快。	1	这肯定错的！	恩，说得对极了！		
46	1	[0]	国际女子羽毛球团体比赛的奖杯叫汤姆杯。	1	这肯定错的！	恩，说得对极了！		
47	1	[0]	现在美国国旗星条旗上有48颗星。	1	这肯定错的！	恩，说得对极了！		
48	1	[0]	法国干邑白兰地酒的“X.O”标志表示产地。	1	这肯定错的！	恩，说得对极了！		
49	1	[0]	早上人的身高比晚上要矮。	1	这肯定错的！	恩，说得对极了！		
50	1	[0]	因购买了一部二手的苹果手机，火遍了中美两国的社交网络的是来自中国广东梅州的“菠萝哥”。	1	这肯定错的！	恩，说得对极了！		
51	1	[1]	因购买了一部二手的苹果手机，火遍了中美两国的社交网络的是来自中国广东梅州的“橘子哥”。	1	这肯定错的！	恩，说得对极了！		
52	1	[1]	功夫巨星成龙曾代言的洗发水广告被网友恶搞，成为网络热词的一个拟声词是“duang”。	1	这肯定错的！	恩，说得对极了！		
53	1	[0]	功夫巨星成龙曾代言的洗发水广告被网友恶搞，成为网络热词的一个拟声词是“dong”。	1	这肯定错的！	恩，说得对极了！		
54	1	[1]	网红四梗是指“叶良辰、赵日天、龙傲天、福尔康”。	1	这肯定错的！	恩，说得对极了！		
55	1	[0]	因称“我说是本地人，我可以有一百种方式，让你待不下去。而你，却无可奈何”的网络红人是赵日天。	1	这肯定错的！	恩，说得对极了！		
56	1	[1]	因称“我说是本地人，我可以有一百种方式，让你待不下去。而你，却无可奈何”的网络红人是叶良辰。	1	这肯定错的！	恩，说得对极了！		
57	1	[1]	龙傲天号称“狂拽酷炫叼炸天”。	1	这肯定错的！	恩，说得对极了！		
58	1	[0]	叶良辰号称“狂拽酷炫叼炸天”。	1	这肯定错的！	恩，说得对极了！		
59	1	[1]	《龙骑士传》是由天拓游戏公司研发的。	1	这肯定错的！	恩，说得对极了！		
60	1	[1]	最好玩的网页游戏是《龙骑士传》。	1	这肯定错的！	恩，说得对极了！		
61	1	[0]	主角的攻击力是法攻。	1	这肯定错的！	恩，说得对极了！		
62	1	[1]	每次通关副本可以有机会获得龙晶。	1	这肯定错的！	恩，说得对极了！		
63	1	[1]	参与恶魔深渊玩法可以提升主角等级。	1	这肯定错的！	恩，说得对极了！		
64	1	[0]	炼金玩法可以获得魔晶。	1	这肯定错的！	恩，说得对极了！		
65	1	[1]	巨龙宝藏玩法中可以获得魔晶。	1	这肯定错的！	恩，说得对极了！		
66	1	[1]	最快获得紫色英雄的玩法是英雄祭坛。	1	这肯定错的！	恩，说得对极了！		
67	1	[1]	参与心魔炼狱可以获得进阶装备的材料。	1	这肯定错的！	恩，说得对极了！		
68	1	[1]	兑换橙装的圣灵碎片是通过劫宝活动获得的。	1	这肯定错的！	恩，说得对极了！		
69	1	[1]	最新的问答比赛初赛全天都可以参加。	1	这肯定错的！	恩，说得对极了！		
70	1	[0]	参与炼金可以获得更多的体力。	1	这肯定错的！	恩，说得对极了！		
71	1	[1]	炼金玩法可以获得更多金币。	1	这肯定错的！	恩，说得对极了！		
72	1	[1]	符文宝轮玩法可以获得符文。	1	这肯定错的！	恩，说得对极了！		
73	1	[0]	物攻宝石镶嵌到法攻英雄身上很有用。	1	这肯定错的！	恩，说得对极了！		
74	1	[0]	法攻宝石镶嵌到物攻英雄身上很有用。	1	这肯定错的！	恩，说得对极了！		
75	1	[1]	物攻宝石应该镶嵌到物攻英雄身上。	1	这肯定错的！	恩，说得对极了！		
76	1	[1]	法攻宝石应该镶嵌到法攻英雄身上。	1	这肯定错的！	恩，说得对极了！		
77	1	[1]	提升贵族等级可以提升每日购买体力次数。	1	这肯定错的！	恩，说得对极了！		
78	1	[0]	开通《龙骑士传》月卡可以免费坐公交车。	1	这肯定错的！	恩，说得对极了！		
79	1	[1]	发现游戏有BUG应该反馈给客服。	1	这肯定错的！	恩，说得对极了！		
80	1	[1]	每天晚上22:00可以领取英雄竞技场奖励。	1	这肯定错的！	恩，说得对极了！		
81	1	[0]	每天晚上22:00可以领取一份宵夜。	1	这肯定错的！	恩，说得对极了！		
82	1	[0]	坐骑属性可以对所有战斗生效。	1	这肯定错的！	恩，说得对极了！		
83	1	[1]	进化主角可以获得主角技能点数。	1	这肯定错的！	恩，说得对极了！		
84	1	[0]	写信给客服可以获得主角经验。	1	这肯定错的！	恩，说得对极了！		
85	1	[1]	20级蓝色装备不可以升阶。	1	这肯定错的！	恩，说得对极了！		
