scoreIndex	levelRange	score	show	money	reward	rewardShow	money_fcm	reward_fcm	rewardShow_fcm
得分排名	等级区间	得分区间	展示用	金币奖励	奖励列表（itemCoding,itemCnt）	奖励列表（itemCoding,itemCnt）	金币奖励	奖励列表（itemCoding,itemCnt）	奖励列表（itemCoding,itemCnt）
1	(30,39)	(19,20)	A	210000	((25637,20),(25681,30),(26033,1))	((25828,210000),(25637,20),(25681,30),(26033,1))	105000	((25637,10),(25681,15),(26033,1))	((25828,105000),(25637,10),(25681,15),(26033,1))
2	(30,39)	(15,18)	B	175000	((25637,15),(25681,25),(26032,1))	((25828,175000),(25637,15),(25681,25),(26032,1))	87500	((25637,8),(25681,13),(26032,1))	((25828,87500),(25637,8),(25681,13),(26032,1))
3	(30,39)	(12,14)	C	140000	((25637,10),(25681,20))	((25828,140000),(25637,10),(25681,20))	70000	((25637,5),(25681,10))	((25828,70000),(25637,5),(25681,10))
4	(30,39)	(8,11)	D	105000	((25637,8),(25681,15))	((25828,105000),(25637,8),(25681,15))	52500	((25637,4),(25681,8))	((25828,52500),(25637,4),(25681,8))
5	(30,39)	(0,7)	E	70000	((25637,5),(25681,10))	((25828,70000),(25637,5),(25681,10))	35000	((25637,3),(25681,5))	((25828,35000),(25637,3),(25681,5))
1	(40,59)	(19,20)	A	285000	((25639,20),(25682,30),(26033,1))	((25828,285000),(25639,20),(25682,30),(26033,1))	142500	((25639,10),(25682,15),(26033,1))	((25828,142500),(25639,10),(25682,15),(26033,1))
2	(40,59)	(15,18)	B	237000	((25639,15),(25682,25),(26032,1))	((25828,237000),(25639,15),(25682,25),(26032,1))	118500	((25639,8),(25682,13),(26032,1))	((25828,118500),(25639,8),(25682,13),(26032,1))
3	(40,59)	(12,14)	C	190000	((25639,10),(25682,20))	((25828,190000),(25639,10),(25682,20))	95000	((25639,5),(25682,10))	((25828,95000),(25639,5),(25682,10))
4	(40,59)	(8,11)	D	142000	((25639,8),(25682,15))	((25828,142000),(25639,8),(25682,15))	71000	((25639,4),(25682,8))	((25828,71000),(25639,4),(25682,8))
5	(40,59)	(0,7)	E	95000	((25639,5),(25682,10))	((25828,95000),(25639,5),(25682,10))	47500	((25639,3),(25682,5))	((25828,47500),(25639,3),(25682,5))
1	(60,79)	(19,20)	A	360000	((25640,20),(25683,30),(26033,1))	((25828,360000),(25640,20),(25683,30),(26033,1))	180000	((25640,10),(25683,15),(26033,1))	((25828,180000),(25640,10),(25683,15),(26033,1))
2	(60,79)	(15,18)	B	300000	((25640,15),(25683,25),(26032,1))	((25828,300000),(25640,15),(25683,25),(26032,1))	150000	((25640,8),(25683,13),(26032,1))	((25828,150000),(25640,8),(25683,13),(26032,1))
3	(60,79)	(12,14)	C	240000	((25640,10),(25683,20))	((25828,240000),(25640,10),(25683,20))	120000	((25640,5),(25683,10))	((25828,120000),(25640,5),(25683,10))
4	(60,79)	(8,11)	D	180000	((25640,8),(25683,15))	((25828,180000),(25640,8),(25683,15))	90000	((25640,4),(25683,8))	((25828,90000),(25640,4),(25683,8))
5	(60,79)	(0,7)	E	120000	((25640,5),(25683,10))	((25828,120000),(25640,5),(25683,10))	60000	((25640,3),(25683,5))	((25828,60000),(25640,3),(25683,5))
1	(80,99)	(19,20)	A	450000	((25641,20),(25684,30),(26033,1))	((25828,450000),(25641,20),(25684,30),(26033,1))	225000	((25641,10),(25684,15),(26033,1))	((25828,225000),(25641,10),(25684,15),(26033,1))
2	(80,99)	(15,18)	B	375000	((25641,15),(25684,25),(26032,1))	((25828,375000),(25641,15),(25684,25),(26032,1))	187500	((25641,8),(25684,13),(26032,1))	((25828,187500),(25641,8),(25684,13),(26032,1))
3	(80,99)	(12,14)	C	300000	((25641,10),(25684,20))	((25828,300000),(25641,10),(25684,20))	150000	((25641,5),(25684,10))	((25828,150000),(25641,5),(25684,10))
4	(80,99)	(8,11)	D	225000	((25641,8),(25684,15))	((25828,225000),(25641,8),(25684,15))	112500	((25641,4),(25684,8))	((25828,112500),(25641,4),(25684,8))
5	(80,99)	(0,7)	E	150000	((25641,5),(25684,10))	((25828,150000),(25641,5),(25684,10))	75000	((25641,3),(25684,5))	((25828,75000),(25641,3),(25684,5))
1	(100,119)	(19,20)	A	600000	((25642,20),(25685,30),(26033,1))	((25828,600000),(25642,20),(25685,30),(26033,1))	300000	((25642,10),(25685,15),(26033,1))	((25828,300000),(25642,10),(25685,15),(26033,1))
2	(100,119)	(15,18)	B	500000	((25642,15),(25685,25),(26032,1))	((25828,500000),(25642,15),(25685,25),(26032,1))	250000	((25642,8),(25685,13),(26032,1))	((25828,250000),(25642,8),(25685,13),(26032,1))
3	(100,119)	(12,14)	C	400000	((25642,10),(25685,20))	((25828,400000),(25642,10),(25685,20))	200000	((25642,5),(25685,10))	((25828,200000),(25642,5),(25685,10))
4	(100,119)	(8,11)	D	300000	((25642,8),(25685,15))	((25828,300000),(25642,8),(25685,15))	150000	((25642,4),(25685,8))	((25828,150000),(25642,4),(25685,8))
5	(100,119)	(0,7)	E	200000	((25642,5),(25685,10))	((25828,200000),(25642,5),(25685,10))	100000	((25642,3),(25685,5))	((25828,100000),(25642,3),(25685,5))
1	(120,139)	(19,20)	A	750000	((25642,20),(25686,30),(26033,1))	((25828,750000),(25642,20),(25686,30),(26033,1))	375000	((25642,10),(25686,15),(26033,1))	((25828,375000),(25642,10),(25686,15),(26033,1))
2	(120,139)	(15,18)	B	625000	((25642,15),(25686,25),(26032,1))	((25828,625000),(25642,15),(25686,25),(26032,1))	312500	((25642,8),(25686,13),(26032,1))	((25828,312500),(25642,8),(25686,13),(26032,1))
3	(120,139)	(12,14)	C	500000	((25642,10),(25686,20))	((25828,500000),(25642,10),(25686,20))	250000	((25642,5),(25686,10))	((25828,250000),(25642,5),(25686,10))
4	(120,139)	(8,11)	D	375000	((25642,8),(25686,15))	((25828,375000),(25642,8),(25686,15))	187500	((25642,4),(25686,8))	((25828,187500),(25642,4),(25686,8))
5	(120,139)	(0,7)	E	250000	((25642,5),(25686,10))	((25828,250000),(25642,5),(25686,10))	125000	((25642,3),(25686,5))	((25828,125000),(25642,3),(25686,5))
1	(140,159)	(19,20)	A	900000	((25642,20),(26607,30),(26033,1))	((25828,900000),(25642,20),(26607,30),(26033,1))	450000	((25642,10),(26607,15),(26033,1))	((25828,450000),(25642,10),(26607,15),(26033,1))
2	(140,159)	(15,18)	B	750000	((25642,15),(26607,25),(26032,1))	((25828,750000),(25642,15),(26607,25),(26032,1))	375000	((25642,8),(26607,13),(26032,1))	((25828,375000),(25642,8),(26607,13),(26032,1))
3	(140,159)	(12,14)	C	600000	((25642,10),(26607,20))	((25828,600000),(25642,10),(26607,20))	300000	((25642,5),(26607,10))	((25828,300000),(25642,5),(26607,10))
4	(140,159)	(8,11)	D	450000	((25642,8),(26607,15))	((25828,450000),(25642,8),(26607,15))	225000	((25642,4),(26607,8))	((25828,225000),(25642,4),(26607,8))
5	(140,159)	(0,7)	E	300000	((25642,5),(26607,10))	((25828,300000),(25642,5),(26607,10))	150000	((25642,3),(26607,5))	((25828,150000),(25642,3),(26607,5))
1	(160,179)	(19,20)	A	1050000	((25642,20),(27066,30),(26033,1))	((25828,1050000),(25642,20),(27066,30),(26033,1))	525000	((25642,10),(27066,15),(26033,1))	((25828,525000),(25642,10),(27066,15),(26033,1))
2	(160,179)	(15,18)	B	875000	((25642,15),(27066,25),(26032,1))	((25828,875000),(25642,15),(27066,25),(26032,1))	437500	((25642,8),(27066,13),(26032,1))	((25828,437500),(25642,8),(27066,13),(26032,1))
3	(160,179)	(12,14)	C	700000	((25642,10),(27066,20))	((25828,700000),(25642,10),(27066,20))	350000	((25642,5),(27066,10))	((25828,350000),(25642,5),(27066,10))
4	(160,179)	(8,11)	D	525000	((25642,8),(27066,15))	((25828,525000),(25642,8),(27066,15))	262500	((25642,4),(27066,8))	((25828,262500),(25642,4),(27066,8))
5	(160,179)	(0,7)	E	350000	((25642,5),(27066,10))	((25828,350000),(25642,5),(27066,10))	175000	((25642,3),(27066,5))	((25828,175000),(25642,3),(27066,5))
