fbId	rewardClient	rewardId	gold	bindRMB	items
副本Id	奖励ID前端用	奖励Id	金币	魔晶	物品奖励
1	1	1	150000	0	[(26344,25),(25681,60),(25637,15),(28785,2)]
1	2	2	0	0	[(26344,20),(25681,40),(25637,12),(28785,1)]
1	3	3	0	0	[(26344,15),(25681,30),(25637,10),(28784,8)]
1	4	4	0	0	[(26344,10),(25681,20),(25637,8),(28784,5)]
1	5	5	0	0	[(26344,5),(25681,10),(25637,5),(28784,3)]
101	101	6	0	0	[(25637,1)]
101	101	7	0	0	[(26342,3)]
2	1	8	210000	0	[(26344,25),(25682,60),(25639,15),(28785,2)]
2	2	9	0	0	[(26344,20),(25682,40),(25639,12),(28785,1)]
2	3	10	0	0	[(26344,15),(25682,30),(25639,10),(28784,8)]
2	4	11	0	0	[(26344,10),(25682,20),(25639,8),(28784,5)]
2	5	12	0	0	[(26344,5),(25682,10),(25639,5),(28784,3)]
101	101	13	0	0	[(25639,1)]
101	101	14	0	0	[(26342,3)]
3	1	15	300000	0	[(26344,30),(25683,60),(25640,15),(28785,2)]
3	2	16	0	0	[(26344,25),(25683,40),(25640,12),(28785,1)]
3	3	17	0	0	[(26344,18),(25683,30),(25640,10),(28784,8)]
3	4	18	0	0	[(26344,13),(25683,20),(25640,8),(28784,5)]
3	5	19	0	0	[(26344,8),(25683,10),(25640,5),(28784,3)]
101	101	20	0	0	[(25640,1)]
101	101	21	0	0	[(26342,3)]
4	1	22	450000	0	[(26344,35),(25684,60),(25641,15),(28785,2)]
4	2	23	0	0	[(26344,30),(25684,40),(25641,12),(28785,1)]
4	3	24	0	0	[(26344,22),(25684,30),(25641,10),(28784,8)]
4	4	25	0	0	[(26344,17),(25684,20),(25641,8),(28784,5)]
4	5	26	0	0	[(26344,12),(25684,10),(25641,5),(28784,3)]
101	101	27	0	0	[(25641,1)]
101	101	28	0	0	[(26342,3)]
5	1	29	700000	0	[(26344,40),(25685,60),(25642,15),(28785,2)]
5	2	30	0	0	[(26344,35),(25685,40),(25642,12),(28785,1)]
5	3	31	0	0	[(26344,28),(25685,30),(25642,10),(28784,8)]
5	4	32	0	0	[(26344,21),(25685,20),(25642,8),(28784,5)]
5	5	33	0	0	[(26344,15),(25685,10),(25642,5),(28784,3)]
101	101	34	0	0	[(25642,1)]
101	101	35	0	0	[(26342,3)]
6	1	36	700000	0	[(26344,40),(25686,60),(25643,15),(28785,2)]
6	2	37	0	0	[(26344,35),(25686,40),(25643,12),(28785,1)]
6	3	38	0	0	[(26344,28),(25686,30),(25643,10),(28784,8)]
6	4	39	0	0	[(26344,21),(25686,20),(25643,8),(28784,5)]
6	5	40	0	0	[(26344,15),(25686,10),(25643,5),(28784,3)]
101	101	41	0	0	[(25643,1)]
101	101	42	0	0	[(26342,3)]
7	1	43	700000	0	[(26344,40),(26607,60),(25644,22),(28785,2)]
7	2	44	0	0	[(26344,35),(26607,40),(25644,18),(28785,1)]
7	3	45	0	0	[(26344,28),(26607,30),(25644,15),(28784,8)]
7	4	46	0	0	[(26344,21),(26607,20),(25644,12),(28784,5)]
7	5	47	0	0	[(26344,15),(26607,10),(25644,7),(28784,3)]
101	101	48	0	0	[(25644,1)]
101	101	49	0	0	[(26342,3)]
8	1	50	700000	0	[(26344,40),(27066,60),(25645,15),(28785,2)]
8	2	51	0	0	[(26344,35),(27066,40),(25645,12),(28785,1)]
8	3	52	0	0	[(26344,28),(27066,30),(25645,10),(28784,8)]
8	4	53	0	0	[(26344,21),(27066,20),(25645,8),(28784,5)]
8	5	54	0	0	[(26344,15),(27066,10),(25645,5),(28784,3)]
101	101	55	0	0	[(25645,1)]
101	101	56	0	0	[(26342,3)]
