order	star	gorgeous
阶数	星数	对应的华丽度
0	0	0
0	1	2
0	2	4
0	3	6
0	4	8
0	5	10
0	6	14
0	7	18
0	8	22
0	9	26
0	10	30
0	11	38
0	12	46
0	13	54
0	14	62
0	15	70
0	16	82
0	17	94
0	18	110
0	19	130
1	0	20
1	1	22
1	2	24
1	3	26
1	4	28
1	5	30
1	6	34
1	7	38
1	8	42
1	9	46
1	10	50
1	11	58
1	12	66
1	13	74
1	14	82
1	15	90
1	16	102
1	17	114
1	18	130
1	19	150
2	0	40
2	1	42
2	2	44
2	3	46
2	4	48
2	5	50
2	6	54
2	7	58
2	8	62
2	9	66
2	10	70
2	11	78
2	12	86
2	13	94
2	14	102
2	15	110
2	16	122
2	17	134
2	18	150
2	19	170
3	0	80
3	1	82
3	2	84
3	3	86
3	4	88
3	5	90
3	6	94
3	7	98
3	8	102
3	9	106
3	10	110
3	11	118
3	12	126
3	13	134
3	14	142
3	15	150
3	16	162
3	17	174
3	18	190
3	19	210
4	0	180
4	1	182
4	2	184
4	3	186
4	4	188
4	5	190
4	6	194
4	7	198
4	8	202
4	9	206
4	10	210
4	11	218
4	12	226
4	13	234
4	14	242
4	15	250
4	16	262
4	17	274
4	18	290
4	19	310
