coding	name	wingCoding	wingId	needlevel	grade	posType	nameColor	suitId	canSell	salePrice	Idepro	FaileIdepro	needItem	idegorgeous	gorgeous	Basept1	Basepv1	Basept2	Basepv2	Starpt1	Starpv1	Starpt2	Starpv2	Uppt1	Uppv1	Uppt2	Uppv2	Jdpt1	Jdpv1	Jdpt2	Jdpv2	Jdpt3	Jdpv3	needLog	kinds	propsType	icon	sortLevel	miaoshu	doubleclick	jiaMi
物品编码	物品名字	对应item表中的coding	这个只有翅膀需要，对应羽翼系统的翅膀ID,非羽翼填0	佩戴需要等级	时装品阶	装备部位(1:武器,2:衣服,3:帽子,4:羽翼)	道具名称颜色	拥有的套装属性ID	物品是否可以出售(0:不可以，1:可以)	价钱	鉴定成功概率	鉴定失败加的幸运值	鉴定需要的物品	鉴定后基础华丽度	鉴定前基础华丽度	时装的基础属性类型	时装的基础属性值	时装的基础属性类型	时装的基础属性值	升星主角属性类型	升星主角属性值	升星主角属性类型	升星主角属性值	升阶主角属性类型	升阶主角属性值	升阶主角属性类型	升阶主角属性值	鉴定属性类型	鉴定属性值	鉴定属性类型	鉴定属性值	鉴定属性类型	鉴定属性值	是否记录日志(0：不记录   1：记录)	物品类型：（时装==12）	道具类型(14=时装）	道具图标	排序优先级，越大越靠前	描述	双击功能	是否需要加密
37021	贵族之灵		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	4	1	500	4500	500	[26676,1]	20	5	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	szwuqi4	720	<font color="#E6DFBB">贵族套装-武器部件,图鉴中选择并保存获得贵族武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>龙骑神殿许愿池<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37022	贵族礼服		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	4	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	szyifu4	721	<font color="#E6DFBB">贵族套装-衣服部件,图鉴中选择并保存获得贵族衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>圣辉城许愿池<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37023	贵族时尚		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	4	1	500	4500	500	[26676,1]	20	5	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	szmaozi4	722	<font color="#E6DFBB">贵族套装-帽子部件,图鉴中选择并保存获得贵族帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>精灵大陆许愿池<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37001	天使·圣洁之心		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	1	1	500	4500	500	[26676,1]	20	5	4	500	6	500	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	szwuqi1	700	<font color="#E6DFBB">天使套装-武器部件,图鉴中选择并保存获得天使武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37002	天使·圣洁之风		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	1	1	500	4500	500	[26676,1]	20	8	1	1500	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	szyifu1	701	<font color="#E6DFBB">天使套装-衣服部件,图鉴中选择并保存获得天使衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买。<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37003	天使之翼	26921	10	45	1	4	[蓝色,紫色,黄色,橙色,红色]	1	1	500	4500	500	[26676,1]	20	5	9	500	12	500	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	szyuyi1	702	<font color="#E6DFBB">天使套装-羽翼部件,图鉴中选择并保存获得天使羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>徽章商店<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37004	天使·圣洁之光		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	1	1	500	4500	500	[26676,1]	20	5	8	500	13	500	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	szmaozi1	703	<font color="#E6DFBB">天使套装-帽子部件,图鉴中选择并保存获得天使帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买。<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37005	恶魔·邪恶之力		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	2	1	500	4500	500	[26676,1]	20	5	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	szwuqi2	704	<font color="#E6DFBB">恶魔套装-武器部件,图鉴中选择并保存获得恶魔武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37006	恶魔·邪恶之魂		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	2	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	szyifu2	705	<font color="#E6DFBB">恶魔套装-衣服部件,图鉴中选择并保存获得恶魔衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买。<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
