posType	order	nextOrder	needItem	minLucky	maxLucky	baseLucky	addLucky	Luckcoding
部件	阶数	下一级	每次消耗的材料	最小幸运值（需大于该值，才可能升阶成功）	最大幸运值上限	基础升阶成功率(万分比)	每次失败增加的幸运值	幸运符
1	0	1	[26676,1]	4	27	0	(1,3)	26899
1	1	2	[26676,2]	4	24	0	(1,3)	26899
1	2	3	[26676,3]	8	92	0	(1,3)	26899
1	3	4	[26676,4]	10	235	0	(1,3)	26899
2	0	1	[26676,1]	4	27	0	(1,3)	26899
2	1	2	[26676,2]	4	24	0	(1,3)	26899
2	2	3	[26676,3]	8	92	0	(1,3)	26899
2	3	4	[26676,4]	10	235	0	(1,3)	26899
3	0	1	[26676,1]	4	27	0	(1,3)	26899
3	1	2	[26676,2]	4	24	0	(1,3)	26899
3	2	3	[26676,3]	8	92	0	(1,3)	26899
3	3	4	[26676,4]	10	235	0	(1,3)	26899
4	0	1	[26676,1]	4	27	0	(1,3)	26899
4	1	2	[26676,2]	4	24	0	(1,3)	26899
4	2	3	[26676,3]	8	92	0	(1,3)	26899
4	3	4	[26676,4]	10	235	0	(1,3)	26899
37055	0	1	[28699,1]	4	27	0	(1,3)	26899
37055	1	2	[28699,2]	4	24	0	(1,3)	26899
37055	2	3	[28699,3]	8	92	0	(1,3)	26899
37055	3	4	[28699,4]	10	235	0	(1,3)	26899
37056	0	1	[28699,1]	4	27	0	(1,3)	26899
37056	1	2	[28699,2]	4	24	0	(1,3)	26899
37056	2	3	[28699,3]	8	92	0	(1,3)	26899
37056	3	4	[28699,4]	10	235	0	(1,3)	26899
37057	0	1	[28699,1]	4	27	0	(1,3)	26899
37057	1	2	[28699,2]	4	24	0	(1,3)	26899
37057	2	3	[28699,3]	8	92	0	(1,3)	26899
37057	3	4	[28699,4]	10	235	0	(1,3)	26899
37058	0	1	[28699,1]	4	27	0	(1,3)	26899
37058	1	2	[28699,2]	4	24	0	(1,3)	26899
37058	2	3	[28699,3]	8	92	0	(1,3)	26899
37058	3	4	[28699,4]	10	235	0	(1,3)	26899
