posType	starNum	nextStar	needItem	minLucky	maxLucky	baseLucky	addLucky	Starcoding
部件	星级	下一级	每次消耗的材料	最小幸运值（需大于该值，才可能升星成功）	最大幸运值上限	基础升星成功率(万分比)	每次失败增加的幸运值	升星石
1	0	1	[26677,1]	4	11	0	(1,3)	28901
1	1	2	[26677,1]	4	12	0	(1,3)	28901
1	2	3	[26677,1]	6	55	0	(1,3)	28901
1	3	4	[26677,2]	4	32	0	(1,3)	28901
1	4	5	[26677,2]	6	41	0	(1,3)	28901
1	5	6	[26677,2]	6	70	0	(1,3)	28901
1	6	7	[26677,3]	6	44	10	(1,3)	28901
1	7	8	[26677,3]	6	60	10	(1,3)	28901
1	8	9	[26677,3]	6	81	0	(1,3)	28901
1	9	10	[26677,3]	8	121	0	(1,3)	28901
1	10	11	[26677,4]	8	98	0	(1,3)	28901
1	11	12	[26677,4]	8	134	0	(1,3)	28901
1	12	13	[26677,4]	10	180	0	(1,3)	28901
1	13	14	[26677,4]	10	235	0	(1,3)	28901
1	14	15	[26677,5]	10	170	10	(1,3)	28901
1	15	16	[26677,5]	26	1650	0	(1,3)	28901
1	16	17	[26677,5]	34	3000	0	(1,3)	28901
1	17	18	[26677,5]	42	4872	0	(1,3)	28901
1	18	19	[26677,5]	48	6730	0	(1,3)	28901
2	0	1	[26677,1]	4	11	0	(1,3)	28901
2	1	2	[26677,1]	4	12	0	(1,3)	28901
2	2	3	[26677,1]	6	55	0	(1,3)	28901
2	3	4	[26677,2]	4	32	0	(1,3)	28901
2	4	5	[26677,2]	6	41	0	(1,3)	28901
2	5	6	[26677,2]	6	70	0	(1,3)	28901
2	6	7	[26677,3]	6	44	10	(1,3)	28901
2	7	8	[26677,3]	6	60	10	(1,3)	28901
2	8	9	[26677,3]	6	81	0	(1,3)	28901
2	9	10	[26677,3]	8	121	0	(1,3)	28901
2	10	11	[26677,4]	8	98	0	(1,3)	28901
2	11	12	[26677,4]	8	134	0	(1,3)	28901
2	12	13	[26677,4]	10	180	0	(1,3)	28901
2	13	14	[26677,4]	10	235	0	(1,3)	28901
2	14	15	[26677,5]	10	170	10	(1,3)	28901
2	15	16	[26677,5]	26	1650	0	(1,3)	28901
2	16	17	[26677,5]	34	3000	0	(1,3)	28901
2	17	18	[26677,5]	42	4872	0	(1,3)	28901
2	18	19	[26677,5]	48	6730	0	(1,3)	28901
3	0	1	[26677,1]	2	3	2750	(1,3)	28901
3	1	2	[26677,1]	2	3	2250	(1,3)	28901
3	2	3	[26677,1]	4	11	0	(1,3)	28901
3	3	4	[26677,2]	2	7	500	(1,3)	28901
3	4	5	[26677,2]	4	8	150	(1,3)	28901
3	5	6	[26677,2]	4	15	100	(1,3)	28901
3	6	7	[26677,3]	4	9	200	(1,3)	28901
3	7	8	[26677,3]	4	11	0	(1,3)	28901
3	8	9	[26677,3]	4	16	0	(1,3)	28901
3	9	10	[26677,3]	4	27	0	(1,3)	28901
3	10	11	[26677,4]	4	20	0	(1,3)	28901
3	11	12	[26677,4]	4	29	0	(1,3)	28901
3	12	13	[26677,4]	6	40	0	(1,3)	28901
3	13	14	[26677,4]	6	53	0	(1,3)	28901
3	14	15	[26677,5]	6	38	10	(1,3)	28901
3	15	16	[26677,5]	14	392	0	(1,3)	28901
3	16	17	[26677,5]	18	750	0	(1,3)	28901
3	17	18	[26677,5]	22	1140	0	(1,3)	28901
3	18	19	[26677,5]	24	1550	0	(1,3)	28901
4	0	1	[26677,1]	2	3	2750	(1,3)	28901
4	1	2	[26677,1]	2	3	2250	(1,3)	28901
4	2	3	[26677,1]	4	11	0	(1,3)	28901
4	3	4	[26677,2]	2	7	500	(1,3)	28901
4	4	5	[26677,2]	4	8	150	(1,3)	28901
4	5	6	[26677,2]	4	15	100	(1,3)	28901
4	6	7	[26677,3]	4	9	200	(1,3)	28901
4	7	8	[26677,3]	4	11	0	(1,3)	28901
4	8	9	[26677,3]	4	16	0	(1,3)	28901
4	9	10	[26677,3]	4	27	0	(1,3)	28901
4	10	11	[26677,4]	4	20	0	(1,3)	28901
4	11	12	[26677,4]	4	29	0	(1,3)	28901
4	12	13	[26677,4]	6	40	0	(1,3)	28901
4	13	14	[26677,4]	6	53	0	(1,3)	28901
4	14	15	[26677,5]	6	38	10	(1,3)	28901
4	15	16	[26677,5]	14	392	0	(1,3)	28901
4	16	17	[26677,5]	18	750	0	(1,3)	28901
4	17	18	[26677,5]	22	1140	0	(1,3)	28901
4	18	19	[26677,5]	24	1550	0	(1,3)	28901
