goodId	rangeId	levelRange	item	des	itemCnt	rateValue	originalUnbindRMB	needUnbindRMB	RMBType	needSockCnt	discountFlag	isLowestPrice
商品ID	等级区段ID	等级区段[levelDown,levelUp]	物品(coding,cnt)	备注	可购买数量	随即概率值	原价	现价（需要神石）	神石类型(1-充值神石 0-充值奖励神石均可)	需要袜子数量	折扣标签	是否最低价
1	1	[30,39]	(26450,5)	许愿币	1	1000	325	195	0	0	SDJNH_6z	0
2	2	[40,59]	(26450,5)	许愿币	1	1000	325	195	0	0	SDJNH_6z	0
3	3	[60,64]	(26450,5)	许愿币	1	1000	325	195	0	0	SDJNH_6z	0
4	4	[65,79]	(26450,5)	许愿币	1	1000	325	195	0	0	SDJNH_6z	0
5	5	[80,99]	(26450,5)	许愿币	1	1000	325	195	0	0	SDJNH_6z	0
6	6	[100,119]	(26450,5)	许愿币	1	1000	325	195	0	0	SDJNH_6z	0
7	7	[120,139]	(26450,5)	许愿币	1	1000	325	195	0	0	SDJNH_6z	0
8	8	[140,179]	(26450,5)	许愿币	1	1000	325	195	0	0	SDJNH_6z	0
9	1	[30,39]	(26450,1)	许愿币	1	1000	65	45	0	0	SDJNH_6z	0
10	2	[40,59]	(26450,1)	许愿币	1	1000	65	45	0	0	SDJNH_6z	0
11	3	[60,64]	(26450,1)	许愿币	1	1000	65	45	0	0	SDJNH_6z	0
12	4	[65,79]	(26450,1)	许愿币	1	1000	65	45	0	0	SDJNH_6z	0
13	5	[80,99]	(26450,1)	许愿币	1	1000	65	45	0	0	SDJNH_6z	0
14	6	[100,119]	(26450,1)	许愿币	1	1000	65	45	0	0	SDJNH_6z	0
15	7	[120,139]	(26450,1)	许愿币	1	1000	65	45	0	0	SDJNH_6z	0
16	8	[140,179]	(26450,1)	许愿币	1	1000	65	45	0	0	SDJNH_6z	0
17	3	[60,64]	(26144,10)	宠物圣果	1	1000	950	495	0	0	SDJNH_6z	0
18	4	[65,79]	(26144,10)	宠物圣果	1	1000	950	495	0	0	SDJNH_6z	0
19	5	[80,99]	(26144,10)	宠物圣果	1	1000	950	495	0	0	SDJNH_6z	0
20	6	[100,119]	(26144,10)	宠物圣果	1	1000	950	495	0	0	SDJNH_6z	0
21	7	[120,139]	(26144,10)	宠物圣果	1	1000	950	495	0	0	SDJNH_6z	0
22	8	[140,179]	(26144,10)	宠物圣果	1	1000	950	495	0	0	SDJNH_6z	0
23	3	[60,64]	(26144,1)	宠物圣果	1	1000	95	60	0	0	SDJNH_6z	0
24	4	[65,79]	(26144,1)	宠物圣果	1	1000	95	60	0	0	SDJNH_6z	0
25	5	[80,99]	(26144,1)	宠物圣果	1	1000	95	60	0	0	SDJNH_6z	0
26	6	[100,119]	(26144,1)	宠物圣果	1	1000	95	60	0	0	SDJNH_6z	0
27	7	[120,139]	(26144,1)	宠物圣果	1	1000	95	60	0	0	SDJNH_6z	0
28	8	[140,179]	(26144,1)	宠物圣果	1	1000	95	60	0	0	SDJNH_6z	0
29	5	[80,99]	(26677,5)	时装精华	1	1000	475	285	0	0	SDJNH_6z	0
30	6	[100,119]	(26677,5)	时装精华	1	1000	475	285	0	0	SDJNH_6z	0
31	7	[120,139]	(26677,5)	时装精华	1	1000	475	285	0	0	SDJNH_6z	0
32	8	[140,179]	(26677,5)	时装精华	1	1000	475	285	0	0	SDJNH_6z	0
33	3	[60,64]	(26479,5)	装备附魔石	1	1000	250	175	0	0	SDJNH_7z	0
34	4	[65,79]	(26479,5)	装备附魔石	1	1000	250	175	0	0	SDJNH_7z	0
35	5	[80,99]	(26479,5)	装备附魔石	1	1000	250	175	0	0	SDJNH_7z	0
36	6	[100,119]	(26479,5)	装备附魔石	1	1000	250	175	0	0	SDJNH_7z	0
37	7	[120,139]	(26479,5)	装备附魔石	1	1000	250	175	0	0	SDJNH_7z	0
38	8	[140,179]	(26479,5)	装备附魔石	1	1000	250	175	0	0	SDJNH_7z	0
39	3	[60,64]	(26344,5)	姻缘石	1	1000	125	85	0	0	SDJNH_7z	0
40	4	[65,79]	(26344,5)	姻缘石	1	1000	125	85	0	0	SDJNH_7z	0
41	5	[80,99]	(26344,5)	姻缘石	1	1000	125	85	0	0	SDJNH_7z	0
42	6	[100,119]	(26344,5)	姻缘石	1	1000	125	85	0	0	SDJNH_7z	0
43	7	[120,139]	(26344,5)	姻缘石	1	1000	125	85	0	0	SDJNH_7z	0
44	8	[140,179]	(26344,5)	姻缘石	1	1000	125	85	0	0	SDJNH_7z	0
45	3	[60,64]	(26676,1)	时装之魄	1	1000	795	635	0	0	SDJNH_8z	0
46	4	[65,79]	(26676,1)	时装之魄	1	1000	795	635	0	0	SDJNH_8z	0
47	5	[80,99]	(26676,1)	时装之魄	1	1000	795	635	0	0	SDJNH_8z	0
48	6	[100,119]	(26676,1)	时装之魄	1	1000	795	635	0	0	SDJNH_8z	0
49	7	[120,139]	(26676,1)	时装之魄	1	1000	795	635	0	0	SDJNH_8z	0
50	8	[140,179]	(26676,1)	时装之魄	1	1000	795	635	0	0	SDJNH_8z	0
51	5	[80,99]	(26298,5)	圣器附魔石	1	1000	975	645	0	0	SDJNH_8z	0
52	6	[100,119]	(26298,5)	圣器附魔石	1	1000	975	645	0	0	SDJNH_8z	0
53	7	[120,139]	(26298,5)	圣器附魔石	1	1000	975	645	0	0	SDJNH_8z	0
54	8	[140,179]	(26298,5)	圣器附魔石	1	1000	975	645	0	0	SDJNH_8z	0
55	5	[80,99]	(26298,1)	圣器附魔石	1	1000	195	135	0	0	SDJNH_7z	0
56	6	[100,119]	(26298,1)	圣器附魔石	1	1000	195	135	0	0	SDJNH_7z	0
57	7	[120,139]	(26298,1)	圣器附魔石	1	1000	195	135	0	0	SDJNH_7z	0
58	8	[140,179]	(26298,1)	圣器附魔石	1	1000	195	135	0	0	SDJNH_7z	0
59	3	[60,64]	(27570,5)	时装水晶石	1	1000	975	775	0	0	SDJNH_8z	0
60	4	[65,79]	(27570,5)	时装水晶石	1	1000	975	775	0	0	SDJNH_8z	0
61	5	[80,99]	(27570,5)	时装水晶石	1	1000	975	775	0	0	SDJNH_8z	0
62	6	[100,119]	(27570,5)	时装水晶石	1	1000	975	775	0	0	SDJNH_8z	0
63	7	[120,139]	(27570,5)	时装水晶石	1	1000	975	775	0	0	SDJNH_8z	0
64	8	[140,179]	(27570,5)	时装水晶石	1	1000	975	775	0	0	SDJNH_8z	0
65	2	[40,59]	(26925,5)	生命之源	1	1000	325	225	0	0	SDJNH_3z	0
66	3	[60,64]	(26925,5)	生命之源	1	1000	325	225	0	0	SDJNH_7z	0
67	4	[65,79]	(26925,5)	生命之源	1	1000	325	225	0	0	SDJNH_7z	0
