coding	needCoding	needItemCnt	needLevel	needWorldLevel	limitCnt
物品coding	兑换需要coding	兑换需要物品数量	兑换需要等级	兑换需要世界等级	限购次数(0-不限购)
27515	27568	3600	60	0	1
28253	27568	1800	60	0	1
26121	27568	4	60	0	50
26122	27568	4	60	0	50
26123	27568	4	60	0	50
27100	27568	5	100	0	150
27099	27568	4	100	0	100
27098	27568	4	100	0	100
27097	27568	5	100	0	50
26972	27568	1800	30	0	1
26753	27568	160	45	0	1
26755	27568	160	45	0	1
26757	27568	160	45	0	1
26754	27568	160	45	0	1
26756	27568	160	45	0	1
26758	27568	160	45	0	1
26320	27568	4	80	0	200
26338	27568	16	80	0	200
26319	27568	4	80	0	200
26337	27568	16	80	0	200
