rank	rewardItems	money	bindRMB	rewardItemsPreview
排名	奖励	金币奖励	魔晶	奖励道具预览（客户端用）
1	[(27088,200),(26450,100),(25600,200),(26226,1)]	0	0	[(27088,200),(26450,100),(25600,200),(26226,1)]
2	[(27088,150),(26450,80),(25600,150),(26225,1)]	0	0	[(27088,150),(26450,80),(25600,150),(26225,1)]
3	[(27088,120),(26450,70),(25600,120),(26224,1)]	0	0	[(27088,120),(26450,70),(25600,120),(26224,1)]
4	[(27088,100),(26450,60),(25600,100),(26223,1)]	0	0	[(27088,100),(26450,60),(25600,100),(26223,1)]
5	[(27088,80),(26450,50),(25600,80),(26223,1)]	0	0	[(27088,80),(26450,50),(25600,80),(26223,1)]
6	[(27088,60),(26450,40),(25600,60),(26223,1)]	0	0	[(27088,60),(26450,40),(25600,60),(26223,1)]
7	[(27088,50),(26450,30),(25600,50),(26223,1)]	0	0	[(27088,50),(26450,30),(25600,50),(26223,1)]
8	[(27088,40),(26450,20),(25600,40),(26223,1)]	0	0	[(27088,40),(26450,20),(25600,40),(26223,1)]
9	[(27088,30),(26450,10),(25600,30),(26223,1)]	0	0	[(27088,30),(26450,10),(25600,30),(26223,1)]
10	[(27088,20),(26450,5),(25600,20),(26223,1)]	0	0	[(27088,20),(26450,5),(25600,20),(26223,1)]
