rewardId	MinLevel	Itemrewards	bindRMB	review
奖励ID	最小等级	神石的奖励（coding， cnt）	魔晶奖励	客户端预览（coding， cnt）
1	80	[(28035,3),(25837,50),(27939,5),(26450,25)]	500	[(25829,500),(28035,3),(25837,50),(27939,5),(26450,25)]
2	80	[(26224,5),(26144,50),(27939,5),(26450,25)]	500	[(25829,500),(26224,5),(26144,50),(27939,5),(26450,25)]
3	80	[(28035,3),(25837,50),(27939,5),(26450,25)]	500	[(25829,500),(28035,3),(25837,50),(27939,5),(26450,25)]
4	80	[(27622,5),(26144,50),(27566,10),(26450,25)]	500	[(25829,500),(27622,5),(26144,50),(27566,10),(26450,25)]
5	80	[(28035,3),(27587,50),(27167,5),(26450,25)]	500	[(25829,500),(28035,3),(27587,50),(27167,5),(26450,25)]
6	80	[(26479,50),(27669,50),(26934,25),(26450,25)]	500	[(25829,500),(26479,50),(27669,50),(26934,25),(26450,25)]
7	80	[(28035,3),(26936,50),(26925,20),(26450,25)]	500	[(25829,500),(28035,3),(26936,50),(26925,20),(26450,25)]
8	80	[(26298,20),(25831,50),(26924,20),(26450,25)]	500	[(25829,500),(26298,20),(25831,50),(26924,20),(26450,25)]
9	80	[(28035,3),(25970,50),(27939,5),(26450,25)]	500	[(25829,500),(28035,3),(25970,50),(27939,5),(26450,25)]
10	80	[(26676,5),(27570,50),(27939,5),(26450,25)]	500	[(25829,500),(26676,5),(27570,50),(27939,5),(26450,25)]
11	80	[(28034,2),(25837,10),(27939,5),(26450,5)]	100	[(25829,100),(28034,2),(25837,10),(27939,5),(26450,5)]
12	80	[(27518,2),(26144,10),(27566,2),(26450,5)]	100	[(25829,100),(27518,2),(26144,10),(27566,2),(26450,5)]
13	80	[(28034,2),(27587,10),(27167,1),(26450,5)]	100	[(25829,100),(28034,2),(27587,10),(27167,1),(26450,5)]
14	80	[(27621,2),(27669,10),(26934,5),(26450,5)]	100	[(25829,100),(27621,2),(27669,10),(26934,5),(26450,5)]
15	80	[(28034,2),(26936,10),(26925,5),(26450,5)]	100	[(25829,100),(28034,2),(26936,10),(26925,5),(26450,5)]
16	80	[(26479,10),(25837,10),(26924,5),(26450,5)]	100	[(25829,100),(26479,10),(25837,10),(26924,5),(26450,5)]
17	80	[(28034,2),(26144,10),(27566,2),(26450,5)]	100	[(25829,100),(28034,2),(26144,10),(27566,2),(26450,5)]
18	80	[(26298,3),(25831,10),(27167,1),(26450,5)]	100	[(25829,100),(26298,3),(25831,10),(27167,1),(26450,5)]
19	80	[(28034,2),(25970,10),(26934,5),(26450,5)]	100	[(25829,100),(28034,2),(25970,10),(26934,5),(26450,5)]
20	80	[(26676,1),(27570,10),(26677,5),(26450,5)]	100	[(25829,100),(26676,1),(27570,10),(26677,5),(26450,5)]
21	80	[(28033,1),(25837,2),(26144,2),(26450,1)]	20	[(25829,20),(28033,1),(25837,2),(26144,2),(26450,1)]
22	80	[(27517,1),(26925,1),(26924,1),(26450,1)]	20	[(25829,20),(27517,1),(26925,1),(26924,1),(26450,1)]
23	80	[(28033,1),(25837,2),(26144,2),(26450,1)]	20	[(25829,20),(28033,1),(25837,2),(26144,2),(26450,1)]
24	80	[(26267,1),(26925,1),(26924,1),(26450,1)]	20	[(25829,20),(26267,1),(26925,1),(26924,1),(26450,1)]
25	80	[(28033,1),(25837,2),(26144,2),(26450,1)]	20	[(25829,20),(28033,1),(25837,2),(26144,2),(26450,1)]
26	80	[(26479,4),(26925,1),(26924,1),(26450,1)]	20	[(25829,20),(26479,4),(26925,1),(26924,1),(26450,1)]
27	80	[(28033,1),(25837,2),(26144,2),(26450,1)]	20	[(25829,20),(28033,1),(25837,2),(26144,2),(26450,1)]
28	80	[(26298,1),(26925,1),(26924,1),(26450,1)]	20	[(25829,20),(26298,1),(26925,1),(26924,1),(26450,1)]
29	80	[(28033,1),(25837,2),(26144,2),(26450,1)]	20	[(25829,20),(28033,1),(25837,2),(26144,2),(26450,1)]
30	80	[(28034,1),(26925,1),(26924,1),(26450,1)]	20	[(25829,20),(28034,1),(26925,1),(26924,1),(26450,1)]
31	80	[(37006,1),(26676,2),(27710,1),(28031,1),(27939,5)]	0	[(37006,1),(26676,2),(27710,1),(28031,1),(27939,5)]
32	80	[(27709,1),(26676,1),(26677,5),(28035,1)]	0	[(27709,1),(26676,1),(26677,5),(28035,1)]
33	80	[(25837,5),(26144,5),(26044,1),(28033,1)]	0	[(25837,5),(26144,5),(26044,1),(28033,1)]
