ID	NpcType	Grade	content	time	Skip	LeftRight	ServerScript	about	zhangMingZi
剧情ID	npcid	进阶等级	对话内容	停留时间	一键跳过	剧情对白的头像位置（1左2右）	服务端脚本	所属任务	章名字
10000001	40		#S(16)#C(#ffffff)宿命轮回，等待千年，终于见到你了，我的主人，看来当年你的牺牲是值得的！			1			
10000002	0		#S(16)#C(#ffffff)你是谁？而我又是谁？			2			
10000003	40		#S(16)#C(#ffffff)众神之战后你陷入了沉睡，我在这里已经守候了你千年，等你重生，我是你的神兵之灵！			1			
10019001	40		#S(16)#C(#ffffff)接下去的路，你得自己走，去寻找绝世力量，为即将来临的神魔之战最好准备。			1			
10019002									
10020001	40		#S(16)#C(#ffffff)期待你快点成长起来。						
10020002									
10021001	0		#S(16)#C(#ffffff)你是？好熟悉的感觉			1			
10021002	41		#S(16)#C(#ffffff)你是我的传承者，龙骑士的血液将在你的身上继续流淌下去。			2			
10022001	41		#S(16)#C(#ffffff)记住：生命长短可以不计，朝生暮死也无所谓，只要是，朝闻道，灭魔族，夕可死。			2			
10022002	0		#S(16)#C(#ffffff)我会的，梦想与荣耀同在。			1			
10023001	41		#S(16)#C(#ffffff)我的时间不多了，见到你我很开心。						
10023002									
10024001	41		#S(16)#C(#ffffff)去见圣堂法师，也许你会明白时光的意义。						
10024002									
10025001	42		#S(16)#C(#ffffff)看时间流转，雕刻时光，成为更好的自己，才是时光的意义。			1			
10025002									
10026001	42		#S(16)#C(#ffffff)去吧，孩子，为了龙骑士的荣耀！为了未来世界的和平！						
10026002									
10027001	42		#S(16)#C(#ffffff)当年龙人又在新风作浪了，你去再给他加一层封印，用技能—#C(#ff0000)英勇打击#C(#ffffff)效果会很明显哟。						
10027002									
10028001	44		#S(16)#C(#ffffff)桀桀，我是死神派来的龙人！						
10028002									
10029001	43		#S(16)#C(#ffffff)年轻人，干的不错。						
10029002									
10030001	43		#S(16)#C(#ffffff)你击杀的只是一个小兵，他还有坚实的后台在这里，别忘了使用#C(#ff0000)审判技能#C(#ffffff)。						
10030002									
10031001	72		#S(16)#C(#ffffff)来试试吧！！！						
10031002									
10032001	46		#S(16)#C(#ffffff)很好，你做的很棒。你会成为一个出色的龙骑士。			1			
10032002									
10033001	46		#S(16)#C(#ffffff)好久都没有人来陪我说话了。			2			
10033002									
10034001	46		#S(16)#C(#ffffff)人之所以痛苦，是因为追求错误的东西。			2			
10034002	0		#S(16)#C(#ffffff)前辈，我明白了。但神不贪，为何容不得一点对其不敬，神不恶，为何要将千万生灵命运握于手中？			1			
10035001	47		#S(16)#C(#ffffff)看来你已经见过红袍女巫了。						
10035002	0					1			
10036001	47		#S(16)#C(#ffffff)你终于来了，我等你很久了，敢和我一战吗？						
10036002	0								
10037001	47		#S(16)#C(#ffffff)我可不会让你！						
10037002	0					2			
10038001	48		#S(16)#C(#ffffff)进步很大，不过要想真正的打败剑狂，你得学会#C(#ff0000)巨龙突袭#C(#ffffff)技能。			1			
10038002	0					2			
10039001	0		#S(16)#C(#ffffff)好熟悉的感觉，我似乎见过你……			1			
10039002	48		#S(16)#C(#ffffff)已经很久很久了，当年我们还年幼。小小的你，在我小小的梦里。			2			
10040001	48		#S(16)#C(#ffffff)众神之战结束后，我回到我们精灵族，这么多年过去了，你还好吗？			1			
10040002	0								
10041001	48		#S(16)#C(#ffffff)看到你真高兴，我知道你最终也是要走上那条血路。会去屠神灭魔，为人类和平而战！			2			
10041002	0					1			
10042001	48		#S(16)#C(#ffffff)来吧，沉睡了那么久的小懒虫，让我看看你实力有没有退步！也可以再让我见识下你的神技#C(#ff0000)巨龙突袭#C(#ffffff)！			1			
10042002	0		#S(16)#C(#ffffff)你还是那么好胜，来吧！			1			
10043001	74		#S(16)#C(#ffffff)胜利永远是属于我的。			1			
10043002	0					1			
10044001	49		#S(16)#C(#ffffff)你已经战胜了你的朋友，真是不懂情趣，都不懂让一下女孩子。			1			
10044002	0					2			
10045001	49		#S(16)#C(#ffffff)你坏蛋，都不懂对她轻点。我有事跟你说。			1			
10045002	0					2			
