taskIndex	group	minLevel	maxLevel	rewardItem	tili	tili_fcm	rewardMoney	rewardExp	mf1	mf2	mf3	mf4	rewardTili	rewardTili_fcm	taskName	desc	npcId	killNpcId1	killNpcId2	killNpcId3	killNpcId4	talk	Answer	chufa1	chufa2	chufa3	chufa4	chufa5
任务Index	组别	最低等级	最高等级	奖励物品	奖励体力	奖励体力	奖励金币	奖励经验	怪物战斗数据	怪物战斗数据	怪物战斗数据	怪物战斗数据	奖励体力	奖励体力(后端用）	任务名字	任务描述	接任务和交任务的NpcId	击杀怪物类型1	击杀怪物类型2	击杀怪物类型3	击杀怪物类型4	说话内容	选项	接任务交任务的Npc寻路	第一个Npc寻路	第二个npc寻路	第三个npc寻路	第四个npc寻路
1	1	32	39	26105	2	1	0	0	6500	6503	6506	6509	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】前路险恶#n	     #C(#00EE00)击败阿大[{0}/1]#H     击败阿二[{1}/1]#H     击败阿三[{2}/1]#H     击败阿末[{3}/1]#n	664	600	604	608	612	30000001	前路险恶	#K(npc,16,664)	#K(npc,16,600)	#K(npc,16,604)	#K(npc,16,608)	#K(npc,16,612)
2	1	32	39	26105	2	1	0	0	6501	6504	6507	6510	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】前路险恶#n	     #C(#00EE00)击败小四[{0}/1]#H     击败小五[{1}/1]#H     击败小六[{2}/1]#H     击败小七[{3}/1]#n	664	601	605	609	613	30000001	前路险恶	#K(npc,16,664)	#K(npc,16,601)	#K(npc,16,605)	#K(npc,16,609)	#K(npc,16,613)
3	1	32	39	26105	2	1	0	0	6502	6505	6508	6511	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】前路险恶#n	     #C(#00EE00)击败女射手[{0}/1]#H     击败神射手[{1}/1]#H     击败弓箭手[{2}/1]#H     击败媚射手[{3}/1]#n	664	602	606	610	614	30000001	前路险恶	#K(npc,16,664)	#K(npc,16,602)	#K(npc,16,606)	#K(npc,16,610)	#K(npc,16,614)
4	2	40	59	26106	2	1	0	0	6512	6515	6518	6521	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】光阴故事#n	     #C(#00EE00)击败阿大[{0}/1]#H     击败阿二[{1}/1]#H     击败阿三[{2}/1]#H     击败阿末[{3}/1]#n	665	616	620	624	628	30001001	光阴故事	#K(npc,17,665)	#K(npc,17,616)	#K(npc,17,620)	#K(npc,17,624)	#K(npc,17,628)
5	2	40	59	26106	2	1	0	0	6513	6516	6519	6522	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】光阴故事#n	     #C(#00EE00)击败小四[{0}/1]#H     击败小五[{1}/1]#H     击败小六[{2}/1]#H     击败小七[{3}/1]#n	665	617	621	625	629	30001001	光阴故事	#K(npc,17,665)	#K(npc,17,617)	#K(npc,17,621)	#K(npc,17,625)	#K(npc,17,629)
6	2	40	59	26106	2	1	0	0	6514	6517	6520	6523	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】光阴故事#n	     #C(#00EE00)击败女射手[{0}/1]#H     击败神射手[{1}/1]#H     击败弓箭手[{2}/1]#H     击败媚射手[{3}/1]#n	665	618	622	626	630	30001001	光阴故事	#K(npc,17,665)	#K(npc,17,618)	#K(npc,17,622)	#K(npc,17,626)	#K(npc,17,630)
7	3	60	79	26107	2	1	0	0	6524	6527	6530	6533	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】聆风听雨#n	     #C(#00EE00)击败阿大[{0}/1]#H     击败阿二[{1}/1]#H     击败阿三[{2}/1]#H     击败阿末[{3}/1]#n	666	632	636	640	644	30002001	聆风听雨	#K(npc,18,666)	#K(npc,18,632)	#K(npc,18,636)	#K(npc,18,640)	#K(npc,18,644)
8	3	60	79	26107	2	1	0	0	6525	6528	6531	6534	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】聆风听雨#n	     #C(#00EE00)击败小四[{0}/1]#H     击败小五[{1}/1]#H     击败小六[{2}/1]#H     击败小七[{3}/1]#n	666	633	637	641	645	30002001	聆风听雨	#K(npc,18,666)	#K(npc,18,633)	#K(npc,18,637)	#K(npc,18,641)	#K(npc,18,645)
9	3	60	79	26107	2	1	0	0	6526	6529	6532	6535	2	1	#C(#ffffff)#I(ChatIcon_Ti,16,16)#C(#00EE00)【体力】聆风听雨#n	     #C(#00EE00)击败女射手[{0}/1]#H     击败神射手[{1}/1]#H     击败弓箭手[{2}/1]#H     击败媚射手[{3}/1]#n	666	634	638	642	646	30002001	聆风听雨	#K(npc,18,666)	#K(npc,18,634)	#K(npc,18,638)	#K(npc,18,642)	#K(npc,18,646)
