subTaskIndex	needTaskIndex	needLevel	rewardExp	rewardMoney	rewardBindRMB	rewardItems	taskType	taskParam	taskParamWhat	TaskGuide	taskWhat	khdtaskName1	desc1	khdtaskName2	desc2	ChuFa1	ChuFa2
支线任务Index	接取需要的前置任务Index	接取需要等级	奖励经验	奖励金币	奖励魔晶	奖励物品	任务条件类型	条件参数(3加了英雄类型)	参数说明	功能指引(指引UI方向 0 1 2 3，UI名字,x,y,coding,uiType);//索引物品的话x，y都要为0 	任务条件说明	客户端用于显示的任务名字1	任务描述1	客户端用于显示的任务名字2	任务描述2	触发（打开面板或发送消息服务端完成任务）	触发（打开面板或发送消息服务端完成任务）
1	0	20	0	30000	0	0	1	(6,20,2)	升级绝美艳后到20级		     升级#C(#FFFF00)绝美艳后到20级#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【20级】升级绝美艳后#n（未完成）	     升级#C(#FFFF00)绝美艳后到20级#n#H     #C(#EE0000)挑战恶魔深渊获得经验果#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【20级】升级绝美艳后#C(#00EE00)（已完成）#n	     升级#C(#FFFF00)绝美艳后到20级#n	#K(dlg,YXOPEN)	#K(get_award,1)
2	0	26	3000	0	0	0	4	(1,1)	通关恶魔深渊一层简单难度	[(1,3,SubcatchTask,-90,45,点击支线任务,0,0),(1,1,subemsyPanel,550,277,点击挑战,1,0),(1,1,WenXinTiShi,-16,171,点击确定,1,0)]	     通关#C(#FFFF00)恶魔深渊一层简单难度#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【26级】恶魔深渊#n（未完成）	     通关#C(#FFFF00)恶魔深渊一层简单难度#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【26级】恶魔深渊#C(#00EE00)（已完成）#n	     通关#C(#FFFF00)恶魔深渊一层简单难度#n	#K(dlg,EMSY)	#K(get_award,2)
3	2	28	20000	0	0	0	3	(1,0)		[(1,3,SubcatchTask,-90,45,点击支线任务,0,0),(1,1,subDungeonPanel,1,534,通关副本,1,0),(1,1,subDungeonPanel,320,110,点击关闭,1,0)]	     #C(#FFFF00)龙人队长#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【28级】龙人队长#n（未完成）	     通关副本#C(#FFFF00)龙人队长#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【28级】龙人队长#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人队长#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,3)
4	3	28	20000	0	0	0	2	(7,2)	获得两名绿色品阶的英雄		     #C(#FFFF00)进化绝美艳后#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【28级】进化绝美艳后#n（未完成）	     #C(#FFFF00)进化绝美艳后#n#H     #C(#EE0000)副本可获进化所需道具#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【28级】进化绝美艳后#C(#00EE00)（已完成）#n	     #C(#FFFF00)进化绝美艳后#n	#K(dlg,YXOPEN)	#K(get_award,4)
5	4	29	20000	0	0	0	3	(2,0)			     #C(#FFFF00)圣光祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【29级】圣光祭司#n（未完成）	     通关副本#C(#FFFF00)圣光祭司#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【29级】圣光祭司#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)圣光祭司#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,5)
6	5	29	55000	0	0	0	4	(1,3)	通关恶魔深渊一层简单难度		     #C(#FFFF00)恶魔深渊#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【29级】恶魔深渊#n（未完成）	     3星通关#C(#FFFF00)恶魔深渊一层简单难度#n#H     #C(#EE0000)别忘了领取三星宝箱哟#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【29级】恶魔深渊#C(#00EE00)（已完成）#n	     3星通关#C(#FFFF00)恶魔深渊一层简单难度#n	#K(dlg,EMSY)	#K(get_award,6)
7	4	29	30000	0	0	0	12	(3,0)	进化主角至蓝色品阶		     #C(#FFFF00)战力通天#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【29级】战力通天#n（未完成）	     #C(#FFFF00)主角进化到蓝色#n#H     #C(#EE0000)副本可获进化所需道具#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【29级】战力通天#C(#00EE00)（已完成）#n	     #C(#FFFF00)主角进化到蓝色#n	#K(dlg,YXOPEN)	#K(get_award,7)
8	10	30	20000	0	0	0	3	(3,0)			     #C(#FFFF00)龙人法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】龙人法师#n（未完成）	     通关副本#C(#FFFF00)龙人法师#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】龙人法师#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)龙人法师#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,8)
9	8	30	20000	0	0	0	3	(4,0)			     #C(#FFFF00)死神残影#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】死神残影#n（未完成）	     通关副本#C(#FFFF00)死神残影#n	#C(#ffffff)#I(ChatIcon_Zhi,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【30级】死神残影#C(#00EE00)（已完成）#n	     通关副本#C(#FFFF00)死神残影#n	#K(dlg,SHOW_DUNGEON)	#K(get_award,9)
