stepIndex	nextStep	needLv	needReward	Exp	AwardNMoney	awardBindRMB	awardItems	taskType	taskParam	taskWhat	YuJiaZai	TaskName	TaskNo	Answer	AnswerType	talkType	Talk	npc	scene	desc	descNo	ChuFa	SpeialAc	trapIndex	loadingText	AnswerIcon	TaskGuide	Auto	Pos	FangKuiBiaoTi	FangKuiMiaoShu
步骤	下个任务步骤	需要等级	是否真正奖励(0:服务器是不发奖励的 1:服务器发奖)	奖励经验	奖励金币	奖励绑定魔石	奖励物品	任务条件类型	任务条件参数	任务条件说明	预加载只支持动作[(类型0：动作 1：ui  2战斗地图,路径,名字])]例如[(0,Resources/npc/10000/,Attack),(1,Resources/ui/lib/,Lv0_Fighting),(2,Resources/fightMap/,fighMap1)]	任务名字	不满足任务条件	选项	选项类型（1：接受任务 ，2:进行任务，3：完成任务）	说话类型（0：普通对白，1：剧情对白，2,电影式对白3，旁白说明）	说话内容	npc	npc所在场景	描述	不满足条件描述	触发	特殊效果格式[(),()];[()];[()] 	任务关卡索引ID	读条说明	选项前面的icon	功能指引(指引UI方向 1 2 3，UI名字,x,y,coding,uiType，镜像);//索引物品的话x，y都要为0  	是否自动寻路	位置触发剧情坐标	发聩标题格式：xx,xx	反馈描述支持颜色字符串
0	190	1	0	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】前世今生#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】前世今生#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)前世今生#n	1	1	10000001,10000002,10000003	40	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U找寻前世今生#n	     #C(#EE0000)1级可接取#C(#4876FF)前世今生#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,40)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,50		
190	200	1	0	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】前世今生#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】前世今生#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)前世今生#n	2	0	10019001	40	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U找寻前世今生#n	     #C(#EE0000)1级可接取#C(#4876FF)前世今生#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,40)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,51		
200	210	1	1	300	500	0	[(25838,1)]	0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】前世今生#C(#00EE00)（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】前世今生#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)前世今生#n	3	0	10020001	40	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U找寻前世今生#n	     #C(#EE0000)1级可接取#C(#4876FF)前世今生#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,40)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,52		
210	220	1	0	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】龙骑梦境#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】龙骑梦境#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)龙骑梦境#n	1	1	10021001,10021002	41	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U遇见圣堂法师#n	     #C(#EE0000)1级可接取#C(#4876FF)龙骑梦境#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,41)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,53		
220	230	1	0	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】龙骑梦境#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】龙骑梦境#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)龙骑梦境#n	2	1	10022001,10022002	41	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U遇见圣堂法师#n	     #C(#EE0000)1级可接取#C(#4876FF)龙骑梦境#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,41)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,54		
230	240	1	1	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】龙骑梦境#C(#00EE00)（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【1级】龙骑梦境#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)龙骑梦境#n	3	0	10023001	41	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U遇见圣堂法师#n	     #C(#EE0000)1级可接取#C(#4876FF)龙骑梦境#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,41)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,55		
240	250	1	0	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】时光逆流#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】时光逆流#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)时光逆流#n	1	0	10024001	41	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U再观时光逆流#n	     #C(#EE0000)2级可接取#C(#4876FF)时光逆流#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,41)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,56		
250	260	2	0	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】时光逆流#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】时光逆流#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)时光逆流#n	2	0	10025001	42	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U再观时光逆流#n	     #C(#EE0000)2级可接取#C(#4876FF)时光逆流#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,42)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,57		
260	270	2	1	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】时光逆流#C(#00EE00)（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】时光逆流#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)时光逆流#n	3	0	10026001	42	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U再观时光逆流#n	     #C(#EE0000)2级可接取#C(#4876FF)时光逆流#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,42)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,58		
270	280	2	0	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】遇见龙人#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】遇见龙人#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)遇见龙人#n	1	0	10027001	42	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U消灭龙人士兵#n	     #C(#EE0000)2级可接取#C(#4876FF)遇见龙人#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,42)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,59		
280	290	2	0	300	500	0		0		战斗		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】遇见龙人#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】遇见龙人#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)遇见龙人#n	2	0	10028001	44	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U消灭龙人士兵#n	     #C(#EE0000)2级可接取#C(#4876FF)遇见龙人#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,44)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,60		
290	300	2	1	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】遇见龙人#C(#00EE00)（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【2级】遇见龙人#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)遇见龙人#n	3	0	10029001	43	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U消灭龙人士兵#n	     #C(#EE0000)2级可接取#C(#4876FF)遇见龙人#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,43)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,61		
300	310	2	0	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】破除梦境#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】破除梦境#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)破除梦境#n	1	0	10030001	43	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U击杀龙人队长#n	     #C(#EE0000)3级可接取#C(#4876FF)破除梦境#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,43)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,62		
310	320	3	0	300	500	0		0		战斗		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】破除梦境#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】破除梦境#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)破除梦境#n	2	0	10031001	72	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U击杀龙人队长#n	     #C(#EE0000)3级可接取#C(#4876FF)破除梦境#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,72)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,63		
320	330	3	1	300	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】破除梦境#C(#00EE00)（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】破除梦境#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)破除梦境#n	3	0	10032001	46	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U击杀龙人队长#n	     #C(#EE0000)3级可接取#C(#4876FF)破除梦境#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,46)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,64		
330	340	3	0	600	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】指点迷津#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】指点迷津#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)指点迷津#n	1	0	10033001	46	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U对话巫师大人#n	     #C(#EE0000)3级可接取#C(#4876FF)指点迷津#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,46)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,64		
340	350	3	0	600	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】指点迷津#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】指点迷津#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)指点迷津#n	2	1	10034001,10034002	46	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U对话巫师大人#n	     #C(#EE0000)3级可接取#C(#4876FF)指点迷津#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,46)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,61		
350	360	3	1	600	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】指点迷津（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【3级】指点迷津#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)指点迷津#n	3	0	10035001	47	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U对话巫师大人#n	     #C(#EE0000)3级可接取#C(#4876FF)指点迷津#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,47)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,61		
360	370	3	0	600	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【4级】剑狂的挑衅#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【4级】剑狂的挑衅#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)剑狂的挑衅#n	1	0	10036001	47	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U接受剑狂的挑战#n	     #C(#EE0000)4级可接取#C(#4876FF)剑狂的挑衅#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,47)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,50		
370	380	4	0	600	500	0		0		战斗		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【4级】剑狂的挑衅#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【4级】剑狂的挑衅#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)剑狂的挑衅#n	2	0	10037001	47	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U接受剑狂的挑战#n	     #C(#EE0000)4级可接取#C(#4876FF)剑狂的挑衅#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,47)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,51		
380	390	4	1	600	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【4级】剑狂的挑衅#C(#00EE00)（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【4级】剑狂的挑衅#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)剑狂的挑衅#n	3	0	10038001	48	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U接受剑狂的挑战#n	     #C(#EE0000)4级可接取#C(#4876FF)剑狂的挑衅#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,48)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,52		
390	400	4	0	900	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】昔日好友#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】昔日好友#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)昔日好友#n	1	1	10039001,10039002	48	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U与好友相见#n	     #C(#EE0000)5级可接取#C(#4876FF)昔日好友#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,48)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,53		
400	410	5	0	900	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】昔日好友#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】昔日好友#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)昔日好友#n	2	0	10040001	48	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U与好友相见#n	     #C(#EE0000)5级可接取#C(#4876FF)昔日好友#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,48)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,54		
410	420	5	1	900	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】昔日好友#C(#00EE00)（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】昔日好友#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)昔日好友#n	3	0	10041001	48	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U与好友相见#n	     #C(#EE0000)5级可接取#C(#4876FF)昔日好友#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,48)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,55		
420	430	5	0	900	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】来吧，朋友#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】来吧，朋友#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)来吧，朋友#n	1	1	10042001,10042002	48	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U得到朋友的检验#n	     #C(#EE0000)5级可接取#C(#4876FF)来吧，朋友#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,48)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,56		
430	440	5	0	900	500	0		0		战斗		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】来吧，朋友#n（未完成）	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】来吧，朋友#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)来吧，朋友#n	2	0	10043001	74	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U得到朋友的检验#n	     #C(#EE0000)5级可接取#C(#4876FF)来吧，朋友#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,74)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,57		
440	450	5	1	900	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】来吧，朋友#C(#00EE00)（已完成）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【5级】来吧，朋友#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)来吧，朋友#n	3	0	10044001	49	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U得到朋友的检验#n	     #C(#EE0000)5级可接取#C(#4876FF)来吧，朋友#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,49)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,58		
450	460	5	0	1100	500	0		0		无条件		#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【6级】时光箴言#C(#00EE00)（可接）#n	#C(#ffffff)#I(ChatIcon_Zhu,16,16,#C(#FFFF00)完成任务可获得丰富的经验奖励) #C(#EE7600)【6级】时光箴言#C(#EE0000)（未满足）#n	#U[主]#C(#EE9A00)时光箴言#n	1	1	10045001	49	15	#S(12)#C(#FFFFFF)     #C(#FFFF00)#U诉说过去的事#n	     #C(#EE0000)6级可接取#C(#4876FF)时光箴言#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	#K(npc,15,49)					[(1,1,catchTask,-81,54,点击进行任务,0,0),(1,1,npcDlg,530,282,点击进行对话,0,1)]	1	173,2273,59		
