Level	index1	gold1	index2	gold2	index3	gold3
等级	对应大金币	大金币	对应中金币	中金币	对应小金币	小金币
30	1	2100	2	1400	3	125
31	1	2280	2	1520	3	136
32	1	2460	2	1640	3	146
33	1	2640	2	1760	3	157
34	1	2820	2	1880	3	168
35	1	3180	2	2120	3	189
36	1	3360	2	2240	3	200
37	1	3540	2	2360	3	211
38	1	3720	2	2480	3	221
39	1	3900	2	2600	3	232
40	1	3938	2	2625	3	234
41	1	3981	2	2654	3	237
42	1	4025	2	2683	3	240
43	1	4069	2	2712	3	242
44	1	4112	2	2742	3	245
45	1	4156	2	2771	3	247
46	1	4200	2	2800	3	250
47	1	4244	2	2829	3	253
48	1	4287	2	2858	3	255
49	1	4331	2	2887	3	258
50	1	4419	2	2946	3	263
51	1	4463	2	2975	3	266
52	1	4506	2	3004	3	268
53	1	4550	2	3033	3	271
54	1	4594	2	3062	3	273
55	1	4637	2	3092	3	276
56	1	4681	2	3121	3	279
57	1	4725	2	3150	3	281
58	1	4769	2	3179	3	284
59	1	4812	2	3208	3	286
60	1	4883	2	3255	3	291
61	1	4937	2	3291	3	294
62	1	4991	2	3327	3	297
63	1	5045	2	3363	3	300
64	1	5099	2	3400	3	304
65	1	5154	2	3436	3	307
66	1	5208	2	3472	3	310
67	1	5262	2	3508	3	313
68	1	5316	2	3544	3	316
69	1	5371	2	3580	3	320
70	1	5479	2	3653	3	326
71	1	5534	2	3689	3	329
72	1	5588	2	3725	3	333
73	1	5642	2	3761	3	336
74	1	5696	2	3797	3	339
75	1	5750	2	3834	3	342
76	1	5805	2	3870	3	346
77	1	5859	2	3906	3	349
78	1	5913	2	3942	3	352
79	1	5967	2	3978	3	355
80	1	6300	2	4200	3	375
81	1	6570	2	4380	3	391
82	1	6840	2	4560	3	407
83	1	7110	2	4740	3	423
84	1	7380	2	4920	3	439
85	1	7650	2	5100	3	455
86	1	7920	2	5280	3	471
87	1	8190	2	5460	3	488
88	1	8460	2	5640	3	504
89	1	8730	2	5820	3	520
90	1	9270	2	6180	3	552
91	1	9540	2	6360	3	568
92	1	9810	2	6540	3	584
93	1	10080	2	6720	3	600
94	1	10350	2	6900	3	616
95	1	10620	2	7080	3	632
96	1	10890	2	7260	3	648
97	1	11160	2	7440	3	664
98	1	11430	2	7620	3	680
99	1	11700	2	7800	3	696
100	1	12000	2	8000	3	714
101	1	12300	2	8200	3	732
102	1	12600	2	8400	3	750
103	1	12900	2	8600	3	768
104	1	13200	2	8800	3	786
105	1	13500	2	9000	3	804
106	1	13800	2	9200	3	821
107	1	14100	2	9400	3	839
108	1	14400	2	9600	3	857
109	1	14700	2	9800	3	875
110	1	15300	2	10200	3	911
111	1	15600	2	10400	3	929
112	1	15900	2	10600	3	946
113	1	16200	2	10800	3	964
114	1	16500	2	11000	3	982
115	1	16800	2	11200	3	1000
116	1	17100	2	11400	3	1018
117	1	17400	2	11600	3	1036
118	1	17700	2	11800	3	1054
119	1	18000	2	12000	3	1071
120	1	18300	2	12200	3	1089
121	1	18540	2	12360	3	1104
122	1	18780	2	12520	3	1118
123	1	19020	2	12680	3	1132
124	1	19260	2	12840	3	1146
125	1	19500	2	13000	3	1161
126	1	19740	2	13160	3	1175
127	1	19980	2	13320	3	1189
128	1	20220	2	13480	3	1204
129	1	20460	2	13640	3	1218
130	1	20700	2	13800	3	1232
131	1	20940	2	13960	3	1246
132	1	21180	2	14120	3	1261
133	1	21420	2	14280	3	1275
134	1	21660	2	14440	3	1289
135	1	21900	2	14600	3	1304
136	1	22140	2	14760	3	1318
137	1	22380	2	14920	3	1332
138	1	22620	2	15080	3	1346
139	1	22860	2	15240	3	1361
140	1	23100	2	15400	3	1375
141	1	23340	2	15560	3	1389
142	1	23580	2	15720	3	1404
143	1	23820	2	15880	3	1418
144	1	24060	2	16040	3	1432
145	1	24330	2	16220	3	1448
146	1	24600	2	16400	3	1464
147	1	24870	2	16580	3	1480
148	1	25140	2	16760	3	1496
149	1	25410	2	16940	3	1513
150	1	25680	2	17120	3	1529
151	1	25950	2	17300	3	1545
152	1	26220	2	17480	3	1561
153	1	26490	2	17660	3	1577
154	1	26760	2	17840	3	1593
155	1	27030	2	18020	3	1609
156	1	27300	2	18200	3	1625
157	1	27570	2	18380	3	1641
158	1	27840	2	18560	3	1657
159	1	28110	2	18740	3	1673
160	1	28260	2	18840	3	1682
161	1	28410	2	18940	3	1691
162	1	28560	2	19040	3	1700
163	1	28710	2	19140	3	1709
164	1	28860	2	19240	3	1718
165	1	29010	2	19340	3	1727
166	1	29160	2	19440	3	1736
167	1	29310	2	19540	3	1745
168	1	29460	2	19640	3	1754
169	1	29610	2	19740	3	1763
170	1	29760	2	19840	3	1771
171	1	29910	2	19940	3	1780
172	1	30060	2	20040	3	1789
173	1	30210	2	20140	3	1798
174	1	30360	2	20240	3	1807
175	1	30510	2	20340	3	1816
176	1	30660	2	20440	3	1825
177	1	30810	2	20540	3	1834
178	1	30960	2	20640	3	1843
179	1	31110	2	20740	3	1852
