level	maxMoney	useRMB
玩家等级	奖励金钱上限	使用神石
30	7000	5
31	7608	5
32	8188	5
33	8796	5
34	9404	5
35	10592	5
36	11200	5
37	11808	5
38	12388	5
39	12996	5
40	13115	5
41	13271	5
42	13428	5
43	13557	5
44	13714	5
45	13843	5
46	14000	5
47	14157	5
48	14285	5
49	14442	5
50	14729	5
51	14886	5
52	15014	5
53	15171	5
54	15300	5
55	15457	5
56	15614	5
57	15743	5
58	15900	5
59	16028	5
60	16286	5
61	16460	5
62	16634	5
63	16808	5
64	17011	5
65	17186	5
66	17360	5
67	17534	5
68	17708	5
69	17911	5
70	18260	5
71	18435	5
72	18637	5
73	18811	5
74	18985	5
75	19160	5
76	19363	5
77	19537	5
78	19711	5
79	19885	5
80	21000	5
81	21898	5
82	22796	5
83	23694	5
84	24592	5
85	25490	5
86	26388	5
87	27314	5
88	28212	5
89	29110	5
90	30906	5
91	31804	5
92	32702	5
93	33600	5
94	34498	5
95	35396	5
96	36294	5
97	37192	5
98	38090	5
99	38988	5
100	39992	5
101	40996	5
102	42000	5
103	43004	5
104	44008	5
105	45012	5
106	45988	5
107	46992	5
108	47996	5
109	49000	5
110	51008	5
111	52012	5
112	52988	5
113	53992	5
114	54996	5
115	56000	5
116	57004	5
117	58008	5
118	59012	5
119	59988	5
120	60992	5
121	61812	5
122	62604	5
123	63396	5
124	64188	5
125	65008	5
126	65800	5
127	66592	5
128	67412	5
129	68204	5
130	68996	5
131	69788	5
132	70608	5
133	71400	5
134	72192	5
135	73012	5
136	73804	5
137	74596	5
138	75388	5
139	76208	5
140	77000	5
141	77792	5
142	78612	5
143	79404	5
144	80196	5
145	81094	5
146	81992	5
147	82890	5
148	83788	5
149	84714	5
150	85612	5
151	86510	5
152	87408	5
153	88306	5
154	89204	5
155	90102	5
156	91000	5
157	91898	5
158	92796	5
159	93694	5
160	94196	5
161	94698	5
162	95200	5
163	95702	5
164	96204	5
165	96706	5
166	97208	5
167	97710	5
168	98212	5
169	98714	5
170	99188	5
171	99690	5
172	100192	5
173	100694	5
174	101196	5
175	101698	5
176	102200	5
177	102702	5
178	103204	5
179	103706	5
