level	maxmoney	moneyvalue	maxgold
玩家等级	接金币奖励金币上限	每个金币对应金币数量	接金币掉落金币上限
30	31500	175	180
31	34200	190	180
32	36900	205	180
33	39600	220	180
34	42300	235	180
35	47700	265	180
36	50400	280	180
37	53100	295	180
38	55800	310	180
39	58500	325	180
40	59040	328	180
41	59760	332	180
42	60300	335	180
43	61020	339	180
44	61740	343	180
45	62280	346	180
46	63000	350	180
47	63720	354	180
48	64260	357	180
49	64980	361	180
50	66240	368	180
51	66960	372	180
52	67680	376	180
53	68220	379	180
54	68940	383	180
55	69480	386	180
56	70200	390	180
57	70920	394	180
58	71460	397	180
59	72180	401	180
60	73260	407	180
61	73980	411	180
62	74880	416	180
63	75600	420	180
64	76500	425	180
65	77220	429	180
66	78120	434	180
67	79020	439	180
68	79740	443	180
69	80640	448	180
70	82260	457	180
71	82980	461	180
72	83880	466	180
73	84600	470	180
74	85500	475	180
75	86220	479	180
76	87120	484	180
77	87840	488	180
78	88740	493	180
79	89460	497	180
80	94500	525	180
81	98640	548	180
82	102600	570	180
83	106740	593	180
84	110700	615	180
85	114840	638	180
86	118800	660	180
87	122940	683	180
88	126900	705	180
89	131040	728	180
90	139140	773	180
91	143100	795	180
92	147240	818	180
93	151200	840	180
94	155340	863	180
95	159300	885	180
96	163440	908	180
97	167400	930	180
98	171540	953	180
99	175500	975	180
100	180000	1000	180
101	184500	1025	180
102	189000	1050	180
103	193500	1075	180
104	198000	1100	180
105	202500	1125	180
106	207000	1150	180
107	211500	1175	180
108	216000	1200	180
109	220500	1225	180
110	229500	1275	180
111	234000	1300	180
112	238500	1325	180
113	243000	1350	180
114	247500	1375	180
115	252000	1400	180
116	256500	1425	180
117	261000	1450	180
118	265500	1475	180
119	270000	1500	180
120	274500	1525	180
121	278100	1545	180
122	281700	1565	180
123	285300	1585	180
124	288900	1605	180
125	292500	1625	180
126	296100	1645	180
127	299700	1665	180
128	303300	1685	180
129	306900	1705	180
130	310500	1725	180
131	314100	1745	180
132	317700	1765	180
133	321300	1785	180
134	324900	1805	180
135	328500	1825	180
136	332100	1845	180
137	335700	1865	180
138	339300	1885	180
139	342900	1905	180
140	346500	1925	180
141	350100	1945	180
142	353700	1965	180
143	357300	1985	180
144	360900	2005	180
145	365040	2028	180
146	369000	2050	180
147	373140	2073	180
148	377100	2095	180
149	381240	2118	180
150	385200	2140	180
151	389340	2163	180
152	393300	2185	180
153	397440	2208	180
154	401400	2230	180
155	405540	2253	180
156	409500	2275	180
157	413640	2298	180
158	417600	2320	180
159	421740	2343	180
160	423900	2355	180
161	426240	2368	180
162	428400	2380	180
163	430740	2393	180
164	432900	2405	180
165	435240	2418	180
166	437400	2430	180
167	439740	2443	180
168	441900	2455	180
169	444240	2468	180
170	446400	2480	180
171	448740	2493	180
172	450900	2505	180
173	453240	2518	180
174	455400	2530	180
175	457740	2543	180
176	459900	2555	180
177	462240	2568	180
178	464400	2580	180
179	466740	2593	180
