index	exam_type	title	answer1	answer2	right
题库索引	题目类型	题目	答案A	答案B	正确答案（1 or 2）
1	30	Newton, yer çekimi kanununu fark ettiği zaman kaç  yaşındaydı.	23	53	1
2	30	“Sinekli Bakkal” Romanının Yazarı kimdir ? 	 Reşat Nuri Güntekin  	  Halide Edip Adıvar 	1
3	30	Mustafa Kemal Atatürk’ün Nüfusa Kayıtlı Olduğu İl Hangisidir? 	Ankara 	Gaziantep	2
4	30	Romen Rakamında Hangi Sayı Yoktur?	0	13	1
5	30	 Bir Gün Kaç Saniyedir? 	88600	86400	2
6	30	Üç Büyük Dince Kutsal Sayılan Şehir Hangisidir? 	 Mekke 	 Kudüs	2
7	30	 Hangi İlimizde Demiryolu Yoktur? 	 Batman 	 Muğla	2
8	30	Hangi Ülkenin İki Tane Başkenti Vardır? 	A-Güney Afrika  	B-Senegal 	1
9	30	  Endonezya Devleti Hangi Kıtadadır? 	Asya         	Avrupa 	1
10	30	 UEFA Kupasını alan ilk Türk takımı hangisidir?	 Fenerbahçe 	 Galatasaray	2
11	30	 Dünyanın ilk haritasını çizen ünlü Türk denizcisi kimdir?	A. Piri Reis	B.Barbaros Hayrettin	1
12	30	  Toros Dağları Türkiye’nin Hangi Bölgesindedir? 	 Akdeniz  	Karadeniz	1
13	30	 2010 Kültür Başkenti seçilen ilimiz hangisidir?	 Ankara  	 İstanbul	2
14	30	2003 Eurovision yarışmasında birinci olan sanatçımız kimdir?	 Sertap Erener	 Hadise	1
15	30	 Dünyanın En Uzun Nehrinin Adı Nedir? 	 Nil Nehri  	Fırat Nehri	1
16	30	  Semerkant Hangi Ülkenin Sınırları İçindedir? 	 Özbekistan  	Kazakistan	1
17	30	Altın Palmiye Sinema Ödülü hangi film festivalinde verilmektedir?	 Cannes	 Altın Portakal	1
18	30	 Türkiye’de erozyonla mücadele amacıyla kurulan vakfın kısa adı nedir?	 TEMA	 AKUT	1
19	30	 Türk Medeni Kanunu hangi ülkenin medeni kanunundan esinlenerek hazırlanmıştır?	 Almanya	 İsviçre	2
20	30	 Turizm ve Kültür Bakanlığı ve UNESCO’nun işbirliği ile 2009 yılını ne yılı ilan edilmiştir?	 Kaşgarlı Mahmut   	 Katip Çelebi- Hacı Bektaşi Veli	1
21	30	“Dünya İnsan Hakları Günü” hangi gün kutlanır?	 27 Aralık	 10 Aralık  	2
22	30	 G8 zirvesi 2013′te İngiltere’de G20 zirvesi ise nerede yapıldı :  	Rusya  	 Almanya	1
23	30	 2013 yılında Avrupa basketbol şampiyonası  nerede yapıldı 	Fransa 	Slovenya  	2
24	30	 .2016 yaz olimpiyatları nerede yapılacak:	 RİO	İstanbul	1
25	30	 Milli savaş gemimiz adı nedir ?	HEYBELİADA 	Reis	1
26	30	 20.Savaş helikopterimiz adı nedir ?	  ALTAY  	 ATAK  	2
27	30	Yerli tankımız adı nedir ?	ALTAY 	 Atak	1
28	30	İnsansız hava aracımız adı nedir ?	 ANKA	kartal	1
29	30	 EXPO 2020′ye aday olan ilimiz hangisidir?	İstanbul 	İZMİR 	2
30	30	 .Mersin’de yapılacak nükleer santrali hangi ülke yapacak?	Ruslar 	Almanya	1
31	30	 Atatürk'ün çok sevdiği atının isimi neydi?	 Fırat	Sakarya	2
32	30	 Atatürk'ün çok sevdiği köpeğinin isimi neydi?	Foks  	Monk	1
33	30	 Türkiye Cumhuriyeti'nin 4. Başbakanı Dr. Refik Saydam hangi hastalığa karşı geliştirdiği aşıyla tıp literatürüne geçmiştir?	Kolera	TİFÜS	2
34	30	 Yedi renkten oluşan gökkuşağının ortasındaki renk hangisidir?	Kırmızı 	Yeşil	2
35	30	 Dede Korkut'un Türk Destanları'nın özgün kopyaları hangi iki kentte bulunmaktadır?	Dresden-Vatikan  	İstanbul-Bağdat 	1
36	30	 15. Modern evrim teorisinin kurucusu kimdir?	Charles Darwin  	Alfred Russel Wallace	1
37	30	 Olimpiyat bayrağındaki 5 halka neyi ifade eder?	 5 ülkeyi	  5 Kıtayı	2
38	30	 Ülkemizde 'Devlet Sanatçısı' unvanını ilk alan isim kimdir?	Ahmet Adnan Saygun 	Yıldız Kenter	1
39	30	 II.Dünya Savaşında en çok vatandaşı ölen ülke hangisidir?	Almanya 	 Sovyetler Birliği	2
40	30	Aspirinin ham maddesi olan ağaç hangisidir?	Söğüt	Badem	1
41	30	 7. Avrupa Parlamentosu hangi şehirde bulunuyor?	Münih	 Strasburg 	2
42	30	 Soğuk Savaş'ta hangi iki ülke birbiriyle mücadele etti?	Amerika-SSCB  	SSCB-Kanada	1
43	30	 Röntgen ışınlarından hangi metal korunma sağlar? 	Bakır    	Kurşun	2
44	30	 6. Osmanlı Devletinin kurucusu olan Osmanlı ailesi hangi Türk boyuna mensuptur?	 Kayı 	 Bozok	1
45	30	 Varna Savaşı kaç yılında yapılmıştır?	1244	1444	2
46	30	 Güneş yılına göre (365 gün	Persler 	Mısırlılar	2
47	30	Müslümanların Mekkelilere karşı kazandıkları ilk savaş aşağıdakilerden hangisidir?	Uhud Savaşı 	Bedir Savaşı	2
48	30	 Türkiye'nin yüzölçümü en büyük komşusu hangisidir? 	İran	 Suriye	1
49	30	 Hangisi Türkiye'de doğup Türkiye'den denize dökülür?	Kızılırmak  	Fırat nehri	1
50	30	 "Fe" hangi elementin simgesidir?	 Flor 	Demir	2
51	30	Bitkilerin hangisini yapabilmesi için ışığa ihtiyacı vardır?	 Fotosentez      	  Solunum	2
52	30	 Hangisinin bayrağında daha çok yıldız vardır?	Yeni Zelanda  	  Avustralya	1
53	30	 Hangisi Usain Bolt'un 100m Erkekler Dünya Rekorudur?	9.55	9.58	2
54	30	 IV Murat'ın annesi hangisidir?	Kösem sultan	 turhan Sultan	1
55	30	 Bugüne kadar gelmiş geçmiş en geniş sınırlara sahip ülke/imparatorluk hangisidir?	 Britanya İmparatorluğu 	SSCB	1
56	30	 Türkiye'de en çok albüm satan şarkıcı kimdir?	 İbrahim Tatlıses 	 Tarkan	1
57	30	Sylvester Stallone kaç yılında doğmuştur?	1946	1980	1
58	30	 Kemal Sunal toplam kaç film de oynamıştır?	156	82	1
59	30	Erzincan il plaka kodu kaçtır?	24	21	1
60	30	 Bruce Lee kaç yılında doğmuştur ?	1940	1960	1
61	30	Altın Boynuz neresidir? 	Haliç	Boğaziçi	1
62	30	Pierre Loti kimdir?	Batılı gezgin	Büyükelçi	1
63	30	81'in kare kökü kaçtır?	9	8	1
64	30	7'nin karesi kaçtır? 	49	77	1
65	30	Humus neyden yapılır?	Nohut	Bulgur	1
