index	exam_type	title	answer1	answer2	right
题库索引	题目类型	题目	答案A	答案B	正确答案（1 or 2）
1	30	Au Moyen-Âge, comment appelait-on les villages fortifiés ?	Tour	Bastide	2
2	30	Dans quel film un couple en croisière va-t-il recueillir un naufragé qui va les terrifier ?	Tempête en mer	Calme blanc	2
3	50	Quel acteur français avait le premier rôle dans le film de Luchino Visconti "Le Guépard" ?	Alain Delon	Jean Gabin	1
4	30	Quel film à succès a réuni sur les écrans Sean Connery et Christophe Lambert ?	Greystoke	Highlander	2
5	30	Comment appelle-t-on le fruit du plaqueminier ?	Kacha	Kaki	2
6	40	Qui était le compagnon de saint Paul ?	Saint Jean	Saint Luc	2
7	40	Dans quel film John Travolta incarne-t-il un ange tombé du ciel ?	Michael	Johnny	1
8	40	Dans quelle région se situe la Côte de Nacre	En Basse-Normandie	En Haute-Normandie	1
9	40	Lequel de ces 2 acteurs incarnait le rôle de John Rambo ?	Sylvester Stallone	Bruce Willis	1
10	30	Hô Chi Minh est le fondateur du Parti Communiste ...	Vietnamien	Cambodgien	1
11	40	Dans "Les Malheurs de Sophie", comme se nomme le cousin de Sophie ?	Antoine	Paul	2
12	50	Le baeckeoffe est un plat traditionnel ...	Lorrain	Alsacien	2
13	50	Le Livre sur la Place est un salon du livre qui se déroule au mois de Septembre à ...	Nancy	Metz	1
14	30	A quel auteur doit-on le roman "Illusions Perdues" ?	Honoré de Balzac	Guy de Maupassant	1
15	30	Tirée de faits réels, la série "Band of Brothers" se déroule lors ...	De la Deuxième Guerre Mondiale	De la Première Guerre Mondiale	1
16	30	Vive les mariés ! Quelle est cette voiture dans laquelle vont prendre place les jeunes mariés ?	Une Citroen DS	Une Citroen Traction	2
17	30	Quelle île est séparée de la Corse par les bouches de Bonifacio ?	La Sicile	La Sardaigne	2
18	50	Quand on met le « couvert à la française » où met-on le couteau par rapport à l'assiette ?	A gauche	A droite	2
19	30	Quel plat d'été est à base d'aubergine ?	La moussaka	La pissaladière	1
20	60	Qui était le président des Etats-Unis en 2000 ?	George Bush père	Bill Clinton	2
21	50	Quelle plante d'origine asiatique est un arbre miniaturisé ?	Un bonsaï	Un dimsum	1
22	60	Au tarot comment est surnommé l'atout qui porte le chiffre 1 ?	Le minuscule	 Le petit	2
23	30	Quel est le nom du “dictateur” dans le film homonyme de Charlie Chaplin ?	Hynkel	Heinrich	1
24	60	Quel est le plus grand poisson vivant actuellement dans nos océans ?	L'épaulard.	Le requin-baleine.	2
25	50	Quelles sont les trois boissons les plus consommées dans le monde (dans l'ordre) ?	L'eau, le lait et le vin.	L'eau, le thé et la bière.	2
26	50	Quelle chaîne du groupe France Télévisions est représentée par un logo orange ?	France Ô.	France 4.	1
27	30	Qu'est-ce qu'une chiquenaude ?	Une friandise.	Un coup de doigt.	2
28	30	A quelle période la Prohibition (de l'alcool) était-elle d'application aux Etats-Unis ?	De 1919 à 1933.	De 1879 à 1893.	1
29	30	Savez-vous où se trouve le fameux Madison Square Garden ?	A New York.	A Londres.	1
30	30	Si je vous dis "Fosbury", à quelle discipline sportive pensez-vous ?	Le ski alpin.	Le saut en hauteur.	2
31	60	Qu'est-ce qu'un coussin berlinois ?	Une bouillotte.	Un ralentisseur.	2
32	30	Dans quelle catégorie classe-t-on parfois ce petit rongeur	Les timides	Les nuisibles.	2
33	31	Qu'est-ce qu'un "potomane" n'oublie jamais d'emporter avec lui ?	Ses clés.	Sa bouteille d'eau	2
34	30	Quel site archéologique crétois témoigne de l'histoire minoenne ?	Knossos ou Cnossos.	Kolos ou Colos.	1
35	30	Quand le World Wide Web a-t-il été créé ?	1989	1979	1
36	30	En allemand, faut-il mettre un "Umlaut" au mot "Umlaut" ?	Non, ça s'écrit 'Umlaut'.	 Oui, sur le premier 'U'.	1
37	32	Lequel de ces chanteurs a sorti le titre "The Most Beautiful Girl in the World" en 1994 ?	Seal.	Prince.	2
38	30	Qui a vraiment le sang bleu ?	La limule.	Le schtroumpf.	1
39	60	Qu'est-ce qu'un bachibouzouk ?	Un cavalier de l'armée ottomane.	Un genre de machicador.	1
40	30	Comment s'appelait le dernier tsar de Russie ?	Nicolas II.	Vladimir II.	1
41	30	Quel groupe australien a intitulé une de ses chansons "T.N.T." ?	AC/DC.	INXS.	1
42	40	Y a-t-il une vie avant la mort ?	Oui.	Non	1
43	50	Histoire - Quel événement ne s'est pas déroulé en 1789 ?	Le Congrès de Vienne.	La prise de la Bastille	1
44	50	Langue française - Laquelle de ces expressions n'est pas correcte ?	Il faut se méfier des apparences !	Il faut se méfier du chien enragé !	2
45	40	Voyages - Dans quelle ville êtes-vous si vous empruntez une traboule ?	Lyon.	 Bordeaux.	1
46	30	Sport - Dans quelle discipline olympique l'Uchi-Mata est-il une technique d'attaque ?	Judo.	Taekwondo.	1
47	30	Cinéma - Dans quel film Bruce Willis est-il pieds nus tout au long de l'histoire ?	'Le Dernier Samaritain'.	Piège de cristal'.	2
48	30	Combien a-t-on de paires d'abdominaux	3 paires	5 paires	2
49	30	Parmi ces bières, laquelle est française ?	Pelforth	Heineken	1
50	30	L'hippodrome de Vincennes a été construit au __e siècle.	18	19	2
51	30	Quelle est la nationalité de Mohamed Ali ?	Algerienne	Américaine	2
52	30	Quelle est la célèbre théorie de Albert Einstein ?	E=mc2	E=m6	1
53	30	Qui a créé Star Wars ?	James Cameron	George Lucas	2
54	30	Quelle est la longueur d'une baguette ?	80 cm	70 cm	2
55	30	Quel est le plus gros consommateur de chips au monde ?	 Les États-Unis	La Chine	1
56	30	Quel aliment n'entre pas dans la composition d'un sushi ?	Pâtes	Algue	1
57	30	Les licornes existent (Oubliez le narval ! ) :	Vrai	Faux	2
