index	exam_type	title	answer1	answer2	right
题库索引	题目类型	题目	答案A	答案B	正确答案（1 or 2）
1	30	Walka mieczem to atak magiczny czy fizyczny?	Atak mag.	Atak fiz.	2
2	30	Co możesz otrzymać, gdy przejdziesz loch?	Bat Treningowy Wierzchowca	Złoto	2
3	30	Gdzie zdobędziesz najwięcej EXP?	Krypta	Loch	1
4	30	Skąd możesz zdobyć Zablokowane Diamenty?	Polowanie na Skarb	Alchemia	1
5	30	Jaki najszybciej zdobyć fioletowego bohatera?	Boski Ołtarz	Arena	1
6	30	Jak zdobyć materiały do ulepszania ekwipunku?	Alchemia	Próba Bohatera	2
7	30	Jak zdobyć cząstkę duszy do pomarańczowego ekwipunku?	Zrabuj skarb	Praktykuj alchemię	1
8	30	Kiedy możesz wziąć udział w quizie?	O 13:00	O 24:00	1
9	30	Skąd zdobyć więcej Wytrzymałości?	Walka w Lochu	Nagroda poświęcenia	2
10	30	Jak zdobyć Złoto?	Alchemia	Koło runiczne	1
11	30	Czy bohater ataku magicznego potrzebuje klejnotów ataku ficzycznego?	Tak	Nie	2
12	30	Jak zwiększyć przydział kupna Wytrzymałości?	Podnieś poziom VIP	Odśwież grę	1
13	30	Jakie są przywileje jednomiesięcznego duchowego porozumienia?	Otrzymasz Zabl.Diamenty	Darmowy bilet lotniczy	1
14	30	Co powinieneś zrobić, jeśli znajdziesz BŁĄD w grze?	Zgłoś do GM.	Żyj z tym.	1
15	30	Jakie nagrody możesz pobrać o 22:00?	Nagrody Rankingu Areny	Papier toaletowy	1
16	30	Czy atrybuty wierzchowców zawsze wpływają na ocenę bitwy postaci?	Tak.	Nie	2
17	30	Jak zdobyć punkty umiejętności postaci?	Wyślij wiadomość do GM	Ulepsz postać	2
18	30	Czy niebieski ekwipunek lvl 20 może być ulepszany?	Tak	Nie	2
19	30	Jak zdobyć kamienie runiczne?	Zakręć kołem fortuny.	Praktykuj alchemię.	1
20	30	Jak uniknąć wchłonięcia gwiazd?	Zablokuj je.	Przetwórz je.	1
21	30	Czy skrzydła dają postaci większą moc?	Tak.	Nie	1
22	30	Jak zdobyć Błyszczący Kryształ, by udoskonalić Broń Sakralną?	W lochu gildii.	Od Lidera gildii.	1
23	30	Czy gracze Sojuszu mogą dołączyć do gildii Hordy?	Tak	Nie	2
24	30	Czy gracze Hordy mogą dołączyć do gildii Sojuszu?	Tak	Nie	2
25	30	Jaka jest najlepsza nagroda Koła Fortuny?	Różowa owca	Dużo Diamentów	2
26	30	Czy możesz ulepszać postać owocami EXP?	Tak.	Nie	2
27	30	Skąd zdobyć Wytrzymałość?	Nagrody Poświęcenia	Wesele	1
28	30	Gdzie najsilniejszy gracz gildii może pomóc innym?	W walce lochu gildii.	Na weselu	1
29	30	Gdzie broniący bohater powinien być umieszczony w formacji?	Z przodu	Na tyłach	1
30	30	Którego bohatera lepiej nie umieszczać z przodu formacji?	Atakującego	Broniącego	1
31	30	Jak zdobyć Prestiż?	Na weselu	Walka w Arenie	2
32	30	Co otrzymuje gildia broniąca w bitwie gildii?	BUFF	Dwudaniowy obiad	1
33	30	Jak odblokować bardziej zaawansowane pozycje uzbrojenia?	Zdobywając prestiż	Przez modlitwę	1
34	30	Po co są minerały?	Ulepszanie cech	Wymiana materiałów	2
35	30	Co jeśli twój plecak jest pełny?	Płacz	Powiększ plecak	2
