weddingRingID	orderStar	critRate	needItemCoding	maxExp	addExp	nextID	upNeedLevel	isUpGrade	activeRingSoul	attack_p	attack_m	maxhp	defense_p	defense_m	crit	critpress	parry	puncture
婚戒ID	几阶几星	暴击概率(万分比)	需要物品coding	当前阶最大经验	一次培养经验	下一阶ID	升阶需要等级	是否进阶	激活戒灵ID	物攻	法攻	生命	物防	法防	暴击	免暴	格挡	破挡
1	1阶0星	2500	26344	48	10	2	36	0	1	40	40	120	40	40	0	0	0	0
2	1阶1星	2500	26344	54	10	3	36	0		50	50	150	50	50	0	0	0	0
3	1阶2星	2500	26344	63	10	4	36	0		60	60	180	60	60	0	0	0	0
4	1阶3星	2500	26344	76	10	5	36	0		70	70	210	70	70	0	0	0	0
5	1阶4星	2500	26344	93	10	6	36	0		80	80	240	80	80	0	0	0	0
6	1阶5星	2500	26344	113	10	7	36	0		90	90	270	90	90	0	0	0	0
7	1阶6星	2500	26344	137	10	8	36	0		100	100	300	100	100	0	0	0	0
8	1阶7星	2500	26344	165	10	9	36	0		110	110	330	110	110	0	0	0	0
9	1阶8星	2500	26344	196	10	10	36	0		120	120	360	120	120	0	0	0	0
10	1阶9星	2500	26344	231	10	11	36	2		130	130	390	130	130	0	0	0	0
11	2阶0星	2500	26344	270	10	12	36	0	2	150	150	450	150	150	0	0	0	0
12	2阶1星	2500	26344	313	10	13	36	0		170	170	510	170	170	0	0	0	0
13	2阶2星	2500	26344	359	10	14	36	0		190	190	570	190	190	0	0	0	0
14	2阶3星	2500	26344	409	10	15	36	0		210	210	630	210	210	0	0	0	0
15	2阶4星	2500	26344	463	10	16	36	0		230	230	690	230	230	0	0	0	0
16	2阶5星	2500	26344	520	10	17	36	0		250	250	750	250	250	0	0	0	0
17	2阶6星	2500	26344	581	10	18	36	0		270	270	810	270	270	0	0	0	0
18	2阶7星	2500	26344	646	10	19	36	0		290	290	870	290	290	0	0	0	0
19	2阶8星	2500	26344	715	10	20	36	0		310	310	930	310	310	0	0	0	0
20	2阶9星	2500	26344	787	10	21	36	3		330	330	990	330	330	0	0	0	0
