sayIndex	sayContent
索引	说话内容
1	恭喜您们步入爱的殿堂。祝百年好合！
2	圣辉城皇室祝您们幸福美满，永寿偕老！
3	祝您们新婚愉快，甜甜蜜蜜！
4	愿您们用爱彼此体谅和关怀，共同分享今后的苦与乐！
5	愿爱情天使引导您们的婚姻，奔腾不已，生生不息！
6	爱情天使赐福于您们，愿您们一生一世沐浴在圣辉城神圣的光辉中！
7	愿爱洋溢在您甜蜜的生活中，每一个日子都象今日这般辉煌喜悦！
8	愿您们的爱情生活，与诸天穹苍一同永世长存！
9	愿我们的神将天上所有的福，地里所藏的福，都赐给您们！
10	祝您们永结同心，百年好合！新婚愉快，甜甜蜜蜜！
11	新婚快乐，早生贵子!祝您们永结同心，百年好合！
12	新婚愉快，甜甜蜜蜜！祝您们夫妻恩恩爱爱到永远！
13	真诚的爱情的结合是一切结合中最纯洁的，祝福您们！
14	十年修得同船渡，百年修得共枕眠，祝你俩幸福美满！
15	两情相悦的最高境界是相对两无厌，祝福您们真心相爱，永结同心！
16	他是词，你是谱，你俩就是一首和谐的歌。祝您们天作之合，鸾凤和鸣！
17	您们本就是天生一对，地造一双，愿你俩情比海深！
18	一个是水，一个是乳，今后您们水乳交融；一个有福，一个有禄，今后您们鸳鸯福禄！
19	今夕何夕，空气里都充满了醉人的甜蜜。祝您们爱河永浴！ 
20	由相知而相爱，由相爱而更加相知！祝相爱年年岁岁，相知岁岁年年！
21	洋溢在喜悦的天堂，披着闪闪月光，祝您们：只羡鸳鸯不羡仙. 
22	相亲相爱好伴侣，同德同心美姻缘！
23	相亲相爱幸福永，同德同心幸福长！
24	相亲相爱爱长远，同德同心福寿全！
25	两情相悦的最高境界是相对两无厌，祝您们永浴爱河！
26	愿你俩恩恩爱爱，意笃情深，此生爱情永恒，爱心与日俱增！
27	珠联壁合洞房春暖，花好月圆鱼水情深，祝你俩幸福美满！
28	新婚快乐！新婚快乐！新婚快乐！
29	百年好合！百年好合！百年好合！
30	永结同心！永结同心！永结同心！
31	祝您们永结同心，百年好合！
32	祝相爱年年岁岁，相知岁岁年年！
33	祝甜甜蜜蜜，早生贵子！ 
