index	name	color	icon	activeRingGrade	proCnt	proEnumList	ChushiMax	starRate1	starRate2	starRate3	starRate4	starRate5	starRate6	starRate7	starRate8	starRate9	starRate10	starRate11
婚戒戒灵索引	婚戒戒灵名称	名称颜色	婚戒戒灵icon	激活所需婚戒品阶	随机属性条数	用于随机的属性枚举列表	初始最大星级	一星属性概率	二星属性概率	三星属性概率	四星属性概率	五星属性概率	六星属性概率	七星属性概率	八星属性概率	九星属性概率	10星属性概率	极品属性概率
1	天长地久	蓝色	001	1	2	[1,4,5,7]	5	220	200	159	130	100	70	50	40	20	10	1
2	心心相印	蓝色	002	2	3	[1,4,5,7]	5	220	200	159	130	100	70	50	40	20	10	1
3	星月之恋	蓝色	003	3	4	[1,4,5,7]	5	220	200	159	130	100	70	50	40	20	10	1
4	比翼双飞	蓝色	004	4	4	[1,4,5,7]	5	220	200	159	130	100	70	50	40	20	10	1
5	天使之吻	紫色	005	5	5	[1,4,5,7,8,9,12,13]	5	220	200	159	130	100	70	50	40	20	10	1
6	海洋之心	紫色	006	6	6	[1,4,5,7,8,9,12,13]	5	220	200	159	130	100	70	50	40	20	10	1
7	心跳回忆	紫色	007	7	7	[1,4,5,7,8,9,12,13]	5	220	200	159	130	100	70	50	40	20	10	1
8	生世相伴	紫色	008	8	8	[1,4,5,7,8,9,12,13]	5	220	200	159	130	100	70	50	40	20	10	1
9	星语星愿	橙色	009	9	8	[1,4,5,7,8,9,12,13,-16]	5	220	200	159	130	100	70	50	40	20	10	1
10	不离不弃	橙色	010	10	8	[1,4,5,7,8,9,12,13,-16]	5	220	200	159	130	100	70	50	40	20	10	1
