index	beginTime	endTime	beginTimeClient	endTimeClient
时间档索引	开始小时	结束时间	开始小时	结束时间
1	(11, 10)	(11, 20)	1110	1120
2	(12, 10)	(12, 20)	1210	1220
3	(12, 40)	(12, 50)	1240	1250
4	(14, 10)	(14, 20)	1410	1420
5	(14, 40)	(14, 50)	1440	1450
6	(15, 10)	(15, 20)	1510	1520
7	(15, 40)	(15, 50)	1540	1550
8	(16, 10)	(16, 20)	1610	1620
9	(16, 40)	(16, 50)	1640	1650
10	(17, 10)	(17, 20)	1710	1720
11	(19, 10)	(19, 20)	1910	1920
12	(19, 40)	(19, 50)	1940	1950
13	(22, 00)	(22, 10)	2200	2210
14	(22, 30)	(22, 40)	2230	2240
