petSoulCoding	petSoulName	position	property	propertyPercentage	nextLevelCoding	upgradeNeedItemList	saleReturn
宠物之灵物品coding	宠物之灵名称	位置	属性	属性百分比	宠物之灵下一级物品Coding	升级材料	售卖返还
26161	一级攻击之灵	1	attack_p,attack_m	3	26167	[(26221,20)]	[(26221,50)]
26162	一级生命之灵	2	maxhp	3	26168	[(26221,20)]	[(26221,50)]
26163	一级暴击之灵	3	crit	3	26169	[(26221,20)]	[(26221,50)]
26164	一级免暴之灵	4	critpress	3	26170	[(26221,20)]	[(26221,50)]
26165	一级破档之灵	5	puncture	3	26171	[(26221,20)]	[(26221,50)]
26166	一级格挡之灵	6	parry	3	26172	[(26221,20)]	[(26221,50)]
26167	二级攻击之灵	1	attack_p,attack_m	6	26173	[(26221,50)]	[(26221,70)]
26168	二级生命之灵	2	maxhp	6	26174	[(26221,50)]	[(26221,70)]
26169	二级暴击之灵	3	crit	6	26175	[(26221,50)]	[(26221,70)]
26170	二级免暴之灵	4	critpress	6	26176	[(26221,50)]	[(26221,70)]
26171	二级破档之灵	5	puncture	6	26177	[(26221,50)]	[(26221,70)]
26172	二级格挡之灵	6	parry	6	26178	[(26221,50)]	[(26221,70)]
26173	三级攻击之灵	1	attack_p,attack_m	10	26179	[(26221,100)]	[(26221,120)]
26174	三级生命之灵	2	maxhp	10	26180	[(26221,100)]	[(26221,120)]
26175	三级暴击之灵	3	crit	10	26181	[(26221,100)]	[(26221,120)]
26176	三级免暴之灵	4	critpress	10	26182	[(26221,100)]	[(26221,120)]
26177	三级破档之灵	5	puncture	10	26183	[(26221,100)]	[(26221,120)]
26178	三级格挡之灵	6	parry	10	26184	[(26221,100)]	[(26221,120)]
26179	四级攻击之灵	1	attack_p,attack_m	15	26185	[(26221,150)]	[(26221,220)]
26180	四级生命之灵	2	maxhp	15	26186	[(26221,150)]	[(26221,220)]
26181	四级暴击之灵	3	crit	15	26187	[(26221,150)]	[(26221,220)]
26182	四级免暴之灵	4	critpress	15	26188	[(26221,150)]	[(26221,220)]
26183	四级破档之灵	5	puncture	15	26189	[(26221,150)]	[(26221,220)]
26184	四级格挡之灵	6	parry	15	26190	[(26221,150)]	[(26221,220)]
26185	五级攻击之灵	1	attack_p,attack_m	21	26191	[(26221,250),(26161,1)]	[(26221,370)]
26186	五级生命之灵	2	maxhp	21	26192	[(26221,250),(26162,1)]	[(26221,370)]
26187	五级暴击之灵	3	crit	21	26193	[(26221,250),(26163,1)]	[(26221,370)]
26188	五级免暴之灵	4	critpress	21	26194	[(26221,250),(26164,1)]	[(26221,370)]
26189	五级破档之灵	5	puncture	21	26195	[(26221,250),(26165,1)]	[(26221,370)]
26190	五级格挡之灵	6	parry	21	26196	[(26221,250),(26166,1)]	[(26221,370)]
26191	六级攻击之灵	1	attack_p,attack_m	28	26197	[(26221,350),(26161,2)]	[(26221,620),(26161,1)]
26192	六级生命之灵	2	maxhp	28	26198	[(26221,350),(26162,2)]	[(26221,620),(26162,1)]
26193	六级暴击之灵	3	crit	28	26199	[(26221,350),(26163,2)]	[(26221,620),(26163,1)]
26194	六级免暴之灵	4	critpress	28	26200	[(26221,350),(26164,2)]	[(26221,620),(26164,1)]
26195	六级破档之灵	5	puncture	28	26201	[(26221,350),(26165,2)]	[(26221,620),(26165,1)]
26196	六级格挡之灵	6	parry	28	26202	[(26221,350),(26166,2)]	[(26221,620),(26166,1)]
26197	七级攻击之灵	1	attack_p,attack_m	36	26203	[(26221,500),(26161,3)]	[(26221,970),(26161,3)]
26198	七级生命之灵	2	maxhp	36	26204	[(26221,500),(26162,3)]	[(26221,970),(26162,3)]
26199	七级暴击之灵	3	crit	36	26205	[(26221,500),(26163,3)]	[(26221,970),(26163,3)]
26200	七级免暴之灵	4	critpress	36	26206	[(26221,500),(26164,3)]	[(26221,970),(26164,3)]
26201	七级破档之灵	5	puncture	36	26207	[(26221,500),(26165,3)]	[(26221,970),(26165,3)]
26202	七级格挡之灵	6	parry	36	26208	[(26221,500),(26166,3)]	[(26221,970),(26166,3)]
26203	八级攻击之灵	1	attack_p,attack_m	46	26209	[(26221,700),(26161,4)]	[(26221,1470),(26161,6)]
26204	八级生命之灵	2	maxhp	46	26210	[(26221,700),(26162,4)]	[(26221,1470),(26162,6)]
26205	八级暴击之灵	3	crit	46	26211	[(26221,700),(26163,4)]	[(26221,1470),(26163,6)]
26206	八级免暴之灵	4	critpress	46	26212	[(26221,700),(26164,4)]	[(26221,1470),(26164,6)]
26207	八级破档之灵	5	puncture	46	26213	[(26221,700),(26165,4)]	[(26221,1470),(26165,6)]
26208	八级格挡之灵	6	parry	46	26214	[(26221,700),(26166,4)]	[(26221,1470),(26166,6)]
26209	九级攻击之灵	1	attack_p,attack_m	58	26215	[(26221,900),(26161,5)]	[(26221,2170),(26161,10)]
26210	九级生命之灵	2	maxhp	58	26216	[(26221,900),(26162,5)]	[(26221,2170),(26162,10)]
26211	九级暴击之灵	3	crit	58	26217	[(26221,900),(26163,5)]	[(26221,2170),(26163,10)]
26212	九级免暴之灵	4	critpress	58	26218	[(26221,900),(26164,5)]	[(26221,2170),(26164,10)]
26213	九级破档之灵	5	puncture	58	26219	[(26221,900),(26165,5)]	[(26221,2170),(26165,10)]
26214	九级格挡之灵	6	parry	58	26220	[(26221,900),(26166,5)]	[(26221,2170),(26166,10)]
26215	十级攻击之灵	1	attack_p,attack_m	70	0	0	[(26221,3070),(26161,15)]
26216	十级生命之灵	2	maxhp	70	0	0	[(26221,3070),(26162,15)]
26217	十级暴击之灵	3	crit	70	0	0	[(26221,3070),(26163,15)]
26218	十级免暴之灵	4	critpress	70	0	0	[(26221,3070),(26164,15)]
26219	十级破档之灵	5	puncture	70	0	0	[(26221,3070),(26165,15)]
26220	十级格挡之灵	6	parry	70	0	0	[(26221,3070),(26166,15)]
