petType	starLevel	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	parry	puncture	antibroken	notbroken	damageupgrade	damagereduce
宠物类型	星级	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	格挡	破挡	破防	免破	增伤	免伤
1	1	2	0	0	3	0	0	0	2	1	2	1	1	1	0	0
1	2	3	0	0	4	0	0	0	3	2	3	2	2	2	0	0
1	3	4	0	0	5	0	0	0	4	3	4	3	3	3	0	0
1	4	5	0	0	6	0	0	0	5	4	5	4	4	4	0	0
1	5	6	0	0	7	0	0	0	6	5	6	5	5	5	0	0
2	1	2	0	0	0	0	3	0	1	1	2	1	2	1	0	0
2	2	3	0	0	0	0	4	0	2	2	3	2	3	2	0	0
2	3	4	0	0	0	0	5	0	3	3	4	3	4	3	0	0
2	4	5	0	0	0	0	6	0	4	4	5	4	5	4	0	0
2	5	6	0	0	0	0	7	0	5	5	6	5	6	5	0	0
3	1	3	0	0	1	0	0	0	1	2	1	2	1	1	0	0
3	2	4	0	0	2	0	0	0	2	3	2	3	2	2	0	0
3	3	5	0	0	3	0	0	0	3	4	3	4	3	3	0	0
3	4	6	0	0	4	0	0	0	4	5	4	5	4	4	0	0
3	5	7	0	0	5	0	0	0	5	6	5	6	5	5	0	0
4	1	2	0	0	3	0	0	0	2	1	2	1	1	1	0	0
4	2	3	0	0	4	0	0	0	3	2	3	2	2	2	0	0
4	3	4	0	0	5	0	0	0	4	3	4	3	3	3	0	0
4	4	5	0	0	6	0	0	0	5	4	5	4	4	4	0	0
4	5	6	0	0	7	0	0	0	6	5	6	5	5	5	0	0
