level	wave	worldLevel	npc	waveName
层数	波数	世界等级	npc配置[(npc类型, fightType, 阵营ID, x坐标, y坐标, 朝向, 击杀获得积分),…]	波数名字
1	1	1	[(16015,150,15360,1688,1075,1,120)]	阳神幻影
1	2	1	[(16024,150,15369,1334,1281,1,15),(16025,150,15370,1763,1341,1,15),(16026,150,15371,2186,1145,1,15),(16029,150,15374,2016,894,1,15),(16030,150,15375,1634,847,1,15),(16031,150,15376,1275,981,1,15)]	混乱祭司
2	1	1	[(16016,150,15361,1688,1075,1,160)]	死神幻影
2	2	1	[(16024,150,15369,1334,1281,1,20),(16025,150,15370,1763,1341,1,20),(16026,150,15371,2186,1145,1,20),(16029,150,15374,2016,894,1,20),(16030,150,15375,1634,847,1,20),(16031,150,15376,1275,981,1,20)]	混乱祭司
3	1	1	[(16017,150,15362,1688,1075,1,200)]	审判幻影
3	2	1	[(16024,150,15369,1334,1281,1,25),(16025,150,15370,1763,1341,1,25),(16026,150,15371,2186,1145,1,25),(16029,150,15374,2016,894,1,25),(16030,150,15375,1634,847,1,25),(16031,150,15376,1275,981,1,25)]	混乱护卫
4	1	1	[(16018,150,15363,1688,1075,1,240)]	艳后幻影
4	2	1	[(16024,150,15369,1334,1281,1,30),(16025,150,15370,1763,1341,1,30),(16026,150,15371,2186,1145,1,30),(16029,150,15374,2016,894,1,30),(16030,150,15375,1634,847,1,30),(16031,150,15376,1275,981,1,30)]	混乱护卫
5	1	1	[(16019,150,15364,1688,1075,1,280)]	寒冰幻影
5	2	1	[(16024,150,15369,1334,1281,1,35),(16025,150,15370,1763,1341,1,35),(16026,150,15371,2186,1145,1,35),(16029,150,15374,2016,894,1,35),(16030,150,15375,1634,847,1,35),(16031,150,15376,1275,981,1,35)]	混乱祭祀
6	1	1	[(16020,150,15365,1688,1075,1,320)]	烈焰幻影
6	2	1	[(16024,150,15369,1334,1281,1,40),(16025,150,15370,1763,1341,1,40),(16026,150,15371,2186,1145,1,40),(16029,150,15374,2016,894,1,40),(16030,150,15375,1634,847,1,40),(16031,150,15376,1275,981,1,40)]	混乱祭祀
7	1	1	[(16021,150,15366,1688,1075,1,360)]	雷神幻影
7	2	1	[(16024,150,15369,1334,1281,1,45),(16025,150,15370,1763,1341,1,45),(16026,150,15371,2186,1145,1,45),(16029,150,15374,2016,894,1,45),(16030,150,15375,1634,847,1,45),(16031,150,15376,1275,981,1,45)]	混乱护卫
8	1	1	[(16022,150,15367,1688,1075,1,400)]	剑圣幻影
8	2	1	[(16024,150,15369,1334,1281,1,50),(16025,150,15370,1763,1341,1,50),(16026,150,15371,2186,1145,1,50),(16029,150,15374,2016,894,1,50),(16030,150,15375,1634,847,1,50),(16031,150,15376,1275,981,1,50)]	混乱护卫
9	1	1	[(16023,150,15368,1688,1075,1,440)]	蛮王幻影
9	2	1	[(16024,150,15369,1334,1281,1,55),(16025,150,15370,1763,1341,1,55),(16026,150,15371,2186,1145,1,55),(16029,150,15374,2016,894,1,55),(16030,150,15375,1634,847,1,55),(16031,150,15376,1275,981,1,55)]	混乱祭祀
1	1	60	[(16015,150,15379,1688,1075,1,120)]	阳神幻影
