rewardId	score	scoreMax	Level	LevelMax	rewardItems	rewardMoney	rewardExp	rewardItemShow	rewardItems_fcm	rewardMoney_fcm	rewardExp_fcm	rewardItemShow_fcm
奖励ID	积分(最小积分)	积分（最大积分）	个人等级	个人等级(max)	奖励物品	奖励金币	奖励经验	客户端展示奖励	奖励物品防沉迷	奖励金币防沉迷	奖励经验防沉迷	客户端展示奖励防沉迷
1	1	200	1	59	[(25661,40),(25666,20),(25671,10)]	200000	64925	[(25661,40),(25666,20),(25671,10),(25828,200000),(25712,64925)]	[(25661,20),(25666,10),(25671,5)]	100000	32463	[(25661,20),(25666,10),(25671,5),(25828,100000),(25712,32463)]
2	201	400	1	59	[(25661,48),(25666,24),(25671,12)]	220000	69925	[(25661,48),(25666,24),(25671,12),(25828,220000),(25712,69925)]	[(25661,24),(25666,12),(25671,6)]	110000	34963	[(25661,24),(25666,12),(25671,6),(25828,110000),(25712,34963)]
3	401	600	1	59	[(25661,60),(25666,30),(25671,15)]	240000	74925	[(25661,60),(25666,30),(25671,15),(25828,240000),(25712,74925)]	[(25661,30),(25666,15),(25671,8)]	120000	37463	[(25661,30),(25666,15),(25671,8),(25828,120000),(25712,37463)]
4	601	800	1	59	[(25661,72),(25666,36),(25671,18)]	260000	79925	[(25661,72),(25666,36),(25671,18),(25828,260000),(25712,79925)]	[(25661,36),(25666,18),(25671,9)]	130000	39963	[(25661,36),(25666,18),(25671,9),(25828,130000),(25712,39963)]
5	801	1000	1	59	[(25661,84),(25666,42),(25671,21)]	280000	84925	[(25661,84),(25666,42),(25671,21),(25828,280000),(25712,84925)]	[(25661,42),(25666,21),(25671,12)]	140000	42463	[(25661,42),(25666,21),(25671,12),(25828,140000),(25712,42463)]
6	1001	1200	1	59	[(25661,96),(25666,48),(25671,24)]	300000	89925	[(25661,96),(25666,48),(25671,24),(25828,300000),(25712,89925)]	[(25661,48),(25666,24),(25671,12)]	150000	44963	[(25661,48),(25666,24),(25671,12),(25828,150000),(25712,44963)]
7	1201	1400	1	59	[(25661,108),(25666,54),(25671,27)]	320000	94925	[(25661,108),(25666,54),(25671,27),(25828,320000),(25712,94925)]	[(25661,54),(25666,27),(25671,14)]	160000	47463	[(25661,54),(25666,27),(25671,14),(25828,160000),(25712,47463)]
8	1401	1600	1	59	[(25661,120),(25666,60),(25671,30)]	340000	99925	[(25661,120),(25666,60),(25671,30),(25828,340000),(25712,99925)]	[(25661,60),(25666,30),(25671,15)]	170000	49963	[(25661,60),(25666,30),(25671,15),(25828,170000),(25712,49963)]
9	1601	1800	1	59	[(25661,132),(25666,66),(25671,33)]	360000	104925	[(25661,132),(25666,66),(25671,33),(25828,360000),(25712,104925)]	[(25661,66),(25666,33),(25671,17)]	180000	52463	[(25661,66),(25666,33),(25671,17),(25828,180000),(25712,52463)]
10	1801	2000	1	59	[(25661,144),(25666,72),(25671,36)]	380000	109925	[(25661,144),(25666,72),(25671,36),(25828,380000),(25712,109925)]	[(25661,72),(25666,36),(25671,18)]	190000	54963	[(25661,72),(25666,36),(25671,18),(25828,190000),(25712,54963)]
11	2001	2200	1	59	[(25661,160),(25666,80),(25671,40)]	400000	114925	[(25661,160),(25666,80),(25671,40),(25828,400000),(25712,114925)]	[(25661,80),(25666,40),(25671,20)]	200000	57463	[(25661,80),(25666,40),(25671,20),(25828,200000),(25712,57463)]
