rank	Level	LevelMax	rewardItems	rewardMoney	rewardItemShow	rewardItems_fcm	rewardMoney_fcm	rewardItemShow_fcm
排名	个人等级	个人等级(max)	奖励物品	奖励金币	客户端展示奖励	奖励物品防沉迷	奖励金币防沉迷	客户端展示奖励防沉迷
1	1	59	[(26044,3),(25661,200),(25666,100),(25671,50)]	1000000	[(26044,3),(25828,1000000),(25661,200),(25666,100),(25671,50)]	[(26044,2),(25661,100),(25666,50),(25671,25)]	500000	[(26044,2),(25828,500000),(25661,100),(25666,50),(25671,25)]
2	1	59	[(26044,2),(25661,160),(25666,80),(25671,40)]	850000	[(26044,2),(25828,850000),(25661,160),(25666,80),(25671,40)]	[(26044,1),(25661,80),(25666,40),(25671,20)]	425000	[(26044,1),(25828,425000),(25661,80),(25666,40),(25671,20)]
3	1	59	[(26044,1),(25661,120),(25666,60),(25671,30)]	750000	[(26044,1),(25828,750000),(25661,120),(25666,60),(25671,30)]	[(26044,1),(25661,60),(25666,30),(25671,15)]	375000	[(26044,1),(25828,375000),(25661,60),(25666,30),(25671,15)]
4	1	59	[(25661,80),(25666,40),(25671,20)]	700000	[(25828,700000),(25661,80),(25666,40),(25671,20)]	[(25661,40),(25666,20),(25671,10)]	350000	[(25828,350000),(25661,40),(25666,20),(25671,10)]
5	1	59	[(25661,40),(25666,20),(25671,10)]	650000	[(25828,650000),(25661,40),(25666,20),(25671,10)]	[(25661,20),(25666,10),(25671,5)]	325000	[(25828,325000),(25661,20),(25666,10),(25671,5)]
1	60	79	[(26044,3),(25662,200),(25667,100),(25672,50)]	2000000	[(26044,3),(25828,2000000),(25662,200),(25667,100),(25672,50)]	[(26044,2),(25662,100),(25667,50),(25672,25)]	1000000	[(26044,2),(25828,1000000),(25662,100),(25667,50),(25672,25)]
2	60	79	[(26044,2),(25662,160),(25667,80),(25672,40)]	1700000	[(26044,2),(25828,1700000),(25662,160),(25667,80),(25672,40)]	[(26044,1),(25662,80),(25667,40),(25672,20)]	850000	[(26044,1),(25828,850000),(25662,80),(25667,40),(25672,20)]
3	60	79	[(26044,1),(25662,120),(25667,60),(25672,30)]	1500000	[(26044,1),(25828,1500000),(25662,120),(25667,60),(25672,30)]	[(26044,1),(25662,60),(25667,30),(25672,15)]	750000	[(26044,1),(25828,750000),(25662,60),(25667,30),(25672,15)]
4	60	79	[(25662,80),(25667,40),(25672,20)]	1400000	[(25828,1400000),(25662,80),(25667,40),(25672,20)]	[(25662,40),(25667,20),(25672,10)]	700000	[(25828,700000),(25662,40),(25667,20),(25672,10)]
5	60	79	[(25662,40),(25667,20),(25672,10)]	1300000	[(25828,1300000),(25662,40),(25667,20),(25672,10)]	[(25662,20),(25667,10),(25672,5)]	650000	[(25828,650000),(25662,20),(25667,10),(25672,5)]
1	80	99	[(26267,3),(25663,200),(25668,100),(25673,50)]	3000000	[(26267,3),(25828,3000000),(25663,200),(25668,100),(25673,50)]	[(26267,2),(25663,100),(25668,50),(25673,25)]	1500000	[(26267,2),(25828,1500000),(25663,100),(25668,50),(25673,25)]
2	80	99	[(26267,2),(25663,160),(25668,80),(25673,40)]	2550000	[(26267,2),(25828,2550000),(25663,160),(25668,80),(25673,40)]	[(26267,1),(25663,80),(25668,40),(25673,20)]	1275000	[(26267,1),(25828,1275000),(25663,80),(25668,40),(25673,20)]
3	80	99	[(26267,1),(25663,120),(25668,60),(25673,30)]	2250000	[(26267,1),(25828,2250000),(25663,120),(25668,60),(25673,30)]	[(26267,1),(25663,60),(25668,30),(25673,15)]	1125000	[(26267,1),(25828,1125000),(25663,60),(25668,30),(25673,15)]
4	80	99	[(25663,80),(25668,40),(25673,20)]	2100000	[(25828,2100000),(25663,80),(25668,40),(25673,20)]	[(25663,40),(25668,20),(25673,10)]	1050000	[(25828,1050000),(25663,40),(25668,20),(25673,10)]
5	80	99	[(25663,40),(25668,20),(25673,10)]	1950000	[(25828,1950000),(25663,40),(25668,20),(25673,10)]	[(25663,20),(25668,10),(25673,5)]	975000	[(25828,975000),(25663,20),(25668,10),(25673,5)]
1	100	119	[(26267,3),(25664,200),(25669,100),(25674,50)]	4000000	[(26267,3),(25828,4000000),(25664,200),(25669,100),(25674,50)]	[(26267,2),(25664,100),(25669,50),(25674,25)]	2000000	[(26267,2),(25828,2000000),(25664,100),(25669,50),(25674,25)]
2	100	119	[(26267,2),(25664,160),(25669,80),(25674,40)]	3400000	[(26267,2),(25828,3400000),(25664,160),(25669,80),(25674,40)]	[(26267,1),(25664,80),(25669,40),(25674,20)]	1700000	[(26267,1),(25828,1700000),(25664,80),(25669,40),(25674,20)]
