FBLevel	roleLevel	addExp	discountExp	campId	fightType	totalExp	ActaddExp	ActdiscountExp	ActtotalExp
试炼场等级	玩家等级	每次战斗增加的经验	通关后每次战斗经验	阵营	战斗类型	一键完成总经验	活动期间每次战斗增加的经验	活动期间通关后每次战斗经验	活动期间一键完成总经验
1	30	135	13	15666	148	72000	270	26	144000
1	31	165	16	15666	148	88200	330	32	176400
1	32	165	16	15666	148	88200	330	32	176400
1	33	240	24	15666	148	129600	480	48	259200
1	34	240	24	15666	148	129600	480	48	259200
1	35	240	24	15666	148	129600	480	48	259200
1	36	240	24	15666	148	129600	480	48	259200
1	37	240	24	15666	148	129600	480	48	259200
1	38	240	24	15666	148	129600	480	48	259200
1	39	240	24	15666	148	129600	480	48	259200
1	40	275	27	15667	148	147600	550	54	295200
1	41	295	29	15667	148	158400	590	58	316800
1	42	330	33	15667	148	178200	660	66	356400
1	43	355	35	15667	148	190800	710	70	381600
1	44	355	35	15667	148	190800	710	70	381600
1	45	355	35	15667	148	190800	710	70	381600
1	46	360	36	15667	148	194400	720	72	388800
1	47	360	36	15667	148	194400	720	72	388800
1	48	360	36	15667	148	194400	720	72	388800
1	49	360	36	15667	148	194400	720	72	388800
1	50	360	36	15667	148	194400	720	72	388800
1	51	360	36	15667	148	194400	720	72	388800
1	52	360	36	15667	148	194400	720	72	388800
1	53	360	36	15667	148	194400	720	72	388800
1	54	360	36	15667	148	194400	720	72	388800
1	55	360	36	15667	148	194400	720	72	388800
1	56	360	36	15667	148	194400	720	72	388800
1	57	360	36	15667	148	194400	720	72	388800
1	58	360	36	15667	148	194400	720	72	388800
1	59	360	36	15667	148	194400	720	72	388800
1	60	460	46	15668	148	248400	920	92	496800
1	61	480	48	15668	148	259200	960	96	518400
1	62	520	52	15668	148	280800	1040	104	561600
1	63	550	55	15668	148	297000	1100	110	594000
1	64	550	55	15668	148	297000	1100	110	594000
1	65	550	55	15668	148	297000	1100	110	594000
1	66	550	55	15668	148	297000	1100	110	594000
1	67	550	55	15668	148	297000	1100	110	594000
1	68	550	55	15668	148	297000	1100	110	594000
1	69	550	55	15668	148	297000	1100	110	594000
1	70	555	55	15668	148	298800	1110	110	597600
1	71	555	55	15668	148	298800	1110	110	597600
1	72	555	55	15668	148	298800	1110	110	597600
1	73	555	55	15668	148	298800	1110	110	597600
1	74	555	55	15668	148	298800	1110	110	597600
1	75	555	55	15668	148	298800	1110	110	597600
1	76	555	55	15668	148	298800	1110	110	597600
1	77	555	55	15668	148	298800	1110	110	597600
1	78	555	55	15668	148	298800	1110	110	597600
1	79	555	55	15668	148	298800	1110	110	597600
1	80	620	62	15669	148	334800	1240	124	669600
1	81	645	64	15669	148	347400	1290	128	694800
1	82	685	68	15669	148	369000	1370	136	738000
1	83	715	71	15669	148	385200	1430	142	770400
1	84	715	71	15669	148	385200	1430	142	770400
1	85	715	71	15669	148	385200	1430	142	770400
1	86	715	71	15669	148	385200	1430	142	770400
1	87	715	71	15669	148	385200	1430	142	770400
