index	level	goalIndex	needIndex	nextIndex	point	maxStep	goal	reward
索引	第几关	第几个目标	需要已完成的索引	下一目标索引	目标积分	最多操作步数	目标要求[达成数值,完成次数]	通关奖励
1	1	1	[]	2	500	175	[32,2]	[(29320,1),(29114,10),(26152,1)]
2	1	2	[1]	3	1000	175	[64,2]	[(29320,1),(29114,20),(26152,1)]
3	1	3	[1,2]	0	1500	175	[128,1]	[(29321,1),(29114,40),(26152,2)]
4	2	1	[1,2]	5	1000	435	[64,3]	[(29320,1),(29114,10),(26152,1)]
5	2	2	[4]	6	1500	435	[128,1]	[(29320,1),(29114,20),(26152,1)]
6	2	3	[4,5]	0	2000	435	[512,1]	[(29321,1),(29114,40),(26152,2)]
7	3	1	[4,5]	8	1500	1250	[128,2]	[(29320,1),(29114,20),(26152,1)]
8	3	2	[7]	9	2000	1250	[256,4]	[(29320,1),(29114,40),(26152,1)]
9	3	3	[7,8]	0	2500	1250	[1024,1]	[(29322,1),(29114,60),(26152,2)]
