roomAreaType	floorIndex	rewardItems	rewardItemShow
房间战区类型	楼层索引	物品奖励[(coding,cnt),]	物品奖励(客户端用）
1	10	[(27642,15),(25669,100),(29040,4),(29039,3)]	[(25828,1500000),(25669,100),(29040,4),(29039,3)]
1	9	[(27642,12),(25669,80),(29040,4),(29039,2)]	[(25828,1200000),(25669,80),(29040,4),(29039,2)]
1	8	[(27642,10),(25669,60),(29040,4),(29039,1)]	[(25828,1000000),(25669,60),(29040,4),(29039,1)]
1	7	[(27642,8),(25669,50),(29040,4)]	[(25828,800000),(25669,50),(29040,4)]
1	6	[(27642,6),(25669,40),(29040,3)]	[(25828,600000),(25669,40),(29040,3)]
1	5	[(27642,5),(25669,30),(29040,3)]	[(25828,500000),(25669,30),(29040,3)]
1	4	[(27642,4),(25669,25),(29040,2)]	[(25828,400000),(25669,25),(29040,2)]
1	3	[(27642,3),(25669,20),(29040,2)]	[(25828,300000),(25669,20),(29040,2)]
1	2	[(27642,2),(25669,15),(29040,1)]	[(25828,200000),(25669,15),(29040,1)]
1	1	[(27642,1),(25669,10),(29040,1)]	[(25828,100000),(25669,10),(29040,1)]
2	10	[(27642,15),(25670,100),(29040,4),(29039,3)]	[(25828,1500000),(25670,100),(29040,4),(29039,3)]
2	9	[(27642,12),(25670,80),(29040,4),(29039,2)]	[(25828,1200000),(25670,80),(29040,4),(29039,2)]
2	8	[(27642,10),(25670,60),(29040,4),(29039,1)]	[(25828,1000000),(25670,60),(29040,4),(29039,1)]
2	7	[(27642,8),(25670,50),(29040,4)]	[(25828,800000),(25670,50),(29040,4)]
2	6	[(27642,6),(25670,40),(29040,3)]	[(25828,600000),(25670,40),(29040,3)]
2	5	[(27642,5),(25670,30),(29040,3)]	[(25828,500000),(25670,30),(29040,3)]
2	4	[(27642,4),(25670,25),(29040,2)]	[(25828,400000),(25670,25),(29040,2)]
2	3	[(27642,3),(25670,20),(29040,2)]	[(25828,300000),(25670,20),(29040,2)]
2	2	[(27642,2),(25670,15),(29040,1)]	[(25828,200000),(25670,15),(29040,1)]
2	1	[(27642,1),(25670,10),(29040,1)]	[(25828,100000),(25670,10),(29040,1)]
3	10	[(27642,15),(29045,150),(29040,4),(29039,3)]	[(25828,1500000),(29045,150),(29040,4),(29039,3)]
3	9	[(27642,12),(29045,120),(29040,4),(29039,2)]	[(25828,1200000),(29045,120),(29040,4),(29039,2)]
3	8	[(27642,10),(29045,80),(29040,4),(29039,1)]	[(25828,1000000),(29045,80),(29040,4),(29039,1)]
3	7	[(27642,8),(29045,60),(29040,4)]	[(25828,800000),(29045,60),(29040,4)]
3	6	[(27642,6),(29045,50),(29040,3)]	[(25828,600000),(29045,50),(29040,3)]
3	5	[(27642,5),(29045,40),(29040,3)]	[(25828,500000),(29045,40),(29040,3)]
3	4	[(27642,4),(29045,30),(29040,2)]	[(25828,400000),(29045,30),(29040,2)]
3	3	[(27642,3),(29045,25),(29040,2)]	[(25828,300000),(29045,25),(29040,2)]
3	2	[(27642,2),(29045,20),(29040,1)]	[(25828,200000),(29045,20),(29040,1)]
3	1	[(27642,1),(29045,15),(29040,1)]	[(25828,100000),(29045,15),(29040,1)]
