roomAreaType	rankIndex	rankInterval	rewardItems	rewardItemShow
房间战区类型	排名索引	排名区间	奖励	物品奖励(客户端用）
1	1	1,1	[(28844,10),(28030,1),(25664,200),(27471,30)]	[(28844,10),(28030,1),(25664,200),(27471,30)]
1	2	2,2	[(28844,7),(28035,1),(25664,120),(27471,20)]	[(28844,7),(28035,1),(25664,120),(27471,20)]
1	3	3,3	[(28844,5),(28035,1),(25664,90),(27471,15)]	[(28844,5),(28035,1),(25664,90),(27471,15)]
1	4	4,5	[(28844,3),(28035,1),(25664,70),(27471,10)]	[(28844,3),(28035,1),(25664,70),(27471,10)]
1	5	6,10	[(28844,2),(28034,1),(25664,50),(27471,8)]	[(28844,2),(28034,1),(25664,50),(27471,8)]
1	2	11,20	[(28844,1),(28034,1),(25664,30),(27471,5)]	[(28844,1),(28034,1),(25664,30),(27471,5)]
2	3	1,1	[(28844,12),(28030,1),(25665,250),(27471,35)]	[(28844,12),(28030,1),(25665,250),(27471,35)]
2	4	2,2	[(28844,9),(28035,1),(25665,150),(27471,24)]	[(28844,9),(28035,1),(25665,150),(27471,24)]
2	5	3,3	[(28844,6),(28035,1),(25665,100),(27471,18)]	[(28844,6),(28035,1),(25665,100),(27471,18)]
2	6	4,5	[(28844,3),(28035,1),(25665,70),(27471,12)]	[(28844,3),(28035,1),(25665,70),(27471,12)]
2	3	6,10	[(28844,2),(28034,1),(25665,50),(27471,10)]	[(28844,2),(28034,1),(25665,50),(27471,10)]
2	4	11,20	[(28844,1),(28034,1),(25665,30),(27471,6)]	[(28844,1),(28034,1),(25665,30),(27471,6)]
3	5	1,1	[(28844,15),(28030,1),(29044,300),(27471,40)]	[(28844,15),(28030,1),(29044,300),(27471,40)]
3	6	2,2	[(28844,10),(28035,1),(29044,180),(27471,27)]	[(28844,10),(28035,1),(29044,180),(27471,27)]
3	7	3,3	[(28844,7),(28035,1),(29044,120),(27471,20)]	[(28844,7),(28035,1),(29044,120),(27471,20)]
3	4	4,5	[(28844,3),(28035,1),(29044,80),(27471,13)]	[(28844,3),(28035,1),(29044,80),(27471,13)]
3	5	6,10	[(28844,2),(28034,1),(29044,60),(27471,10)]	[(28844,2),(28034,1),(29044,60),(27471,10)]
3	6	11,20	[(28844,1),(28034,1),(29044,40),(27471,6)]	[(28844,1),(28034,1),(29044,40),(27471,6)]
