floorIndex	nextFloorIndex	lastFloorIndex	maxKillCnt	crashKillCnt	killBaseScore	killAddScore	crashRate	noCrashNeedRMB	monsterRefreshInterval	monsterList	reviewAreaList
塔层索引	下一层索引	上层索引	最大击杀数	掉层后初始击杀数	击杀基础积分	单杀积分	坠落概率百分比	不坠落复活需要神石数	刷怪时间间隔秒	刷怪列表[(npc类型, x点坐标, y点坐标, 朝向),]	传送区域[(左上X,左上Y,右下X,右下Y),]
1	2	0	3	0	10	2	0	0	60	[(19055,2797,2642,1),(19055,2476,1808,1),(19055,2440,2064,1),(19055,2803,2294,1),(19055,3283,2308,1),(19055,3679,2189,1),(19055,3558,1705,1),(19055,3210,1624,1),(19055,3032,1802,1),(19055,3169,2157,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
2	3	1	5	2	10	2	30	2	60	[(19055,2797,2642,1),(19055,2476,1808,1),(19055,2440,2064,1),(19055,2803,2294,1),(19055,3283,2308,1),(19055,3679,2189,1),(19055,3558,1705,1),(19055,3210,1624,1),(19055,3032,1802,1),(19055,3169,2157,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
3	4	2	6	3	12	2	35	5	60	[(19055,2797,2642,1),(19055,2476,1808,2),(19055,2440,2064,2),(19055,2803,2294,2),(19055,3283,2308,1),(19055,3679,2189,1),(19055,3558,1705,1),(19055,3210,1624,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
4	5	3	8	4	15	3	40	8	60	[(19055,2797,2642,1),(19055,2476,1808,1),(19055,2440,2064,1),(19055,2803,2294,1),(19055,3283,2308,1),(19055,3679,2189,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
5	6	4	8	4	19	3	45	10	90	[(19055,2797,2642,1),(19055,2440,2064,1),(19055,3283,2308,1),(19055,3679,2189,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
6	7	5	8	4	24	3	50	15	90	[(19055,2797,2642,1),(19055,2440,2064,1),(19055,3283,2308,1),(19055,3679,2189,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
7	8	6	8	4	30	3	60	20	120	[(19055,2797,2642,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
8	9	7	8	4	37	4	70	20	120	[(19055,2440,2064,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
9	10	8	8	4	45	4	80	20	120	[(19055,3283,2308,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
10	0	9	99999	4999	54	4	90	20	120	[(19055,3679,2189,1)]	[(1200,1162,2138,1786),(1015,2264,2209,3098),(4086,2153,5251,2971),(2355,754,2993,1113)]
