goodsId	goodsItem	des	needUnbindRMB
商品ID	道具	备注	现价（需要神石）
1	(27108,1)	召唤令礼包	250
2	(26450,1)	许愿币	20
3	(26450,20)	许愿币*20	400
4	(26450,50)	许愿币*50	1000
5	(27566,1)	坐骑进化石	50
6	(27566,5)	坐骑进化石*5	250
7	(27566,20)	坐骑进化石*20	1000
8	(26925,1)	生命之源	25
9	(26925,10)	生命之源*10	250
10	(26925,20)	生命之源*20	500
11	(26924,1)	生命结晶	25
12	(26924,10)	生命结晶*10	250
13	(26924,20)	生命结晶*20	500
14	(25837,5)	羽翼培养石*5	50
15	(25837,20)	羽翼培养石*20	200
16	(25837,100)	羽翼培养石*100	1000
17	(27167,1)	羽灵精魄	100
18	(27167,10)	羽灵精魄*10	1000
19	(26144,5)	宠物圣果*5	50
20	(26144,20)	宠物圣果*20	200
21	(26144,100)	宠物圣果*100	1000
22	(27709,1)	一级魔石	500
23	(27709,5)	一级魔石*5	2500
24	(28035,1)	三级雕纹	100
25	(28031,1)	五级雕纹	400
26	(28042,1)	七级雕纹	1600
27	(26298,1)	圣器附魔石	50
28	(26298,5)	圣器附魔石*5	250
29	(26298,20)	圣器附魔石*20	1000
30	(26341,100)	星魂*100	200
31	(26341,1000)	星魂*1000	2000
32	(26341,5000)	星魂*5000	10000
33	(37067,1)	冰霜利刃	1248
34	(37068,1)	冰霜祝福	1248
35	(37069,1)	冰霜之力	998
36	(28901,1)	时装升星石	3600
37	(28937,1)	魂炼幸运石	5000
38	(28907,1)	一阶星灵幸运石	6000
39	(28908,1)	二阶星灵幸运石	10000
40	(27492,1)	紫色天赋卡礼包	5888
41	(37039,1)	黑龙之刃	998
42	(37040,1)	黑龙之影	998
43	(37041,1)	黑龙之心	800
44	(37016,1)	蓝色魅力	888
45	(37014,1)	雪舞一生	888
46	(37047,1)	黄金利刃	998
47	(37048,1)	黄金铠甲	998
48	(37049,1)	黄金头盔	800
