index	minLevel	needPoint	items	special	limitCnt
物品展示排序索引	物品开启对应主角等级	需要积分数量	道具coding，cnt	是否极品道具	限购个数(不限购配0)
1	80	50000	(28978,1)	1	1
2	50	12000	(28254,1)	1	1
3	45	12000	(28901,1)	1	1
4	60	84000	(28912,1)	1	1
5	60	57200	(28911,1)	1	1
6	60	32000	(28910,1)	1	1
7	60	18000	(28909,1)	1	1
8	60	8320	(28908,1)	1	1
9	60	4680	(28907,1)	1	1
10	60	3000	(28937,1)	1	1
11	70	600	(37070,1)	1	1
12	30	500	(28973,1)	1	1
13	100	500	(28587,1)	1	3
14	120	500	(34000,1)	0	5
15	120	500	(34001,1)	0	5
16	120	500	(34002,1)	0	5
17	120	500	(34003,1)	0	5
18	120	500	(34004,1)	0	5
19	120	500	(34005,1)	0	5
20	80	300	(28883,1)	1	10
21	35	10	(27518,1)	0	0
