topicId	topicName	oneNeedRMB	tenNeedRMB	needRMBType	dayMaxLotteryCnt	rewardPool	rewardShow
专题ID	专题名称（前端用）	一次抽奖神石消耗	十次抽奖神石消耗	需要神石类型 1-充值神石 0-奖励充值均可	每日最多抽奖次数	奖励池[(itemIndex ,coding, cnt, rateValue,isPrecious),]	奖励预览（前端展示）[(itemIndex,coding,cnt)]
1	星灵	48	480	0	100	[(1,26934,4,1800,0),(2,26933,5,960,0),(3,26934,8,360,0),(4,28909,1,32,1),(5,26934,5,960,0),(6,26936,10,960,0),(7,26934,15,80,0),(8,28937,1,32,1),(9,26934,6,640,0),(10,26933,10,192,0),(11,26934,10,192,0),(12,26936,20,192,0)]	[(1,26934,4),(2,26933,5),(3,26934,8),(4,28909,1),(5,26934,5),(6,26936,10),(7,26934,15),(8,28937,1),(9,26934,6),(10,26933,10),(11,26934,10),(12,26936,20)]
2	羽翼	48	480	0	100	[(1,25837,8,29325,0),(2,27167,5,500,0),(3,25837,15,5520,0),(4,25837,25,1105,0),(5,27167,1,20000,0),(6,25837,10,16560,0),(7,25837,20,1725,0),(8,27167,10,100,1),(9,25837,12,9200,0),(10,25837,30,690,0),(11,27167,2,2000,0),(12,25837,18,3065,0)]	[(1,25837,8),(2,27167,5),(3,25837,15),(4,25837,25),(5,27167,1),(6,25837,10),(7,25837,20),(8,27167,10),(9,25837,12),(10,25837,30),(11,27167,2),(12,25837,18)]
3	宠物	48	480	0	100	[(1,26144,8,29325,0),(2,26448,8,500,0),(3,26144,15,5520,0),(4,26144,25,1105,0),(5,26446,5,20000,0),(6,26144,10,16560,0),(7,26144,20,1725,0),(8,26449,10,100,1),(9,26144,12,9200,0),(10,26144,30,690,0),(11,26447,5,2000,0),(12,26144,18,3065,0)]	[(1,26144,8),(2,26448,8),(3,26144,15),(4,26144,25),(5,26446,5),(6,26144,10),(7,26144,20),(8,26449,10),(9,26144,12),(10,26144,30),(11,26447,5),(12,26144,18)]
4	时装	48	480	0	100	[(1,26677,4,1800,0),(2,27570,20,192,0),(3,26677,8,360,0),(4,26676,1,200,0),(5,26676,4,40,0),(6,26677,5,960,0),(7,26677,15,80,0),(8,28901,1,40,1),(9,26677,6,640,0),(10,26676,2,80,0),(11,27570,10,960,0),(12,26677,10,192,0)]	[(1,26677,4),(2,27570,20),(3,26677,8),(4,26676,1),(5,26676,4),(6,26677,5),(7,26677,15),(8,28901,1),(9,26677,6),(10,26676,2),(11,27570,10),(12,26677,10)]
5	宝石符文	72	720	0	50	[(1,27518,1,1050,0),(2,28970,1,120,1),(3,27621,1,1050,0),(4,25831,10,1000,0),(5,25970,10,1000,0),(6,27519,1,350,0),(7,27623,1,105,0),(8,28970,3,30,1),(9,27520,1,105,0),(10,25831,20,320,0),(11,25970,20,320,0),(12,27622,1,350,0)]	[(1,27518,1),(2,28970,1),(3,27621,1),(4,25831,10),(5,25970,10),(6,27519,1),(7,27623,1),(8,28970,3),(9,27520,1),(10,25831,20),(11,25970,20),(12,27622,1)]
6	宝石雕纹	72	720	0	50	[(1,27518,1,1050,0),(2,28970,1,120,1),(3,28035,1,1050,0),(4,25831,10,1000,0),(5,26298,2,1000,0),(6,27519,1,350,0),(7,28031,1,105,0),(8,28970,3,30,1),(9,27520,1,105,0),(10,25831,20,320,0),(11,26298,5,300,0),(12,28030,1,350,0)]	[(1,27518,1),(2,28970,1),(3,28035,1),(4,25831,10),(5,26298,2),(6,27519,1),(7,28031,1),(8,28970,3),(9,27520,1),(10,25831,20),(11,26298,5),(12,28030,1)]
7	龙脉	48	480	0	100	[(1,26925,3,750,0),(2,27042,5,360,0),(3,26924,3,750,0),(4,27041,3,750,0),(5,26924,10,135,0),(6,26925,5,360,0),(7,27041,10,135,0),(8,27042,10,135,0),(9,26925,10,135,0),(10,27041,5,360,0),(11,27042,3,750,0),(12,26924,5,360,0)]	[(1,26925,3),(2,27042,5),(3,26924,3),(4,27041,3),(5,26924,10),(6,26925,5),(7,27041,10),(8,27042,10),(9,26925,10),(10,27041,5),(11,27042,3),(12,26924,5)]
8	坐骑	48	480	0	100	[(1,25600,12,29325,0),(2,27566,10,500,0),(3,25600,22,5520,0),(4,25600,36,1105,0),(5,25600,30,1725,0),(6,25600,15,16560,0),(7,27566,2,20000,0),(8,27566,20,100,1),(9,25600,18,9200,0),(10,25600,45,690,0),(11,27566,4,2000,0),(12,25600,27,3065,0)]	[(1,25600,12),(2,27566,10),(3,25600,22),(4,25600,36),(5,25600,30),(6,25600,15),(7,27566,2),(8,27566,20),(9,25600,18),(10,25600,45),(11,27566,4),(12,25600,27)]
9	姻缘石	48	480	0	100	[(1,26344,12,29325,0),(2,26343,50,500,0),(3,26344,22,5520,0),(4,26344,36,1105,0),(5,26344,30,1725,0),(6,26344,15,16560,0),(7,26343,10,20000,0),(8,26343,100,100,1),(9,26344,18,9200,0),(10,26344,45,690,0),(11,26343,20,2000,0),(12,26344,27,3065,0)]	[(1,26344,12),(2,26343,50),(3,26344,22),(4,26344,36),(5,26344,30),(6,26344,15),(7,26343,10),(8,26343,100),(9,26344,18),(10,26344,45),(11,26343,20),(12,26344,27)]
