SceneId	PicName	MapNum
场景ID	战区图片资源名称	地图编号
80	YWDB_ZQCJ	1
81	YWDB_ZQCJ	2
82	YWDB_ZQCJ	3
83	YWDB_ZQCJ	4
84	YWDB_ZQCJ	5
86	YWDB_ZQCJ	6
87	YWDB_ZQCJ	7
88	YWDB_ZQCJ	8
89	YWDB_ZQCJ	9
90	YWDB_ZQCJ	10
91	YWDB_ZQCJ	11
92	YWDB_ZQCJ	12
93	YWDB_ZQCJ	13
94	YWDB_ZQCJ	14
95	YWDB_ZQCJ	15
96	YWDB_ZQCJ	16
97	YWDB_ZQCJ	17
98	YWDB_ZQCJ	18
99	YWDB_ZQCJ	19
100	YWDB_ZQCJ	20
101	YWDB_ZQCJ	21
102	YWDB_ZQZJ	1
103	YWDB_ZQZJ	2
104	YWDB_ZQZJ	3
105	YWDB_ZQZJ	4
106	YWDB_ZQZJ	5
107	YWDB_ZQZJ	6
108	YWDB_ZQZJ	7
109	YWDB_ZQZJ	8
110	YWDB_ZQZJ	9
111	YWDB_ZQZJ	10
112	YWDB_ZQZJ	11
113	YWDB_ZQZJ	12
114	YWDB_ZQZJ	13
115	YWDB_ZQZJ	14
116	YWDB_ZQZJ	15
117	YWDB_ZQZJ	16
118	YWDB_ZQZJ	17
119	YWDB_ZQZJ	18
120	YWDB_ZQZJ	19
121	YWDB_ZQZJ	20
122	YWDB_ZQGJ	1
123	YWDB_ZQGJ	2
124	YWDB_ZQGJ	3
125	YWDB_ZQGJ	4
126	YWDB_ZQGJ	5
127	YWDB_ZQGJ	6
128	YWDB_ZQGJ	7
129	YWDB_ZQGJ	8
130	YWDB_ZQGJ	9
131	YWDB_ZQGJ	10
132	YWDB_ZQGJ	11
133	YWDB_ZQGJ	12
134	YWDB_ZQGJ	13
135	YWDB_ZQGJ	14
136	YWDB_ZQGJ	15
137	YWDB_ZQGJ	16
138	YWDB_ZQGJ	17
139	YWDB_ZQGJ	18
140	YWDB_ZQGJ	19
141	YWDB_ZQGJ	20
142	YWDB_ZQDJ	1
143	YWDB_ZQDJ	2
144	YWDB_ZQDJ	3
145	YWDB_ZQDJ	4
146	YWDB_ZQDJ	5
147	YWDB_ZQDJ	6
148	YWDB_ZQDJ	7
149	YWDB_ZQDJ	8
150	YWDB_ZQDJ	9
151	YWDB_ZQDJ	10
152	YWDB_ZQDJ	11
153	YWDB_ZQDJ	12
154	YWDB_ZQDJ	13
155	YWDB_ZQDJ	14
156	YWDB_ZQDJ	15
157	YWDB_ZQDJ	16
158	YWDB_ZQDJ	17
159	YWDB_ZQDJ	18
160	YWDB_ZQDJ	19
161	YWDB_ZQDJ	20
544	YWDB_ZQCCJ	1
545	YWDB_ZQCCJ	2
546	YWDB_ZQCCJ	3
547	YWDB_ZQCCJ	4
548	YWDB_ZQCCJ	5
549	YWDB_ZQCCJ	6
550	YWDB_ZQCCJ	7
551	YWDB_ZQCCJ	8
552	YWDB_ZQCCJ	9
553	YWDB_ZQCCJ	10
554	YWDB_ZQCCJ	11
555	YWDB_ZQCCJ	12
556	YWDB_ZQCCJ	13
557	YWDB_ZQCCJ	14
558	YWDB_ZQCCJ	15
559	YWDB_ZQCCJ	16
560	YWDB_ZQCCJ	17
561	YWDB_ZQCCJ	18
562	YWDB_ZQCCJ	19
563	YWDB_ZQCCJ	20
702	YWDB_SJZQ	1
703	YWDB_SJZQ	2
704	YWDB_SJZQ	3
705	YWDB_SJZQ	4
706	YWDB_SJZQ	5
707	YWDB_SJZQ	6
708	YWDB_SJZQ	7
709	YWDB_SJZQ	8
710	YWDB_SJZQ	9
711	YWDB_SJZQ	10
712	YWDB_SJZQ	11
713	YWDB_SJZQ	12
714	YWDB_SJZQ	13
715	YWDB_SJZQ	14
716	YWDB_SJZQ	15
717	YWDB_SJZQ	16
718	YWDB_SJZQ	17
719	YWDB_SJZQ	18
720	YWDB_SJZQ	19
721	YWDB_SJZQ	20
724	YWDB_ZQGJ	1
725	YWDB_ZQGJ	2
726	YWDB_ZQGJ	3
727	YWDB_ZQGJ	4
728	YWDB_ZQGJ	5
729	YWDB_ZQGJ	6
730	YWDB_ZQGJ	7
731	YWDB_ZQGJ	8
732	YWDB_ZQGJ	9
733	YWDB_ZQGJ	10
734	YWDB_ZQGJ	1
735	YWDB_ZQGJ	2
736	YWDB_ZQGJ	3
737	YWDB_ZQGJ	4
738	YWDB_ZQGJ	5
739	YWDB_ZQGJ	6
740	YWDB_ZQGJ	7
741	YWDB_ZQGJ	8
742	YWDB_ZQGJ	9
743	YWDB_ZQGJ	10
744	YWDB_ZQGJ	1
745	YWDB_ZQGJ	2
746	YWDB_ZQGJ	3
747	YWDB_ZQGJ	4
748	YWDB_ZQGJ	5
749	YWDB_ZQGJ	6
750	YWDB_ZQGJ	7
751	YWDB_ZQGJ	8
752	YWDB_ZQGJ	9
753	YWDB_ZQGJ	10
754	YWDB_ZQGJ	1
755	YWDB_ZQGJ	2
756	YWDB_ZQGJ	3
757	YWDB_ZQGJ	4
758	YWDB_ZQGJ	5
759	YWDB_ZQGJ	6
760	YWDB_ZQGJ	7
761	YWDB_ZQGJ	8
762	YWDB_ZQGJ	9
763	YWDB_ZQGJ	10
764	YWDB_ZQGJ	1
765	YWDB_ZQGJ	2
766	YWDB_ZQGJ	3
767	YWDB_ZQGJ	4
768	YWDB_ZQGJ	5
769	YWDB_ZQGJ	6
770	YWDB_ZQGJ	7
771	YWDB_ZQGJ	8
772	YWDB_ZQGJ	9
773	YWDB_ZQGJ	10
774	YWDB_ZQGJ	1
775	YWDB_ZQGJ	2
776	YWDB_ZQGJ	3
777	YWDB_ZQGJ	4
778	YWDB_ZQGJ	5
779	YWDB_ZQGJ	6
780	YWDB_ZQGJ	7
781	YWDB_ZQGJ	8
782	YWDB_ZQGJ	9
783	YWDB_ZQGJ	10
784	YWDB_ZQGJ	1
785	YWDB_ZQGJ	2
786	YWDB_ZQGJ	3
787	YWDB_ZQGJ	4
788	YWDB_ZQGJ	5
789	YWDB_ZQGJ	6
790	YWDB_ZQGJ	7
791	YWDB_ZQGJ	8
792	YWDB_ZQGJ	9
793	YWDB_ZQGJ	10
794	YWDB_ZQGJ	1
795	YWDB_ZQGJ	2
796	YWDB_ZQGJ	3
797	YWDB_ZQGJ	4
798	YWDB_ZQGJ	5
799	YWDB_ZQGJ	6
800	YWDB_ZQGJ	7
801	YWDB_ZQGJ	8
802	YWDB_ZQGJ	9
803	YWDB_ZQGJ	10
804	YWDB_ZQGJ	1
805	YWDB_ZQGJ	2
806	YWDB_ZQGJ	3
807	YWDB_ZQGJ	4
808	YWDB_ZQGJ	5
809	YWDB_ZQGJ	6
810	YWDB_ZQGJ	7
811	YWDB_ZQGJ	8
812	YWDB_ZQGJ	9
813	YWDB_ZQGJ	10
814	YWDB_ZQGJ	1
815	YWDB_ZQGJ	2
816	YWDB_ZQGJ	3
817	YWDB_ZQGJ	4
818	YWDB_ZQGJ	5
819	YWDB_ZQGJ	6
820	YWDB_ZQGJ	7
821	YWDB_ZQGJ	8
822	YWDB_ZQGJ	9
823	YWDB_ZQGJ	10
824	YWDB_ZQDJ	1
825	YWDB_ZQDJ	2
826	YWDB_ZQDJ	3
827	YWDB_ZQDJ	4
828	YWDB_ZQDJ	5
829	YWDB_ZQDJ	6
830	YWDB_ZQDJ	7
831	YWDB_ZQDJ	8
832	YWDB_ZQDJ	9
833	YWDB_ZQDJ	10
834	YWDB_ZQDJ	1
835	YWDB_ZQDJ	2
836	YWDB_ZQDJ	3
837	YWDB_ZQDJ	4
838	YWDB_ZQDJ	5
839	YWDB_ZQDJ	6
840	YWDB_ZQDJ	7
841	YWDB_ZQDJ	8
842	YWDB_ZQDJ	9
843	YWDB_ZQDJ	10
844	YWDB_ZQDJ	1
845	YWDB_ZQDJ	2
846	YWDB_ZQDJ	3
847	YWDB_ZQDJ	4
848	YWDB_ZQDJ	5
849	YWDB_ZQDJ	6
850	YWDB_ZQDJ	7
851	YWDB_ZQDJ	8
852	YWDB_ZQDJ	9
853	YWDB_ZQDJ	10
854	YWDB_ZQDJ	1
855	YWDB_ZQDJ	2
856	YWDB_ZQDJ	3
857	YWDB_ZQDJ	4
858	YWDB_ZQDJ	5
859	YWDB_ZQDJ	6
860	YWDB_ZQDJ	7
861	YWDB_ZQDJ	8
862	YWDB_ZQDJ	9
863	YWDB_ZQDJ	10
864	YWDB_ZQDJ	1
865	YWDB_ZQDJ	2
866	YWDB_ZQDJ	3
867	YWDB_ZQDJ	4
868	YWDB_ZQDJ	5
869	YWDB_ZQDJ	6
870	YWDB_ZQDJ	7
871	YWDB_ZQDJ	8
872	YWDB_ZQDJ	9
873	YWDB_ZQDJ	10
874	YWDB_ZQDJ	1
875	YWDB_ZQDJ	2
876	YWDB_ZQDJ	3
877	YWDB_ZQDJ	4
878	YWDB_ZQDJ	5
879	YWDB_ZQDJ	6
880	YWDB_ZQDJ	7
881	YWDB_ZQDJ	8
882	YWDB_ZQDJ	9
883	YWDB_ZQDJ	10
884	YWDB_ZQDJ	1
885	YWDB_ZQDJ	2
886	YWDB_ZQDJ	3
887	YWDB_ZQDJ	4
888	YWDB_ZQDJ	5
889	YWDB_ZQDJ	6
890	YWDB_ZQDJ	7
891	YWDB_ZQDJ	8
892	YWDB_ZQDJ	9
893	YWDB_ZQDJ	10
894	YWDB_ZQDJ	1
895	YWDB_ZQDJ	2
896	YWDB_ZQDJ	3
897	YWDB_ZQDJ	4
898	YWDB_ZQDJ	5
899	YWDB_ZQDJ	6
900	YWDB_ZQDJ	7
901	YWDB_ZQDJ	8
902	YWDB_ZQDJ	9
903	YWDB_ZQDJ	10
904	YWDB_ZQDJ	1
905	YWDB_ZQDJ	2
906	YWDB_ZQDJ	3
907	YWDB_ZQDJ	4
908	YWDB_ZQDJ	5
909	YWDB_ZQDJ	6
910	YWDB_ZQDJ	7
911	YWDB_ZQDJ	8
912	YWDB_ZQDJ	9
913	YWDB_ZQDJ	10
914	YWDB_ZQDJ	1
915	YWDB_ZQDJ	2
916	YWDB_ZQDJ	3
917	YWDB_ZQDJ	4
918	YWDB_ZQDJ	5
919	YWDB_ZQDJ	6
920	YWDB_ZQDJ	7
921	YWDB_ZQDJ	8
922	YWDB_ZQDJ	9
923	YWDB_ZQDJ	10
924	YWDB_ZQCCJ	1
925	YWDB_ZQCCJ	2
926	YWDB_ZQCCJ	3
927	YWDB_ZQCCJ	4
928	YWDB_ZQCCJ	5
929	YWDB_ZQCCJ	6
930	YWDB_ZQCCJ	7
931	YWDB_ZQCCJ	8
932	YWDB_ZQCCJ	9
933	YWDB_ZQCCJ	10
934	YWDB_ZQCCJ	1
935	YWDB_ZQCCJ	2
936	YWDB_ZQCCJ	3
937	YWDB_ZQCCJ	4
938	YWDB_ZQCCJ	5
939	YWDB_ZQCCJ	6
940	YWDB_ZQCCJ	7
941	YWDB_ZQCCJ	8
942	YWDB_ZQCCJ	9
943	YWDB_ZQCCJ	10
944	YWDB_ZQCCJ	1
945	YWDB_ZQCCJ	2
946	YWDB_ZQCCJ	3
947	YWDB_ZQCCJ	4
948	YWDB_ZQCCJ	5
949	YWDB_ZQCCJ	6
950	YWDB_ZQCCJ	7
951	YWDB_ZQCCJ	8
952	YWDB_ZQCCJ	9
953	YWDB_ZQCCJ	10
954	YWDB_ZQCCJ	1
955	YWDB_ZQCCJ	2
956	YWDB_ZQCCJ	3
957	YWDB_ZQCCJ	4
958	YWDB_ZQCCJ	5
959	YWDB_ZQCCJ	6
960	YWDB_ZQCCJ	7
961	YWDB_ZQCCJ	8
962	YWDB_ZQCCJ	9
963	YWDB_ZQCCJ	10
964	YWDB_ZQCCJ	1
965	YWDB_ZQCCJ	2
966	YWDB_ZQCCJ	3
967	YWDB_ZQCCJ	4
968	YWDB_ZQCCJ	5
969	YWDB_ZQCCJ	6
970	YWDB_ZQCCJ	7
971	YWDB_ZQCCJ	8
972	YWDB_ZQCCJ	9
973	YWDB_ZQCCJ	10
974	YWDB_ZQCCJ	1
975	YWDB_ZQCCJ	2
976	YWDB_ZQCCJ	3
977	YWDB_ZQCCJ	4
978	YWDB_ZQCCJ	5
979	YWDB_ZQCCJ	6
980	YWDB_ZQCCJ	7
981	YWDB_ZQCCJ	8
982	YWDB_ZQCCJ	9
983	YWDB_ZQCCJ	10
984	YWDB_ZQCCJ	1
985	YWDB_ZQCCJ	2
986	YWDB_ZQCCJ	3
987	YWDB_ZQCCJ	4
988	YWDB_ZQCCJ	5
