rewardId	levelRangeId	levelRange	name	nomalItems	rewardCoin	showReward
奖励Id	等级区段Id	等级区段	奖励名称	普通奖励	金币奖励	客户端显示
1	1	[30,59]	赏	[(25722,1),(25600,5),(27865,1)]	0	[(25722,1),(25600,5),(27865,1)]
1	2	[60,79]	赏	[(25859,1),(26344,5),(27865,1)]	0	[(25859,1),(26344,5),(27865,1)]
1	3	[80,179]	赏	[(25860,1),(26323,1),(27865,1)]	0	[(25860,1),(26323,1),(27865,1)]
2	1	[30,59]	一秀	[(25731,1),(25600,10),(27865,2)]	0	[(25731,1),(25600,10),(27865,2)]
2	2	[60,79]	一秀	[(25871,1),(26344,10),(27865,2)]	0	[(25871,1),(26344,10),(27865,2)]
2	3	[80,179]	一秀	[(25872,1),(26323,1),(27865,2)]	0	[(25872,1),(26323,1),(27865,2)]
3	1	[30,59]	二举	[(25740,1),(25600,15),(27865,3)]	0	[(25740,1),(25600,15),(27865,3)]
3	2	[60,79]	二举	[(25883,1),(26344,15),(27865,3)]	0	[(25883,1),(26344,15),(27865,3)]
3	3	[80,179]	二举	[(25884,1),(26323,2),(27865,3)]	0	[(25884,1),(26323,2),(27865,3)]
4	1	[30,59]	四进	[(25749,1),(25600,25),(27865,4)]	0	[(25749,1),(25600,25),(27865,4)]
4	2	[60,79]	四进	[(25895,1),(26344,25),(27865,4)]	0	[(25895,1),(26344,25),(27865,4)]
4	3	[80,179]	四进	[(25896,1),(26323,4),(27865,4)]	0	[(25896,1),(26323,4),(27865,4)]
5	1	[30,59]	三红	[(25749,1),(25600,30),(27865,5)]	0	[(25749,1),(25600,30),(27865,5)]
5	2	[60,79]	三红	[(25895,1),(26344,30),(27865,5)]	0	[(25895,1),(26344,30),(27865,5)]
5	3	[80,179]	三红	[(25896,1),(26323,6),(27865,5)]	0	[(25896,1),(26323,6),(27865,5)]
6	1	[30,59]	对堂	[(25758,1),(25600,50),(26450,5),(27865,8)]	0	[(25758,1),(25600,50),(26450,5),(27865,8)]
6	2	[60,79]	对堂	[(25907,1),(26344,50),(26450,5),(27865,8)]	0	[(25907,1),(26344,50),(26450,5),(27865,8)]
6	3	[80,179]	对堂	[(25908,1),(26323,10),(26450,5),(27865,8)]	0	[(25908,1),(26323,10),(26450,5),(27865,8)]
7	1	[30,59]	状元	[(25767,1),(25600,100),(26450,10),(27865,10)]	0	[(25767,1),(25600,100),(26450,10),(27865,10)]
7	2	[60,79]	状元	[(25919,1),(26344,100),(26450,10),(27865,10)]	0	[(25919,1),(26344,100),(26450,10),(27865,10)]
7	3	[80,179]	状元	[(25920,1),(26323,15),(26450,10),(27865,10)]	0	[(25920,1),(26323,15),(26450,10),(27865,10)]
8	1	[30,59]	五王	[(25776,1),(25600,150),(26450,15),(27865,15)]	0	[(25776,1),(25600,150),(26450,15),(27865,15)]
8	2	[60,79]	五王	[(25931,1),(26344,150),(26450,15),(27865,15)]	0	[(25931,1),(26344,150),(26450,15),(27865,15)]
8	3	[80,179]	五王	[(25932,1),(26323,20),(26450,15),(27865,15)]	0	[(25932,1),(26323,20),(26450,15),(27865,15)]
9	1	[30,59]	金花	[(25794,1),(25600,300),(26450,50),(27865,30)]	0	[(25794,1),(25600,300),(26450,50),(27865,30)]
9	2	[60,79]	金花	[(25955,1),(26344,300),(26450,50),(27865,30)]	0	[(25955,1),(26344,300),(26450,50),(27865,30)]
9	3	[80,179]	金花	[(25956,1),(26323,30),(26450,50),(27865,30)]	0	[(25956,1),(26323,30),(26450,50),(27865,30)]
