goodId	item	limitCnt	needConsumeRMB	originalUnbindRMB	needUnbindRMB	RMBType	isLowestPrice	discountFlag
商品ID	物品(coding,cnt)	限购个数(0为不限购)	需要抵消消费神石数	原价	现价（需要神石）	神石类型(1-充值神石 0-充值奖励神石均可)	是否最低价	折扣标签
1	(28441,1)	10	200	200	100	1	0	SDJNH_5z
2	(26450,20)	0	200	400	200	1	1	SDJNH_5z
3	(26450,5)	0	100	100	55	1	0	SDJNH_6z
4	(26638,1)	3	2000	5400	2500	1	0	SDJNH_5z
5	(26643,1)	2	3000	7500	3600	1	0	SDJNH_5z
6	(26644,1)	1	4000	9800	4800	1	0	SDJNH_5z
7	(26923,1)	1	3000	3998	2888	1	0	SDJNH_7z
8	(25600,100)	0	0	1000	400	0	1	SDJNH_4z
9	(25600,20)	0	0	200	88	0	1	SDJNH_4z
10	(26344,100)	0	0	1000	400	0	1	SDJNH_4z
11	(26344,20)	0	0	200	88	0	1	SDJNH_4z
12	(25656,1)	0	0	250	50	0	0	SDJNH_2z
13	(25657,1)	0	0	250	50	0	0	SDJNH_2z
14	(25658,1)	0	0	250	50	0	0	SDJNH_2z
15	(25659,1)	0	0	250	50	0	0	SDJNH_2z
16	(25660,1)	0	0	250	50	0	0	SDJNH_2z
17	(26525,1)	0	0	250	50	0	0	SDJNH_2z
18	(27047,1)	0	0	250	50	0	0	SDJNH_2z
19	(27913,1)	0	0	250	50	0	0	SDJNH_2z
20	(26033,1)	0	0	30	6	0	0	SDJNH_2z
21	(26026,1)	0	0	120	60	0	0	SDJNH_5z
22	(26226,1)	0	0	960	488	0	0	SDJNH_5z
23	(25792,1)	3	1200	3840	2588	0	0	SDJNH_7z
24	(25793,1)	3	1200	3840	2588	0	0	SDJNH_7z
25	(25794,1)	3	1200	3840	2588	0	0	SDJNH_7z
26	(25795,1)	5	1000	3072	1888	0	0	SDJNH_6z
27	(25796,1)	5	1000	3072	1888	0	0	SDJNH_6z
28	(25800,1)	3	1500	3840	2888	0	0	SDJNH_8z
29	(25797,1)	3	1500	3840	2888	0	0	SDJNH_8z
30	(27939,5)	3	1000	1000	500	1	0	SDJNH_5z
31	(37013,1)	1	500	1000	398	1	0	SDJNH_4z
32	(37015,1)	1	500	1000	398	1	0	SDJNH_4z
33	(27705,1)	2	4000	5888	1998	1	0	SDJNH_3z
34	(27177,1)	2	4000	5888	1998	1	0	SDJNH_3z
35	(37050,1)	1	1800	1288	888	1	0	SDJNH_7z
36	(27566,20)	0	0	1000	720	0	1	SDJNH_7z
37	(27566,5)	0	0	250	200	0	0	SDJNH_8z
38	(26925,10)	0	0	250	180	0	0	SDJNH_7z
39	(26924,10)	0	0	250	180	0	0	SDJNH_7z
40	(27041,5)	0	0	150	90	0	0	SDJNH_6z
41	(27042,5)	0	0	150	100	0	0	SDJNH_7z
42	(26042,5)	0	0	1000	400	0	1	SDJNH_4z
43	(26042,1)	0	0	200	100	0	0	SDJNH_5z
44	(26608,1)	8	600	2000	1200	0	0	SDJNH_6z
45	(28253,1)	2	6000	6000	3888	1	0	SDJNH_6z
46	(26119,1)	0	0	30	9	0	0	SDJNH_3z
47	(26227,1)	0	0	120	72	0	0	SDJNH_6z
48	(26230,1)	0	0	960	540	0	0	SDJNH_6z
49	(25948,1)	3	1200	3840	2688	0	0	SDJNH_7z
50	(25947,1)	3	1200	3840	2688	0	0	SDJNH_7z
51	(25950,1)	3	1200	3840	2688	0	0	SDJNH_7z
52	(25952,1)	3	1200	3840	2688	0	0	SDJNH_7z
53	(25954,1)	3	1200	3840	2688	0	0	SDJNH_7z
54	(25957,1)	3	1200	3840	2688	0	0	SDJNH_7z
55	(26298,5)	0	0	250	200	0	0	SDJNH_8z
56	(28034,1)	0	0	50	24	0	0	SDJNH_5z
57	(28030,1)	0	0	200	144	0	0	SDJNH_7z
58	(28032,1)	0	0	800	560	0	0	SDJNH_7z
59	(28376,1)	5	0	1000	600	1	0	SDJNH_6z
60	(28280,20)	20	0	1000	800	0	0	SDJNH_8z
61	(26479,10)	0	0	150	100	0	0	SDJNH_7z
62	(27587,100)	20	0	1000	720	0	1	SDJNH_7z
63	(27587,10)	0	0	100	80	0	0	SDJNH_8z
64	(26933,10)	0	0	200	120	0	0	SDJNH_6z
65	(26934,10)	0	0	200	150	0	0	SDJNH_8z
66	(26934,50)	0	0	1000	700	0	0	SDJNH_7z
67	(26144,100)	0	0	1000	560	0	1	SDJNH_6z
68	(26144,10)	0	0	100	60	0	1	SDJNH_6z
69	(28353,1)	5	0	1000	600	1	0	SDJNH_6z
70	(25837,100)	0	0	1000	560	0	1	SDJNH_6z
71	(25837,10)	0	0	100	60	0	1	SDJNH_6z
72	(27167,5)	0	0	500	400	0	0	SDJNH_8z
73	(26676,1)	0	0	298	234	0	0	SDJNH_8z
74	(26677,10)	0	0	200	128	0	0	SDJNH_6z
75	(27570,20)	0	0	200	100	0	0	SDJNH_5z
76	(27709,1)	0	0	500	300	0	0	SDJNH_6z
77	(27710,1)	0	0	1500	900	0	0	SDJNH_6z
78	(27712,1)	0	0	4500	2588	0	0	SDJNH_6z
79	(27715,1)	1	10000	121500	24000	0	0	SDJNH_2z
