goodId	item	des	minDiscount	maxDiscount	minLevel
商品ID	物品(coding,cnt)	备注	最低折扣	最高折扣	最低显示等级
35	(37050,1)	黄金之翼	7	7	40
31	(37013,1)	紫陌倾城	4	4	60
32	(37015,1)	璀璨人生	4	4	60
33	(27705,1)	天鹅座女神（紫）	3	3	80
34	(27177,1)	飞马座女神（紫）	3	3	80
4	(26638,1)	坐骑升星精华（小）	5	5	30
5	(26643,1)	坐骑升星精华（中）	5	5	30
6	(26644,1)	坐骑升星精华（大）	5	5	30
1	(28441,1)	公测折扣礼包	5	5	30
45	(28253,1)	单属性红色命魂随机礼盒	6	6	40
23	(25792,1)	九级生命宝石	7	7	30
24	(25793,1)	九级物攻宝石	7	7	30
25	(25794,1)	九级法攻宝石	7	7	30
26	(25795,1)	九级物防宝石	6	6	30
27	(25796,1)	九级法防宝石	6	6	30
28	(25800,1)	九级格挡宝石	8	8	60
29	(25797,1)	九级暴击宝石	8	8	60
49	(25948,1)	九级英勇符文	7	7	60
50	(25947,1)	九级公正符文	7	7	60
51	(25950,1)	九级信仰符文	7	7	60
52	(25952,1)	九级命运符文	7	7	60
53	(25954,1)	九级奉献符文	7	7	60
54	(25957,1)	九级牺牲符文	7	7	60
